model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
mlpA_h64f32,vx,0.02,Q_ref,preserving,0.16061827956989244,1488,496.0
mlpA_h64f32,vx,0.02,Q_ref,flipped,nan,0,0.0
mlpA_h64f32,vx,0.02,Q_coherent,preserving,0.15853658536585366,1488,492.0
mlpA_h64f32,vx,0.02,Q_coherent,flipped,nan,0,0.0
mlpA_h64f32,vx,0.02,Q_source_greedy,preserving,0.15853658536585366,1488,492.0
mlpA_h64f32,vx,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpA_h64f32,vx,0.02,Q_source_dro,preserving,0.16061962346501354,1488,496.00260331840474
mlpA_h64f32,vx,0.02,Q_source_dro,flipped,nan,0,0.0
mlpA_h64f32,vx,0.02,Q_whitebox,all_valid_arms,0.16470588235294117,1020,510.0
mlpB_h32f16,vx,0.02,Q_ref,preserving,0.1538978494623656,1488,496.0
mlpB_h32f16,vx,0.02,Q_ref,flipped,nan,0,0.0
mlpB_h32f16,vx,0.02,Q_coherent,preserving,0.15040650406504066,1488,492.0
mlpB_h32f16,vx,0.02,Q_coherent,flipped,nan,0,0.0
mlpB_h32f16,vx,0.02,Q_source_greedy,preserving,0.15040650406504066,1488,492.0
mlpB_h32f16,vx,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpB_h32f16,vx,0.02,Q_source_dro,preserving,0.15389886739356726,1488,496.00521849257524
mlpB_h32f16,vx,0.02,Q_source_dro,flipped,nan,0,0.0
mlpB_h32f16,vx,0.02,Q_whitebox,all_valid_arms,0.1627450980392157,1020,510.0
mlpC_h128f32,vx,0.02,Q_ref,preserving,0.1700268817204301,1488,496.0
mlpC_h128f32,vx,0.02,Q_ref,flipped,nan,0,0.0
mlpC_h128f32,vx,0.02,Q_coherent,preserving,0.16869918699186992,1488,492.0
mlpC_h128f32,vx,0.02,Q_coherent,flipped,nan,0,0.0
mlpC_h128f32,vx,0.02,Q_source_greedy,preserving,0.17,1488,500.0
mlpC_h128f32,vx,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpC_h128f32,vx,0.02,Q_source_dro,preserving,0.1700277023940381,1488,496.00781503153064
mlpC_h128f32,vx,0.02,Q_source_dro,flipped,nan,0,0.0
mlpC_h128f32,vx,0.02,Q_whitebox,all_valid_arms,0.18235294117647058,1020,510.0
