model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
mlpA_h64f32,coord,0.05,Q_ref,preserving,0.14809022556390974,16625,475.0000000000001
mlpA_h64f32,coord,0.05,Q_ref,flipped,0.7105263157894738,38,1.0857142857142856
mlpA_h64f32,coord,0.05,Q_coherent,preserving,0.1477900552486188,16625,482.6666666666666
mlpA_h64f32,coord,0.05,Q_coherent,flipped,0.7,38,3.333333333333333
mlpA_h64f32,coord,0.05,Q_source_greedy,preserving,0.1388888888888889,16625,468.0
mlpA_h64f32,coord,0.05,Q_source_greedy,flipped,0.7,38,5.0
mlpA_h64f32,coord,0.05,Q_source_dro,preserving,0.14811312672586788,16625,475.04039247028106
mlpA_h64f32,coord,0.05,Q_source_dro,flipped,0.710941603609261,38,1.0815904830057361
mlpA_h64f32,coord,0.05,Q_whitebox,all_valid_arms,0.2109375,1024,512.0
mlpB_h32f16,coord,0.05,Q_ref,preserving,0.14189473684210524,16625,475.0000000000001
mlpB_h32f16,coord,0.05,Q_ref,flipped,0.7105263157894738,38,1.0857142857142856
mlpB_h32f16,coord,0.05,Q_coherent,preserving,0.1429558011049724,16625,482.6666666666666
mlpB_h32f16,coord,0.05,Q_coherent,flipped,0.7,38,3.333333333333333
mlpB_h32f16,coord,0.05,Q_source_greedy,preserving,0.13782051282051283,16625,468.0
mlpB_h32f16,coord,0.05,Q_source_greedy,flipped,0.7,38,5.0
mlpB_h32f16,coord,0.05,Q_source_dro,preserving,0.14190148278374182,16625,475.02925130152454
mlpB_h32f16,coord,0.05,Q_source_dro,flipped,0.7110871782010093,38,1.0844742247408155
mlpB_h32f16,coord,0.05,Q_whitebox,all_valid_arms,0.220703125,1024,512.0
mlpC_h128f32,coord,0.05,Q_ref,preserving,0.16036090225563904,16625,475.0000000000001
mlpC_h128f32,coord,0.05,Q_ref,flipped,0.7105263157894738,38,1.0857142857142856
mlpC_h128f32,coord,0.05,Q_coherent,preserving,0.16022099447513816,16625,482.6666666666666
