scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
1,1,random,0.32,1.7087,0.2434,0,1,0.0643,True
2,1,random,0.32,4.5662,0.5038,0,1,0.0363,True
8,0,single,0.16,0.9308,0.1721,1,1,0.0728,False
10,1,random,0.32,7.2365,0.5468,0,1,0.0672,True
15,1,single,0.16,0.6211,0.2012,0,1,0.0525,True
16,1,single,0.16,0.1475,0.2562,0,0,0.0475,False
19,0,pair,0.16,0.3516,0.239,1,1,0.0523,False
20,1,single,0.16,1.7091,0.1568,0,1,0.0339,True
21,0,random,0.32,7.3074,0.5157,1,1,0.0774,False
24,1,random,0.32,0.3712,0.6673,0,1,0.0624,True
27,0,pair,0.16,0.2513,0.2019,1,1,0.0314,False
29,0,single,0.16,0.4481,0.219,1,1,0.0309,False
31,1,random,0.32,6.7645,0.4227,0,0,0.0303,False
32,1,random,0.32,5.7059,0.3506,0,1,0.0446,True
33,1,random,0.32,0.6889,0.2828,0,1,0.034,True
34,1,single,0.16,0.5198,0.1217,0,1,0.0556,True
35,1,single,0.16,0.3198,0.1965,0,1,0.0674,True
36,1,random,0.2,4.7085,0.1994,0,0,0.0353,False
38,1,random,0.32,2.2657,0.2733,0,1,0.0682,True
41,1,random,0.2,1.5386,0.1982,0,1,0.0324,True
42,1,random,0.2,1.2459,0.2049,0,1,0.0339,True
43,1,random,0.32,4.886,0.3206,0,1,0.035,True
44,0,random,0.2,1.1354,0.1809,1,0,0.03,True
45,1,random,0.2,1.3921,0.1582,0,1,0.0376,True
46,1,single,0.16,0.2871,0.1468,0,1,0.0451,True
47,1,random,0.2,0.6056,0.3374,0,1,0.0314,True
48,1,random,0.32,1.867,0.2493,0,1,0.0362,True
49,1,single,0.16,0.6317,0.237,0,1,0.0427,True
50,1,random,0.32,5.2782,0.2914,0,1,0.0399,True
51,0,random,0.32,4.2995,0.6353,1,1,0.0891,False
52,1,single,0.16,0.317,0.2481,0,1,0.0785,True
53,0,single,0.16,0.2227,0.3456,1,1,0.0706,False
54,0,random,0.32,2.0866,0.3587,1,1,0.1437,False
55,0,single,0.16,0.2958,0.274,1,1,0.0648,False
59,0,random,0.32,0.8392,0.3176,1,1,0.0982,False
60,1,single,0.06,0.0888,0.0645,0,1,0.039,True
63,1,random,0.32,1.6363,0.3659,0,1,0.031,True
64,1,random,0.32,11.0436,0.2849,0,0,0.0378,False
66,1,random,0.2,0.3125,0.0788,0,1,0.0787,True
69,1,random,0.12,0.3044,0.1839,0,1,0.0348,True
70,1,random,0.32,4.3589,0.2973,0,1,0.0523,True
73,1,random,0.32,1.4096,0.2502,0,1,0.0922,True
74,0,pair,0.16,0.2025,0.1297,1,0,0.0768,True
75,1,random,0.32,3.7832,0.6484,0,0,0.1179,False
76,1,random,0.12,0.1538,0.1361,0,1,0.0719,True
79,1,random,0.32,3.2433,3.0712,0,0,0.1178,False
80,0,random,0.2,1.1129,0.2499,1,1,0.0583,False
83,1,random,0.2,0.6167,0.2972,0,1,0.0652,True
84,1,single,0.16,0.3255,0.2055,0,1,0.0421,True
86,1,random,0.32,1.1935,0.309,0,1,0.035,True
87,1,random,0.32,0.6714,0.545,0,1,0.0479,True
90,1,random,0.32,0.3415,0.3388,0,0,0.0573,False
91,0,random,0.32,12.8824,0.3144,1,1,0.0794,False
95,0,single,0.06,0.0738,0.0541,1,1,0.031,False
97,1,single,0.16,0.4425,0.3238,0,1,0.0318,True
98,1,single,0.16,1.2199,0.1815,0,1,0.0558,True
100,1,random,0.32,1.4996,0.2571,0,0,0.0807,False
101,1,random,0.32,0.7225,0.2155,0,1,0.0534,True
104,1,single,0.06,0.1531,0.1108,0,0,0.0376,False
106,0,random,0.32,0.6861,0.2972,1,1,0.0989,False
107,1,random,0.32,0.4633,nan,0,1,0.1113,True
108,1,pair,0.1,0.3681,0.0767,0,1,0.0315,True
112,1,single,0.1,0.1898,0.116,0,1,0.0447,True
113,1,random,0.32,0.7955,0.3198,0,1,0.0418,True
114,1,random,0.32,2.0309,0.6893,0,1,0.0939,True
116,0,single,0.16,1.1843,0.3464,1,1,0.0395,False
119,1,single,0.16,1.0863,0.1614,0,1,0.0333,True
120,1,single,0.16,0.2514,0.2444,0,0,0.0317,False
124,1,single,0.16,0.2503,0.2412,0,1,0.043,True
128,1,pair,0.16,0.7374,0.1829,0,1,0.0313,True
129,1,random,0.2,0.3267,0.2626,0,1,0.0504,True
131,1,single,0.06,0.1294,0.0583,0,1,0.0353,True
133,1,single,0.16,1.7615,0.1799,0,1,0.0392,True
136,1,random,0.32,0.4334,0.5553,0,1,0.0436,True
137,1,random,0.32,0.8625,0.2465,0,1,0.0427,True
140,1,pair,0.1,0.2084,0.0992,0,1,0.0463,True
141,1,random,0.2,0.5803,0.2734,0,0,0.0436,False
143,1,random,0.32,5.7805,0.4525,0,1,0.0533,True
144,1,single,0.16,1.0329,0.1423,0,1,0.0362,True
146,0,pair,0.16,0.3886,0.2034,1,1,0.041,False
148,1,random,0.32,5.822,0.2266,0,1,0.0402,True
152,1,random,0.32,3.1456,1.6168,0,1,0.0845,True
154,1,random,0.32,5.9038,1.4963,0,0,0.091,False
156,1,random,0.32,3.0414,0.4736,0,1,0.0496,True
158,1,random,0.32,1.5227,0.5957,0,0,0.0618,False
162,0,random,0.2,2.7649,0.2127,1,1,0.0574,False
163,1,random,0.32,4.3525,nan,0,1,0.081,True
164,1,random,0.32,0.4342,0.3818,0,1,0.0341,True
166,0,random,0.12,0.7527,0.1656,1,0,0.0376,True
169,1,random,0.32,0.5084,0.4519,0,1,0.0747,True
171,1,random,0.32,2.6979,nan,0,1,0.0521,True
174,1,random,0.32,0.737,0.4264,0,0,0.0828,False
175,1,pair,0.16,1.9539,0.2271,0,0,0.0318,False
181,1,random,0.2,0.4551,0.3903,0,1,0.0562,True
187,0,single,0.16,0.3905,0.1831,1,1,0.0525,False
188,1,random,0.32,0.4817,2.2319,0,1,0.0414,True
189,1,random,0.32,8.3487,0.289,0,1,0.0319,True
190,0,single,0.16,0.1832,0.1846,1,0,0.0742,True
192,0,random,0.32,2.3664,0.376,1,1,0.0545,False
197,1,random,0.32,2.903,0.422,0,1,0.0418,True
199,1,single,0.16,0.3648,0.2064,0,1,0.0375,True
201,1,pair,0.16,0.1693,0.1444,0,1,0.0361,True
202,0,random,0.32,6.5033,0.5142,1,1,0.0491,False
205,0,single,0.16,0.3202,0.1964,1,0,0.0586,True
206,1,pair,0.16,4.0457,0.1623,0,1,0.0356,True
207,1,random,0.2,0.2094,0.1258,0,0,0.0822,False
209,1,random,0.32,3.42,0.1803,0,1,0.1238,True
211,0,random,0.32,0.411,0.3363,1,1,0.0599,False
213,1,pair,0.16,0.1358,0.2407,0,1,0.0304,True
219,0,single,0.16,1.8574,0.1692,1,1,0.0519,False
221,0,single,0.1,1.9607,0.081,1,1,0.0475,False
227,1,random,0.2,6.8777,0.2002,0,1,0.0335,True
228,1,random,0.32,0.5682,0.4437,0,1,0.0347,True
230,1,single,0.16,0.5163,0.1448,0,1,0.0456,True
233,1,random,0.32,0.6149,0.2116,0,1,0.1165,True
235,0,pair,0.16,0.4353,0.2329,1,0,0.0373,True
237,1,random,0.12,0.7246,0.1809,0,1,0.0301,True
244,1,random,0.32,0.4358,0.2538,0,1,0.0603,True
246,0,random,0.2,4.4357,0.4518,1,0,0.0343,True
249,1,random,0.12,0.5345,0.1503,0,0,0.0404,False
250,1,random,0.32,1.9715,0.4188,0,1,0.0497,True
251,1,random,0.12,0.2541,0.2377,0,0,0.035,False
255,1,single,0.16,3.9202,0.2387,0,1,0.0345,True
