scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
2,1,random,0.32,0.4632,0.3129,0,1,0.0734,True
3,0,single,0.16,3.6103,0.2541,1,0,0.0487,True
4,0,random,0.2,1.312,0.3963,1,0,0.0507,True
7,0,random,0.32,0.4902,0.3112,1,0,0.0837,True
8,1,random,0.32,5.9631,nan,0,1,0.0387,True
9,1,random,0.2,1.5682,0.3055,0,1,0.0421,True
10,1,single,0.16,2.1321,0.1124,0,1,0.0502,True
11,1,random,0.32,0.5019,0.4861,0,1,0.0328,True
15,1,single,0.16,0.5015,0.2374,0,1,0.0589,True
16,1,single,0.16,3.4504,0.1497,0,1,0.0512,True
20,1,random,0.2,0.3691,0.2687,0,1,0.034,True
21,1,random,0.32,1.4649,0.2823,0,1,0.0325,True
22,0,random,0.32,4.4873,0.2233,1,0,0.0596,True
23,1,random,0.32,0.8898,0.2841,0,1,0.0481,True
24,1,random,0.32,1.5132,0.3254,0,1,0.0415,True
26,0,random,0.32,7.1817,0.3507,1,1,0.1591,False
27,0,random,0.2,0.3586,0.2369,1,0,0.041,True
29,1,random,0.32,2.2162,0.5656,0,1,0.0818,True
35,1,random,0.32,6.8402,0.6288,0,1,0.1162,True
40,0,single,0.16,3.3772,0.1405,1,0,0.0358,True
43,0,random,0.32,6.5627,0.307,1,0,0.0561,True
46,1,single,0.06,0.1167,0.0719,0,1,0.0398,True
54,0,random,0.2,1.3273,1.4814,1,0,0.0328,True
56,0,single,0.16,3.2788,0.2971,1,0,0.0398,True
58,0,single,0.1,2.838,0.1214,1,0,0.0461,True
61,1,random,0.32,4.8501,0.3124,0,1,0.0346,True
63,1,random,0.32,4.0282,0.3568,0,1,0.0344,True
65,1,single,0.16,0.7171,0.277,0,1,0.0322,True
67,1,pair,0.16,0.4415,0.2192,0,1,0.0431,True
70,1,random,0.32,0.7127,0.1581,0,1,0.031,True
71,1,single,0.16,2.3138,0.1485,0,1,0.0441,True
72,1,random,0.32,3.1635,0.4144,0,1,0.0674,True
73,1,random,0.32,4.1703,0.4308,0,1,0.0317,True
74,0,random,0.32,9.1371,0.4331,1,0,0.1174,True
75,1,random,0.32,0.7891,0.5071,0,1,0.0331,True
76,1,single,0.16,3.5939,0.2414,0,1,0.0381,True
80,0,random,0.2,2.5295,0.5089,1,0,0.0315,True
82,0,pair,0.1,0.3395,0.1482,1,0,0.038,True
83,1,random,0.32,0.4458,0.2356,0,1,0.0384,True
85,1,random,0.2,0.2626,0.2901,0,1,0.0788,True
87,1,random,0.32,8.7979,0.2289,0,0,0.0726,False
89,1,single,0.1,0.1039,0.1251,0,1,0.0801,True
91,1,random,0.2,0.3978,0.1651,0,1,0.0499,True
92,1,random,0.32,1.4925,nan,0,1,0.0548,True
94,0,single,0.16,2.0467,0.1378,1,0,0.0647,True
95,1,single,0.16,0.5066,0.227,0,1,0.0337,True
96,0,random,0.32,4.7807,0.4473,1,1,0.0712,False
98,1,pair,0.16,0.1623,0.2195,0,1,0.0487,True
99,1,random,0.32,0.906,0.3212,0,1,0.0471,True
100,1,single,0.1,0.2082,0.1553,0,1,0.0408,True
101,1,random,0.32,7.7222,0.2618,0,0,0.0419,False
109,1,random,0.32,3.4647,0.2564,0,1,0.0499,True
110,1,random,0.32,2.6644,0.2629,0,1,0.0662,True
111,1,single,0.16,2.6405,0.2147,0,1,0.0428,True
112,1,random,0.2,0.278,0.2951,0,1,0.1085,True
114,0,random,0.32,0.7197,0.3535,1,0,0.0503,True
115,1,random,0.32,1.6687,0.3312,0,1,0.156,True
116,1,single,0.1,0.205,0.1477,0,1,0.0413,True
117,1,random,0.32,6.8086,0.4728,0,0,0.0607,False
118,1,random,0.32,1.2272,0.2656,0,1,0.0732,True
119,1,random,0.2,0.2341,0.2458,0,1,0.0428,True
120,0,random,0.32,3.2659,0.2767,1,0,0.0446,True
122,0,random,0.32,5.4617,0.402,1,1,0.0702,False
123,1,single,0.16,0.3616,0.1726,0,1,0.0443,True
124,1,random,0.32,0.5512,0.3869,0,1,0.0654,True
125,1,random,0.32,4.8011,0.2913,0,1,0.0365,True
126,1,random,0.2,0.7975,0.1556,0,1,0.0342,True
127,0,random,0.2,2.0648,0.321,1,0,0.0358,True
128,0,single,0.16,3.4439,0.1289,1,0,0.054,True
129,1,random,0.12,0.1665,0.1614,0,1,0.0367,True
134,1,pair,0.16,0.3565,0.1983,0,1,0.0592,True
135,0,random,0.32,8.2569,0.305,1,0,0.0497,True
136,1,random,0.2,1.0071,0.2527,0,1,0.0359,True
139,1,pair,0.16,0.732,0.2309,0,1,0.0379,True
140,1,single,0.16,2.9947,0.1442,0,1,0.0301,True
142,1,random,0.2,0.2586,3.081,0,1,0.051,True
143,1,single,0.16,5.0015,0.2118,0,1,0.0449,True
146,0,single,0.1,2.5908,0.0909,1,0,0.037,True
147,1,random,0.32,3.4513,0.4209,0,1,0.0822,True
148,1,random,0.32,1.7121,0.3675,0,1,0.0302,True
150,1,random,0.32,0.4727,0.2766,0,1,0.1239,True
153,1,pair,0.16,0.3399,0.1482,0,1,0.0381,True
156,1,single,0.16,0.2998,0.217,0,1,0.0396,True
157,0,random,0.32,0.4249,0.2774,1,0,0.0417,True
159,1,random,0.32,2.2174,0.6023,0,1,0.0448,True
166,1,random,0.32,2.2698,0.4794,0,1,0.034,True
167,0,single,0.06,0.1555,0.0659,1,0,0.0365,True
168,1,random,0.32,0.7013,0.239,0,1,0.0772,True
169,1,random,0.2,0.2685,0.1776,0,1,0.0947,True
171,1,single,0.1,0.209,0.195,0,1,0.0322,True
174,1,random,0.32,5.1141,0.3285,0,1,0.0363,True
177,1,random,0.2,1.0204,0.3049,0,1,0.0411,True
178,1,random,0.2,1.4246,0.3326,0,1,0.0397,True
184,1,random,0.32,3.0829,0.296,0,1,0.1406,True
192,1,random,0.32,2.41,0.4858,0,1,0.0459,True
193,1,random,0.32,12.4881,0.1613,0,0,0.2035,False
196,1,random,0.32,0.3017,0.2978,0,1,0.0494,True
200,1,random,0.32,1.3668,0.5632,0,1,0.0733,True
203,1,single,0.16,0.2248,0.1766,0,1,0.0411,True
204,1,single,0.1,0.2548,0.0927,0,1,0.03,True
205,1,pair,0.16,0.3174,0.1476,0,1,0.0348,True
207,1,single,0.1,0.1596,0.0934,0,1,0.049,True
213,1,single,0.16,0.6289,0.2164,0,1,0.035,True
216,0,random,0.32,9.564,0.26,1,1,0.076,False
222,1,single,0.1,0.819,0.1364,0,1,0.0415,True
224,1,single,0.06,0.1427,0.055,0,1,0.0307,True
227,1,random,0.32,13.7731,0.3863,0,0,0.0524,False
228,1,random,0.32,3.3307,0.2995,0,1,0.1689,True
229,1,random,0.32,0.817,0.4041,0,1,0.0419,True
230,1,single,0.16,1.4314,0.1889,0,1,0.0307,True
231,1,random,0.32,5.9125,1.7281,0,1,0.1479,True
232,1,random,0.32,1.9096,nan,0,1,0.0515,True
233,0,random,0.32,1.8472,1.0192,1,0,0.077,True
236,1,random,0.32,1.7065,0.2526,0,1,0.097,True
237,1,pair,0.16,1.2733,0.151,0,1,0.0361,True
238,0,random,0.32,0.7348,0.7146,1,0,0.0456,True
240,1,random,0.32,11.5746,0.4338,0,1,0.0811,True
243,1,pair,0.16,0.2278,0.1659,0,1,0.0603,True
244,0,random,0.32,6.1806,0.3119,1,1,0.2075,False
245,0,pair,0.16,0.7577,0.2729,1,0,0.0407,True
249,1,random,0.32,1.448,0.2389,0,1,0.0773,True
250,0,single,0.1,0.7311,0.1909,1,0,0.0409,True
252,1,random,0.32,6.635,0.3114,0,0,0.0844,False
