scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
1,1,random,0.32,3.912,0.1983,0,1,0.0301,True
2,1,random,0.32,6.5969,0.2131,0,1,0.0363,True
8,0,pair,0.16,0.7854,0.2153,1,1,0.0459,False
10,1,random,0.32,8.4725,0.183,0,1,0.0672,True
15,1,single,0.1,0.1326,0.0901,0,1,0.0419,True
16,1,single,0.16,0.4239,0.1787,0,0,0.0475,False
19,0,single,0.16,0.4555,0.3166,1,1,0.0352,False
20,1,random,0.32,1.3186,0.4148,0,1,0.0454,True
21,0,random,0.32,5.0068,0.8335,1,1,0.0774,False
24,1,random,0.2,0.8679,0.3689,0,1,0.0335,True
27,0,pair,0.16,0.8535,0.4929,1,1,0.0314,False
29,0,random,0.32,1.8545,0.9644,1,0,0.037,True
31,1,random,0.32,4.5646,0.2479,0,0,0.0303,False
32,1,random,0.32,5.8596,0.1887,0,1,0.0845,True
33,1,random,0.32,2.0313,0.6036,0,1,0.034,True
34,1,pair,0.16,0.4836,0.221,0,1,0.0316,True
35,1,random,0.12,0.196,0.0692,0,1,0.0533,True
36,1,random,0.32,3.4809,0.2533,0,1,0.1155,True
38,1,random,0.32,0.8815,0.2355,0,1,0.0682,True
41,1,random,0.32,2.4145,0.2993,0,1,0.049,True
42,1,pair,0.16,2.4939,0.1112,0,0,0.033,False
43,1,random,0.32,4.0726,0.2423,0,1,0.035,True
44,0,random,0.12,1.2089,0.1162,1,0,0.0318,True
45,1,random,0.2,3.2141,0.3207,0,1,0.0376,True
46,1,single,0.16,0.6327,0.4013,0,1,0.0352,True
47,1,pair,0.16,1.3957,0.1125,0,1,0.0535,True
48,1,random,0.32,1.2487,0.2883,0,1,0.0362,True
49,1,random,0.12,1.2035,0.1882,0,0,0.0442,False
50,1,random,0.32,6.9728,0.3767,0,1,0.0399,True
51,0,random,0.32,1.687,0.5459,1,1,0.0891,False
52,1,random,0.32,0.2294,0.2733,0,1,0.0409,True
53,0,pair,0.16,0.2174,0.3124,1,1,0.0509,False
54,0,random,0.32,7.5031,0.494,1,1,0.1437,False
55,0,single,0.16,0.896,0.1969,1,1,0.0648,False
59,0,random,0.32,0.6058,0.3448,1,1,0.0982,False
60,1,random,0.12,0.2293,0.5286,0,1,0.0699,True
63,1,random,0.32,0.3871,0.3811,0,1,0.031,True
64,1,random,0.32,7.3246,0.2041,0,0,0.0378,False
66,1,random,0.32,0.8831,0.2643,0,0,0.0762,False
69,1,single,0.16,0.2066,0.1661,0,1,0.0318,True
70,1,random,0.32,0.6513,0.2363,0,1,0.0523,True
73,1,random,0.32,5.3909,0.4254,0,0,0.0368,False
74,0,single,0.16,0.2038,0.1417,1,1,0.0823,False
75,1,random,0.32,7.5362,0.4767,0,0,0.1179,False
76,1,pair,0.1,0.0706,0.0794,0,1,0.0328,True
79,1,random,0.32,1.6714,3.7925,0,1,0.1178,True
80,0,random,0.32,0.6787,0.4683,1,1,0.0487,False
83,1,random,0.2,0.1783,0.2851,0,1,0.0652,True
84,1,random,0.2,0.1641,0.1252,0,1,0.0726,True
86,1,random,0.32,0.6139,0.2403,0,1,0.0657,True
87,1,random,0.32,0.7295,0.6892,0,1,0.0783,True
90,1,single,0.16,0.6461,0.4743,0,0,0.051,False
91,0,random,0.32,13.0087,0.3321,1,0,0.0794,True
95,0,random,0.12,0.1617,0.1878,1,1,0.0486,False
97,1,pair,0.16,0.8493,0.4943,0,1,0.0392,True
98,1,single,0.16,1.061,0.1933,0,1,0.0558,True
100,1,random,0.32,0.5834,0.2662,0,1,0.0807,True
101,1,single,0.16,1.5425,0.264,0,1,0.0346,True
104,1,single,0.06,0.0852,0.0642,0,0,0.0411,False
106,0,random,0.32,1.1267,1.6011,1,1,0.0317,False
107,1,random,0.32,1.4319,nan,0,0,0.1113,False
108,1,pair,0.1,0.2109,0.1315,0,1,0.0315,True
112,1,random,0.2,0.1934,0.1889,0,1,0.0383,True
113,1,random,0.32,1.7834,0.2582,0,1,0.0418,True
114,1,random,0.32,2.6751,1.618,0,1,0.0337,True
116,0,single,0.16,0.329,0.3019,1,1,0.0395,False
119,1,random,0.32,2.8353,0.1826,0,1,0.0405,True
120,1,pair,0.1,0.1061,0.075,0,0,0.0422,False
124,1,single,0.16,0.6758,0.2432,0,1,0.0329,True
128,1,pair,0.16,0.9272,0.1002,0,1,0.0313,True
129,1,random,0.2,0.4384,0.1501,0,1,0.0371,True
131,1,pair,0.1,0.1384,0.1435,0,1,0.0473,True
133,1,random,0.32,1.038,0.2742,0,1,0.0563,True
136,1,random,0.32,3.2468,0.8181,0,1,0.0436,True
137,1,random,0.32,0.8012,0.5852,0,1,0.0311,True
140,1,single,0.06,0.041,0.0417,0,1,0.0324,True
141,1,single,0.16,0.2017,0.1915,0,0,0.0385,False
143,1,random,0.32,4.781,0.6184,0,1,0.0533,True
144,1,random,0.2,0.9326,0.5124,0,1,0.0375,True
146,0,single,0.1,0.5119,0.1236,1,1,0.0317,False
148,1,random,0.32,5.4939,0.0814,0,1,0.0402,True
152,1,random,0.32,3.8124,0.4907,0,1,0.0845,True
154,1,random,0.32,4.175,0.2466,0,0,0.091,False
156,1,random,0.32,3.1535,0.2167,0,1,0.0496,True
158,1,random,0.32,0.4196,0.5678,0,1,0.0618,True
162,0,random,0.2,0.989,0.2464,1,0,0.0574,True
163,1,random,0.32,0.7608,nan,0,1,0.081,True
164,1,single,0.1,0.1758,0.1815,0,1,0.0322,True
166,0,single,0.16,0.2628,0.2196,1,1,0.0663,False
169,1,random,0.2,0.4385,0.191,0,0,0.0449,False
171,1,random,0.32,1.1403,nan,0,1,0.0521,True
174,1,random,0.32,0.568,0.3871,0,0,0.0828,False
175,1,pair,0.16,2.0759,0.1165,0,0,0.0318,False
181,1,single,0.06,0.6425,0.1677,0,1,0.0341,True
187,0,single,0.16,0.4242,0.1091,1,1,0.0407,False
188,1,random,0.32,0.7255,0.2445,0,1,0.0797,True
189,1,random,0.32,6.6774,0.3492,0,1,0.0319,True
190,0,random,0.12,0.7322,0.097,1,0,0.0337,True
192,0,random,0.32,6.501,0.305,1,1,0.0545,False
197,1,random,0.32,2.7099,0.5379,0,1,0.0418,True
199,1,random,0.2,0.6755,0.1329,0,1,0.0353,True
201,1,pair,0.16,0.2603,0.156,0,1,0.0562,True
202,0,random,0.32,3.6013,0.4063,1,1,0.0491,False
205,0,random,0.2,0.4718,0.1976,1,1,0.0362,False
206,1,pair,0.16,2.1292,0.142,0,1,0.0356,True
207,1,random,0.12,0.2363,0.112,0,1,0.073,True
209,1,random,0.32,1.9875,0.3033,0,1,0.1238,True
211,0,random,0.32,2.0331,0.3334,1,0,0.0599,True
213,1,pair,0.16,0.2548,0.7991,0,1,0.0304,True
219,0,single,0.16,1.1048,0.2919,1,0,0.0519,True
221,0,random,0.2,0.4966,0.1051,1,1,0.0777,False
227,1,random,0.2,5.5921,0.2374,0,1,0.0335,True
228,1,random,0.2,0.281,0.1744,0,1,0.0322,True
230,1,random,0.12,0.2923,0.1569,0,1,0.0545,True
233,1,random,0.32,0.3657,1.5479,0,1,0.0718,True
235,0,pair,0.16,0.5302,0.2166,1,0,0.0373,True
237,1,single,0.1,0.2383,0.1036,0,1,0.0303,True
244,1,random,0.32,0.6302,0.2792,0,1,0.0696,True
246,0,random,0.2,3.4426,0.4682,1,0,0.0343,True
249,1,single,0.16,0.4197,0.1501,0,0,0.0703,False
250,1,random,0.32,1.0093,0.3065,0,1,0.1656,True
251,1,single,0.16,0.3822,0.2252,0,0,0.0641,False
255,1,single,0.16,1.9288,0.0746,0,1,0.0345,True
