scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
1,1,random,0.32,3.2042,0.3956,0,1,0.0643,True
2,1,random,0.32,5.7166,0.552,0,1,0.0363,True
8,0,single,0.16,1.2295,0.181,1,1,0.0368,False
10,1,random,0.32,11.6519,0.7253,0,1,0.0672,True
15,1,single,0.1,0.1337,0.1158,0,1,0.0323,True
16,1,single,0.16,0.2919,0.1396,0,0,0.0475,False
19,0,pair,0.16,0.688,0.2518,1,1,0.0523,False
20,1,single,0.16,1.8836,0.1798,0,1,0.0339,True
21,0,random,0.32,10.1674,0.6576,1,1,0.0774,False
24,1,random,0.2,0.2751,1.7127,0,1,0.0329,True
27,0,single,0.16,1.7854,0.8816,1,1,0.032,False
29,0,random,0.2,0.7779,0.3781,1,1,0.0326,False
31,1,random,0.32,10.5926,0.3405,0,0,0.0303,False
32,1,random,0.32,6.3902,0.2225,0,1,0.0845,True
33,1,random,0.32,0.6479,0.3193,0,1,0.0821,True
34,1,pair,0.16,0.3693,0.2204,0,1,0.0316,True
35,1,single,0.16,0.3978,0.2599,0,1,0.0431,True
36,1,random,0.2,4.8256,0.3942,0,0,0.0353,False
38,1,random,0.32,3.3821,0.6602,0,0,0.0682,False
41,1,random,0.2,3.0438,0.2079,0,1,0.0324,True
42,1,random,0.2,0.5965,0.2966,0,0,0.0339,False
43,1,random,0.32,5.85,0.276,0,1,0.035,True
44,0,random,0.2,2.5897,0.2936,1,0,0.03,True
45,1,random,0.2,2.872,0.2103,0,1,0.0724,True
46,1,single,0.16,0.2305,0.1387,0,1,0.0451,True
47,1,pair,0.16,0.9821,0.205,0,1,0.0535,True
48,1,random,0.32,2.8657,0.5911,0,1,0.0362,True
49,1,random,0.32,0.9888,1.7226,0,0,0.0529,False
50,1,random,0.32,10.8667,0.3182,0,1,0.0399,True
51,0,random,0.32,6.0046,1.2504,1,1,0.0891,False
52,1,single,0.16,0.5283,0.2468,0,1,0.0718,True
53,0,single,0.1,0.2067,0.1341,1,1,0.0338,False
54,0,random,0.32,3.4885,0.3409,1,1,0.1437,False
55,0,single,0.16,0.2819,0.3176,1,1,0.0648,False
59,0,random,0.32,4.2379,0.7171,1,1,0.0982,False
60,1,pair,0.1,0.1362,0.1945,0,1,0.0474,True
63,1,random,0.32,2.3753,0.6122,0,0,0.031,False
64,1,random,0.32,11.2898,0.3635,0,0,0.0378,False
66,1,random,0.2,0.2725,0.2192,0,1,0.0787,True
69,1,pair,0.16,0.5217,0.2114,0,1,0.0315,True
70,1,random,0.32,1.1919,0.3219,0,1,0.0523,True
73,1,random,0.32,1.6934,0.422,0,1,0.0922,True
74,0,pair,0.16,0.1787,0.1847,1,0,0.0768,True
75,1,random,0.32,6.0454,0.5361,0,0,0.1179,False
76,1,random,0.12,0.1834,0.2291,0,1,0.0662,True
79,1,random,0.32,3.3111,4.2108,0,1,0.1178,True
80,0,random,0.32,0.6642,0.4788,1,1,0.0487,False
83,1,single,0.16,0.3536,0.2062,0,1,0.0865,True
84,1,pair,0.16,0.6931,0.2606,0,1,0.0311,True
86,1,single,0.16,2.5424,0.2717,0,1,0.0491,True
87,1,random,0.2,0.3941,0.3647,0,1,0.0337,True
90,1,single,0.16,0.5039,0.2442,0,0,0.051,False
91,0,random,0.32,12.1697,0.3062,1,1,0.0794,False
95,0,single,0.1,0.5061,0.0877,1,1,0.0682,False
97,1,random,0.32,0.585,3.86,0,1,0.0415,True
98,1,single,0.16,1.2771,0.3048,0,1,0.0558,True
100,1,random,0.32,2.023,0.2893,0,1,0.0571,True
101,1,random,0.32,0.9815,0.4268,0,1,0.0534,True
104,1,single,0.06,0.056,0.0851,0,0,0.0376,False
106,0,random,0.32,1.7591,0.4184,1,1,0.0317,False
107,1,single,0.16,1.1621,0.163,0,0,0.0338,False
108,1,pair,0.1,0.1952,0.0915,0,1,0.0315,True
112,1,random,0.2,0.2771,0.3157,0,1,0.0383,True
113,1,random,0.32,2.1026,0.3381,0,1,0.0418,True
114,1,random,0.32,1.1084,1.8324,0,1,0.0939,True
116,0,random,0.2,2.9507,0.5477,1,1,0.0385,False
119,1,random,0.32,2.7571,0.4421,0,1,0.0405,True
120,1,single,0.06,0.1714,0.1215,0,0,0.0308,False
124,1,single,0.16,0.923,0.3256,0,1,0.0329,True
128,1,random,0.2,1.4242,0.2769,0,1,0.0432,True
129,1,random,0.32,0.3555,nan,0,1,0.1382,True
131,1,single,0.06,0.1352,0.0944,0,1,0.0353,True
133,1,single,0.16,1.9549,0.1909,0,1,0.0392,True
