scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
3,0,single,0.16,0.1769,0.2333,1,1,0.0393,False
5,1,random,0.32,7.7456,nan,0,0,0.0433,False
8,1,pair,0.1,0.2353,0.1439,0,0,0.0448,False
10,1,random,0.32,0.8485,0.3173,0,0,0.0891,False
11,0,single,0.16,3.3875,0.1612,1,0,0.0341,True
12,0,single,0.16,0.3763,0.1197,1,1,0.0417,False
14,1,random,0.32,2.7515,0.3146,0,1,0.0806,True
17,1,random,0.2,0.5373,0.225,0,0,0.0307,False
19,1,random,0.2,0.3981,0.1277,0,1,0.0541,True
21,1,random,0.32,3.0405,0.2508,0,1,0.0387,True
22,1,pair,0.16,0.2695,0.2708,0,1,0.0347,True
23,1,single,0.16,0.3108,0.1848,0,1,0.0337,True
24,1,pair,0.16,1.3245,0.1705,0,1,0.0305,True
27,0,random,0.2,0.5409,0.2546,1,1,0.0867,False
31,1,random,0.2,0.5417,0.1845,0,1,0.0484,True
32,1,random,0.32,0.5967,0.445,0,0,0.0636,False
33,1,random,0.2,0.4057,0.2739,0,0,0.1644,False
34,0,single,0.16,2.4959,0.2538,1,0,0.033,True
35,1,single,0.16,4.1734,0.1606,0,0,0.0308,False
37,1,random,0.2,1.5621,0.1349,0,0,0.0367,False
38,0,random,0.2,0.5706,0.3564,1,1,0.0409,False
39,1,random,0.2,1.8481,0.2601,0,1,0.0303,True
40,0,random,0.12,2.5766,0.1404,1,0,0.0326,True
42,0,single,0.16,1.9417,0.1962,1,0,0.0447,True
44,1,random,0.32,2.9524,0.4808,0,1,0.0316,True
46,1,random,0.2,0.2911,0.3981,0,1,0.0468,True
48,0,random,0.32,7.657,1.0516,1,1,0.0573,False
49,1,random,0.32,5.4094,0.4031,0,1,0.0908,True
51,0,random,0.32,0.4885,0.379,1,0,0.0994,True
52,1,random,0.32,0.6816,0.2863,0,1,0.0579,True
53,0,pair,0.1,0.7154,0.1533,1,0,0.0365,True
55,1,random,0.2,0.8919,0.1862,0,1,0.0591,True
57,1,random,0.12,0.3321,0.1642,0,1,0.0477,True
59,1,random,0.32,0.5613,0.3367,0,1,0.1108,True
62,1,single,0.16,2.1448,0.1383,0,1,0.0338,True
63,1,random,0.32,3.9783,0.2718,0,0,0.0609,False
65,1,pair,0.16,0.5741,0.3311,0,1,0.0517,True
66,1,random,0.32,0.9783,0.2791,0,0,0.0356,False
67,1,single,0.16,0.316,0.147,0,1,0.0436,True
68,1,random,0.2,0.9968,0.19,0,1,0.0555,True
70,1,random,0.32,5.9474,0.3966,0,1,0.079,True
71,0,random,0.32,3.9872,0.2533,1,1,0.0357,False
74,0,random,0.32,1.2175,0.3152,1,1,0.0624,False
77,0,random,0.32,1.041,0.2353,1,1,0.0686,False
81,0,random,0.32,7.2942,0.6018,1,1,0.0553,False
82,1,single,0.16,2.174,0.2448,0,1,0.035,True
83,1,single,0.16,0.3393,0.1658,0,1,0.0555,True
90,1,random,0.12,0.3641,0.3117,0,0,0.0315,False
91,1,random,0.32,0.9693,0.3906,0,1,0.0932,True
94,1,single,0.1,0.7536,0.1156,0,1,0.0656,True
95,0,single,0.16,0.6525,0.1597,1,0,0.03,True
98,1,random,0.32,2.5066,0.3465,0,1,0.0561,True
99,1,single,0.16,2.1328,0.2402,0,1,0.0454,True
100,1,random,0.2,1.4448,0.1858,0,1,0.0301,True
108,1,single,0.1,0.5011,0.1508,0,0,0.0437,False
109,1,random,0.2,0.3288,0.193,0,1,0.0513,True
110,1,random,0.32,0.482,2.8857,0,0,0.0406,False
111,1,random,0.2,0.7057,0.6023,0,1,0.0334,True
112,1,single,0.16,0.2456,0.2891,0,1,0.0513,True
114,1,random,0.32,0.4599,0.3891,0,1,0.0676,True
118,1,random,0.2,0.2746,0.1806,0,1,0.0315,True
120,0,random,0.32,2.66,nan,1,0,0.0597,True
121,1,random,0.2,4.5303,0.3158,0,0,0.0519,False
124,0,random,0.06,0.2264,0.0796,1,0,0.0337,True
125,1,random,0.32,4.8138,0.3117,0,1,0.0965,True
129,1,random,0.2,0.5635,0.1692,0,1,0.0308,True
131,1,random,0.32,0.1425,0.1302,0,1,0.2085,True
132,0,random,0.32,5.9486,0.495,1,1,0.0561,False
134,1,random,0.32,4.3605,0.3065,0,0,0.0532,False
135,1,random,0.32,8.034,0.3646,0,0,0.0716,False
137,0,single,0.1,0.4622,0.1136,1,0,0.0335,True
138,0,random,0.32,8.5907,0.2337,1,0,0.0639,True
140,1,random,0.32,0.9576,0.2712,0,1,0.0522,True
143,1,single,0.16,0.4147,0.211,0,0,0.0322,False
145,0,single,0.1,1.5048,0.1372,1,1,0.0375,False
146,0,random,0.32,2.1092,0.4346,1,0,0.1244,True
148,1,random,0.32,3.9216,0.4445,0,0,0.1345,False
149,1,single,0.1,0.2097,0.1275,0,0,0.0308,False
150,1,single,0.1,0.3367,0.0893,0,1,0.0317,True
152,1,random,0.2,0.2307,0.1956,0,0,0.049,False
155,1,random,0.32,3.1327,nan,0,1,0.0584,True
156,0,single,0.16,0.6784,0.1646,1,0,0.0343,True
158,1,random,0.32,0.2971,2.0219,0,0,0.0726,False
162,0,single,0.16,4.5131,0.2546,1,0,0.0382,True
168,1,pair,0.16,0.5058,0.2325,0,1,0.0374,True
172,0,random,0.2,2.4017,0.153,1,0,0.0433,True
175,1,random,0.32,3.0541,0.3293,0,1,0.0453,True
178,0,random,0.2,0.6727,0.2374,1,0,0.0314,True
179,0,random,0.32,0.7872,0.4089,1,0,0.0407,True
180,0,random,0.32,2.4239,0.3272,1,1,0.0725,False
181,1,random,0.32,1.2424,0.2452,0,1,0.0378,True
182,1,random,0.32,1.4843,0.4209,0,1,0.0322,True
184,1,random,0.32,5.2686,2.7399,0,0,0.0619,False
185,1,pair,0.16,0.4751,0.2624,0,0,0.0328,False
186,1,random,0.2,1.1668,0.1451,0,1,0.048,True
189,0,random,0.32,8.1647,0.4111,1,0,0.0426,True
191,1,pair,0.1,0.2223,0.8338,0,0,0.0545,False
192,1,random,0.32,1.8609,0.4125,0,1,0.0829,True
193,1,random,0.32,1.5206,0.3967,0,1,0.0554,True
195,1,single,0.16,1.1827,0.3172,0,0,0.0589,False
196,1,random,0.32,2.7948,0.2579,0,1,0.0657,True
198,1,random,0.2,5.6103,0.4296,0,1,0.0693,True
200,0,random,0.32,6.4196,0.402,1,1,0.0343,False
204,0,random,0.32,6.0589,0.2959,1,0,0.0563,True
205,1,random,0.32,2.4728,0.3404,0,1,0.0373,True
206,1,random,0.32,9.4338,0.1985,0,0,0.1536,False
208,0,single,0.1,0.1649,0.1129,1,1,0.0301,False
210,1,random,0.2,0.7641,0.3948,0,1,0.0328,True
213,0,random,0.32,2.0347,0.219,1,1,0.0763,False
217,1,single,0.16,0.5236,0.33,0,1,0.0308,True
218,1,random,0.2,0.4138,0.4137,0,0,0.0434,False
221,1,random,0.32,4.5402,0.2017,0,1,0.0594,True
222,1,random,0.32,1.0587,0.4614,0,1,0.031,True
223,1,random,0.2,0.6284,0.1517,0,1,0.0596,True
224,0,random,0.32,1.7992,0.3096,1,1,0.0667,False
226,1,random,0.12,0.3358,0.1847,0,0,0.0558,False
230,1,single,0.16,0.18,0.1421,0,1,0.0701,True
234,0,random,0.32,5.4537,nan,1,1,0.1898,False
235,1,pair,0.1,0.1626,0.1922,0,1,0.0355,True
238,0,random,0.32,6.1992,0.2308,1,1,0.0767,False
239,0,random,0.32,0.4623,0.3816,1,0,0.0448,True
240,1,single,0.16,0.9042,0.1617,0,1,0.0442,True
245,1,random,0.2,2.5923,0.2045,0,0,0.0332,False
246,0,random,0.32,2.6704,0.3143,1,0,0.0946,True
247,1,random,0.32,0.8011,0.2721,0,1,0.129,True
248,1,random,0.2,0.4883,0.1659,0,1,0.1027,True
249,1,random,0.2,0.3492,0.3546,0,1,0.0912,True
252,1,single,0.16,0.7132,0.1972,0,1,0.0444,True
253,1,random,0.2,0.5089,0.24,0,1,0.0632,True
259,1,random,0.32,5.1834,0.3705,0,1,0.0543,True
265,1,random,0.32,1.7702,0.2661,0,1,0.0868,True
267,1,random,0.32,0.8539,0.4023,0,1,0.1062,True
271,0,single,0.1,0.155,0.1062,1,1,0.0513,False
274,0,single,0.16,0.6215,0.1672,1,1,0.0387,False
275,1,single,0.16,1.4915,0.1627,0,1,0.0388,True
277,1,random,0.12,0.669,0.3455,0,1,0.0602,True
278,1,random,0.2,0.4514,0.3286,0,1,0.055,True
283,1,pair,0.16,0.4232,0.2028,0,1,0.0304,True
285,0,random,0.32,3.4027,0.5878,1,0,0.0621,True
286,1,random,0.12,0.2155,0.1498,0,1,0.0459,True
287,0,random,0.32,9.1361,0.2876,1,1,0.1316,False
292,1,random,0.32,7.2179,0.3299,0,1,0.0736,True
294,1,random,0.32,1.3254,0.308,0,1,0.036,True
295,0,random,0.2,1.2745,0.7507,1,1,0.0665,False
296,0,single,0.1,0.1773,0.1101,1,1,0.0406,False
298,1,random,0.32,2.7395,0.7867,0,1,0.0356,True
302,1,pair,0.16,0.8664,0.2381,0,1,0.0301,True
304,1,random,0.2,0.4784,0.2123,0,1,0.0466,True
305,1,random,0.32,6.6402,0.2803,0,1,0.0475,True
308,1,pair,0.1,0.2957,0.1396,0,1,0.03,True
311,1,single,0.16,1.3094,0.2194,0,1,0.0334,True
312,0,single,0.16,3.3838,0.2785,1,0,0.0463,True
315,0,random,0.32,0.4514,0.2358,1,1,0.0674,False
316,0,single,0.16,0.2487,0.3,1,1,0.0895,False
320,1,random,0.2,1.3822,0.1333,0,1,0.0356,True
