scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
3,0,pair,0.06,0.1078,0.1322,1,1,0.0358,False
5,1,random,0.32,11.0858,nan,0,0,0.0433,False
8,1,single,0.16,0.1779,0.9709,0,0,0.0452,False
10,1,random,0.32,2.3867,0.3941,0,0,0.0354,False
11,0,single,0.16,4.7053,0.1688,1,0,0.0341,True
12,0,random,0.32,1.0656,0.4694,1,1,0.0378,False
14,1,random,0.32,3.0033,0.4297,0,1,0.0806,True
17,1,random,0.32,0.7031,0.6174,0,0,0.0498,False
19,1,random,0.2,0.6478,0.1732,0,1,0.0541,True
21,1,random,0.32,6.8286,0.4246,0,1,0.0387,True
22,1,single,0.1,0.1702,0.1776,0,1,0.0382,True
23,1,single,0.16,0.2863,0.2005,0,1,0.0487,True
24,1,pair,0.16,0.325,0.2594,0,1,0.0305,True
27,0,random,0.2,0.8544,0.2606,1,1,0.0867,False
31,1,random,0.2,0.602,0.3367,0,1,0.0484,True
32,1,random,0.32,1.1025,0.6297,0,1,0.0636,True
33,1,single,0.1,0.2253,0.1213,0,0,0.0304,False
34,0,single,0.1,3.4265,0.2011,1,1,0.0307,False
35,1,random,0.2,3.3857,0.2374,0,0,0.0555,False
37,1,random,0.2,2.185,0.1429,0,1,0.0367,True
38,0,pair,0.16,1.25,0.2089,1,0,0.0335,True
39,1,random,0.2,1.7667,0.3872,0,1,0.0303,True
40,0,single,0.16,3.4033,0.2109,1,0,0.0471,True
42,0,single,0.16,1.9553,0.1769,1,0,0.0447,True
44,1,random,0.32,6.7543,0.3998,0,1,0.0316,True
46,1,single,0.16,1.3636,0.2329,0,1,0.0546,True
48,0,random,0.32,9.9199,0.6949,1,1,0.0573,False
49,1,random,0.32,5.343,0.4334,0,1,0.0908,True
51,0,random,0.2,1.488,0.2694,1,0,0.0616,True
52,1,random,0.32,0.6681,0.3292,0,1,0.0579,True
53,0,pair,0.1,0.778,0.1734,1,0,0.0365,True
55,1,random,0.32,1.2127,0.3647,0,1,0.0403,True
57,1,random,0.12,0.2483,0.1709,0,0,0.0477,False
59,1,single,0.1,0.4607,0.1103,0,1,0.0511,True
62,1,single,0.16,1.0246,0.1953,0,1,0.0338,True
63,1,random,0.32,1.3191,0.2841,0,0,0.0609,False
65,1,pair,0.16,0.4276,0.3302,0,1,0.0517,True
66,1,single,0.16,0.257,0.3341,0,0,0.0528,False
67,1,single,0.16,0.3465,0.2221,0,1,0.0436,True
68,1,random,0.2,0.4481,0.2549,0,1,0.0555,True
70,1,random,0.32,8.0978,0.5377,0,1,0.079,True
71,0,random,0.32,5.7832,0.4163,1,1,0.0357,False
74,0,pair,0.16,1.186,0.3742,1,0,0.0321,True
77,0,random,0.32,1.7594,0.2983,1,1,0.0686,False
81,0,random,0.32,9.6133,0.7838,1,1,0.0553,False
82,1,single,0.16,2.6692,0.2427,0,1,0.035,True
83,1,random,0.32,0.8565,0.2281,0,1,0.0479,True
90,1,random,0.2,0.2194,0.6041,0,0,0.0929,False
91,1,single,0.1,0.2711,0.1317,0,1,0.048,True
94,1,random,0.2,0.3273,0.2204,0,1,0.0535,True
95,0,single,0.16,0.3925,0.1251,1,0,0.03,True
98,1,random,0.32,10.1613,0.5128,0,0,0.039,False
99,1,single,0.16,1.7634,0.2313,0,1,0.0454,True
100,1,random,0.2,1.9437,0.2565,0,0,0.0301,False
108,1,single,0.06,1.3436,0.0752,0,0,0.0393,False
109,1,pair,0.1,0.2055,0.157,0,1,0.0535,True
110,1,random,0.32,1.1726,0.4608,0,1,0.0717,True
111,1,pair,0.1,0.2519,0.119,0,0,0.0345,False
112,1,pair,0.16,0.7975,0.3031,0,1,0.0309,True
114,1,random,0.32,2.4312,0.3515,0,1,0.0842,True
118,1,single,0.16,0.4311,0.1446,0,1,0.0381,True
120,0,random,0.32,6.7994,nan,1,1,0.0597,False
121,1,random,0.2,6.7668,0.1701,0,0,0.0519,False
124,0,single,0.1,0.2677,0.2526,1,0,0.045,True
125,1,random,0.32,5.4718,0.5095,0,0,0.0965,False
129,1,single,0.16,0.186,0.1659,0,0,0.0466,False
131,1,random,0.2,0.2705,0.4433,0,1,0.0487,True
132,0,random,0.32,9.4462,0.9306,1,1,0.0561,False
134,1,random,0.32,6.6797,0.2601,0,1,0.0417,True
135,1,random,0.32,9.0617,0.2927,0,0,0.0716,False
137,0,single,0.1,0.2127,0.1965,1,0,0.0335,True
138,0,random,0.32,8.0805,0.4703,1,0,0.0639,True
140,1,random,0.32,2.127,0.3092,0,1,0.0522,True
143,1,pair,0.16,0.2465,0.2193,0,0,0.0365,False
145,0,single,0.1,1.9442,0.4111,1,1,0.0375,False
146,0,random,0.32,8.1199,0.3168,1,1,0.1244,False
148,1,random,0.32,8.7245,0.8301,0,0,0.1218,False
149,1,single,0.1,0.1669,0.2518,0,0,0.0308,False
150,1,single,0.1,0.0786,0.1018,0,1,0.0397,True
152,1,single,0.16,0.2554,0.2199,0,0,0.044,False
155,1,random,0.32,2.5382,nan,0,1,0.0584,True
156,0,random,0.32,0.3959,0.4524,1,0,0.0543,True
158,1,single,0.16,0.2294,0.3058,0,0,0.0387,False
162,0,single,0.16,5.0647,0.4104,1,1,0.0433,False
168,1,pair,0.16,3.6756,0.2362,0,1,0.0374,True
172,0,random,0.2,6.3391,0.2917,1,1,0.0433,False
175,1,random,0.32,2.3709,0.5942,0,1,0.0453,True
178,0,random,0.32,1.1499,0.7295,1,0,0.0574,True
179,0,random,0.32,1.9362,0.3512,1,0,0.0367,True
180,0,random,0.32,1.9368,0.4033,1,1,0.0725,False
181,1,random,0.32,0.4655,0.4551,0,1,0.0378,True
182,1,random,0.32,1.9046,0.3664,0,1,0.0322,True
184,1,random,0.32,5.565,3.7193,0,1,0.0619,True
185,1,pair,0.16,0.2609,0.3038,0,0,0.0328,False
186,1,random,0.32,1.4987,0.3962,0,1,0.0418,True
189,0,random,0.32,11.6826,0.3891,1,0,0.0426,True
191,1,single,0.06,0.1096,1.9058,0,0,0.0431,False
192,1,random,0.32,0.5349,0.4018,0,1,0.0915,True
193,1,random,0.2,0.2262,0.2756,0,1,0.0484,True
195,1,single,0.16,2.6051,0.2588,0,0,0.0589,False
196,1,random,0.32,3.3864,0.4894,0,1,0.0657,True
198,1,random,0.2,8.6282,0.2038,0,1,0.0693,True
200,0,random,0.32,6.3952,0.288,1,0,0.0343,True
204,0,random,0.32,7.87,0.2647,1,0,0.0563,True
205,1,random,0.32,1.0674,0.2743,0,1,0.0373,True
206,1,random,0.32,12.5002,0.3605,0,1,0.1536,True
208,0,single,0.1,0.1867,0.1492,1,0,0.0301,True
210,1,random,0.2,1.8318,0.2368,0,1,0.0328,True
213,0,random,0.32,1.7775,0.5121,1,1,0.0763,False
217,1,single,0.1,0.3003,0.1621,0,1,0.0369,True
218,1,random,0.2,0.1689,0.5894,0,0,0.0576,False
221,1,random,0.32,2.6757,0.496,0,1,0.0594,True
222,1,random,0.32,3.9604,0.3156,0,1,0.031,True
223,1,random,0.2,0.4889,0.183,0,1,0.0638,True
224,0,random,0.32,3.2461,0.3445,1,1,0.0667,False
226,1,single,0.16,0.155,0.1846,0,0,0.05,False
230,1,single,0.16,0.362,0.2988,0,1,0.0701,True
234,0,random,0.32,4.4178,nan,1,1,0.1898,False
235,1,single,0.06,0.2965,0.259,0,1,0.0329,True
238,0,random,0.32,10.674,0.5518,1,1,0.0767,False
239,0,single,0.16,2.5231,0.2526,1,0,0.0496,True
240,1,single,0.16,0.6015,0.2778,0,1,0.0442,True
245,1,random,0.32,2.6918,1.2047,0,0,0.1458,False
246,0,random,0.32,3.9544,0.7926,1,0,0.0946,True
247,1,random,0.32,2.3112,0.56,0,1,0.129,True
248,1,random,0.2,0.3979,0.2247,0,1,0.0388,True
249,1,random,0.2,2.1616,0.7929,0,1,0.0912,True
252,1,single,0.1,3.3719,0.1179,0,1,0.041,True
253,1,single,0.1,0.1393,0.2611,0,1,0.0359,True
259,1,random,0.32,5.1425,nan,0,1,0.0606,True
265,1,random,0.32,2.8594,0.3925,0,1,0.0868,True
267,1,single,0.16,0.5994,0.1653,0,1,0.041,True
271,0,single,0.1,0.365,0.1081,1,1,0.0513,False
274,0,single,0.16,0.6942,0.1683,1,1,0.0387,False
275,1,random,0.32,0.4872,0.3352,0,1,0.0498,True
277,1,single,0.1,0.78,0.2128,0,1,0.0527,True
278,1,pair,0.16,0.393,0.2082,0,1,0.0346,True
283,1,random,0.32,0.9885,0.308,0,1,0.0799,True
285,0,random,0.32,2.2165,0.3463,1,0,0.0621,True
286,1,pair,0.16,0.2084,0.2085,0,1,0.0424,True
287,0,random,0.32,6.9721,0.3739,1,1,0.1316,False
292,1,random,0.32,12.6016,0.2647,0,1,0.0736,True
294,1,random,0.32,2.3977,0.3252,0,1,0.036,True
295,0,single,0.16,0.8195,0.4645,1,1,0.1106,False
296,0,single,0.16,0.1923,0.1523,1,1,0.0306,False
298,1,random,0.32,4.2275,0.581,0,0,0.0356,False
302,1,pair,0.16,0.4033,0.1385,0,1,0.0301,True
304,1,random,0.2,1.9623,0.2149,0,1,0.0466,True
305,1,random,0.32,0.6632,0.4145,0,1,0.0475,True
308,1,single,0.1,0.2312,0.1391,0,1,0.038,True
311,1,random,0.32,1.0509,0.238,0,1,0.03,True
312,0,single,0.16,2.7477,0.2126,1,0,0.0463,True
315,0,random,0.2,0.5442,0.1919,1,1,0.0408,False
316,0,single,0.16,2.0516,0.2467,1,1,0.0895,False
320,1,random,0.2,1.3878,0.2502,0,1,0.0356,True
322,1,random,0.32,0.9786,0.33,0,1,0.0428,True
327,1,random,0.32,0.5012,0.4926,0,0,0.0573,False
328,1,random,0.32,2.5379,0.376,0,1,0.0474,True
331,1,pair,0.16,0.4504,0.239,0,1,0.0556,True
332,1,single,0.16,0.2061,0.3462,0,0,0.0557,False
336,1,random,0.32,4.859,0.4787,0,1,0.0381,True
337,1,single,0.1,0.1291,0.1689,0,0,0.0479,False
339,0,random,0.32,0.5227,0.3981,1,1,0.181,False
341,1,random,0.32,10.1531,0.4277,0,1,0.1162,True
343,1,random,0.2,0.4316,0.1817,0,1,0.0448,True
345,1,pair,0.1,0.1216,0.0855,0,0,0.0446,False
347,0,single,0.16,1.1197,0.2855,1,1,0.0342,False
348,0,random,0.32,14.0775,0.8361,1,1,0.115,False
349,0,random,0.32,8.6862,3.9393,1,1,0.1237,False
353,0,random,0.32,4.3539,0.3504,1,0,0.0521,True
354,1,random,0.2,1.405,0.2194,0,1,0.074,True
355,1,random,0.2,0.5273,0.2876,0,1,0.0326,True
