scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
3,0,single,0.16,2.2537,0.3095,1,0,0.065,True
4,1,random,0.32,6.1554,0.417,0,0,0.081,False
6,1,single,0.16,0.558,0.1221,0,0,0.0511,False
8,1,single,0.1,0.1067,0.1079,0,1,0.0504,True
9,1,random,0.32,1.1096,0.2643,0,1,0.0641,True
10,1,pair,0.16,0.2598,0.3759,0,0,0.0406,False
11,1,single,0.16,0.2279,0.2931,0,0,0.0464,False
14,1,random,0.32,1.5042,0.2674,0,1,0.0648,True
15,0,single,0.06,0.0682,0.1276,1,1,0.0374,False
16,0,random,0.32,0.588,0.176,1,1,0.0901,False
18,1,random,0.32,1.975,0.2221,0,1,0.0586,True
21,1,random,0.32,4.5935,0.3283,0,1,0.0699,True
22,1,random,0.06,0.917,0.2695,0,0,0.0327,False
26,0,random,0.32,2.0716,0.7867,1,1,0.1499,False
28,1,random,0.2,0.2506,0.1894,0,1,0.0458,True
29,1,single,0.16,1.0815,0.1316,0,1,0.0926,True
34,0,single,0.1,1.6212,0.051,1,1,0.0385,False
35,0,random,0.32,4.0015,2.3239,1,1,0.0539,False
38,1,random,0.32,3.8869,nan,0,0,0.0446,False
40,1,random,0.32,1.4585,0.4649,0,1,0.0437,True
41,0,single,0.16,0.6388,0.1926,1,1,0.0548,False
42,1,random,0.32,4.6839,0.2675,0,1,0.0346,True
44,0,random,0.32,6.46,0.4606,1,1,0.1683,False
46,1,random,0.2,0.3643,0.0915,0,0,0.0402,False
49,0,single,0.16,0.4747,0.1424,1,0,0.0483,True
50,1,random,0.32,1.2513,0.2591,0,1,0.0757,True
54,0,random,0.32,5.0228,0.6268,1,0,0.0377,True
55,1,single,0.16,0.2692,0.1855,0,1,0.0313,True
59,0,pair,0.16,0.1318,0.2671,1,1,0.039,False
62,1,random,0.32,0.5432,0.2076,0,0,0.0357,False
63,1,single,0.06,0.0675,0.0675,0,1,0.035,True
64,0,random,0.32,0.8231,3.7598,1,1,0.0908,False
65,1,random,0.32,1.4155,0.7821,0,1,0.0485,True
66,1,pair,0.16,0.543,0.1151,0,1,0.0302,True
72,1,random,0.32,1.9418,0.2584,0,0,0.0664,False
74,1,random,0.2,0.1924,0.2065,0,1,0.0473,True
76,1,random,0.32,4.9756,0.6454,0,0,0.054,False
77,1,random,0.32,1.2976,0.2979,0,1,0.0425,True
80,1,random,0.32,10.0605,0.1982,0,1,0.0454,True
82,1,single,0.16,1.3131,0.3414,0,1,0.0463,True
83,1,random,0.32,0.3266,0.6951,0,1,0.0506,True
84,1,random,0.2,1.4915,0.7839,0,1,0.089,True
