model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
cover,1636,0,1,0.2736,1,False,0,36.9783,22.7789
cover,1059,1,2,0.2485,2,False,1,38.0866,30.6018
cover,491,1,2,0.2135,2,False,1,19.0334,17.6191
cover,2788,0,1,0.2173,1,False,0,34.862,18.6138
cover,3997,1,2,0.0527,2,False,1,8.1795,8.3453
cover,2178,1,2,0.3229,2,False,1,34.6319,29.0147
cover,5809,1,0,-0.1367,0,False,1,18.876,21.5817
cover,2980,1,0,-0.1804,0,False,1,24.0547,17.0049
cover,1760,1,2,0.3009,2,False,1,26.3455,24.476
cover,2606,2,1,-0.2566,1,False,2,27.7913,16.2694
cover,5561,0,1,0.0817,1,False,0,12.6359,9.1681
cover,5998,0,1,0.063,1,False,0,10.3305,9.0653
cover,2655,0,1,0.1185,1,False,0,15.7811,12.9932
cover,3420,0,1,0.125,0,True,0,16.429,11.7021
cover,5757,1,0,-0.1408,0,False,1,17.5887,14.545
cover,3120,1,2,0.0521,2,False,1,8.4486,11.1837
cover,5817,1,0,-0.1535,0,False,1,20.917,22.65
cover,5309,2,1,-0.0939,1,False,2,12.4772,7.3075
cover,2526,1,2,0.3566,2,False,1,34.6597,
cover,4875,1,0,-0.2033,0,False,1,27.2407,27.4157
cover,2172,1,2,0.2089,1,True,1,30.3658,20.5901
cover,5707,0,1,0.361,1,False,0,45.4995,19.2424
cover,4061,1,0,-0.0605,0,False,0,10.0392,8.0246
cover,5629,1,2,0.2303,2,False,1,33.7828,21.1222
cover,589,1,0,-0.3275,0,False,1,36.6712,24.1121
cover,1248,1,2,0.2882,2,False,1,28.9722,21.9402
cover,3527,1,0,-0.1293,0,False,1,16.1542,18.4682
cover,5999,0,1,0.062,1,False,0,10.1645,7.9038
cover,1915,1,0,-0.3585,0,False,1,38.0827,
cover,5647,1,2,0.2114,2,False,1,28.4769,15.6224
cover,4775,1,2,0.1591,2,False,1,22.5278,13.7543
cover,1281,1,2,0.1724,2,False,1,20.4095,15.8648
cover,4848,1,0,-0.2058,1,True,1,27.2427,27.4783
cover,5103,2,1,-0.2255,1,False,2,21.7307,20.794
cover,1504,2,1,-0.1707,1,False,2,27.5364,13.4749
cover,4550,1,0,-0.2897,1,True,1,31.4134,29.0709
cover,1398,1,0,-0.1534,0,False,1,17.019,11.8412
cover,492,1,2,0.194,2,False,1,19.1451,19.0883
cover,4942,0,1,0.0853,1,False,0,14.226,9.6067
cover,1058,1,2,0.2595,2,False,1,40.8657,31.7532
cover,1508,1,2,0.03,2,False,2,3.2221,4.8847
cover,3530,1,0,-0.1702,0,False,1,22.2913,23.4795
cover,3628,1,0,-0.1322,0,False,1,17.8565,16.5008
cover,2243,2,1,-0.0719,1,False,2,8.3307,8.7619
cover,2805,0,1,0.2468,1,False,0,37.0487,23.2307
cover,5600,1,2,0.0977,2,False,1,17.6203,12.6325
cover,1919,1,2,0.1191,2,False,1,16.3041,13.041
cover,691,1,2,0.0618,2,False,1,7.4117,10.44
cover,5886,1,2,0.2871,2,False,1,35.4045,29.4843
cover,2364,2,1,-0.3626,2,True,2,52.857,55.3425
cover,4176,1,0,-0.3064,1,True,1,27.4271,25.4593
cover,505,1,0,-0.3564,0,False,1,36.9552,
