model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
cover,1636,0,1,0.2736,1,False,0,37.7686,22.2277
cover,1059,1,2,0.2485,2,False,1,38.0415,30.9928
cover,491,1,2,0.2135,2,False,1,18.7305,17.2083
cover,2788,0,1,0.2173,1,False,0,35.0235,18.2209
cover,3997,1,2,0.0527,2,False,1,8.3115,8.3278
cover,2178,1,2,0.3229,2,False,1,34.119,29.8942
cover,5809,1,0,-0.1367,0,False,1,18.6948,21.8485
cover,2980,1,0,-0.1804,0,False,1,24.9562,17.7168
cover,1760,1,2,0.3009,2,False,1,26.119,24.8505
cover,2606,2,1,-0.2566,1,False,2,28.3055,16.1999
cover,5561,0,1,0.0817,1,False,0,12.743,8.7982
cover,5998,0,1,0.063,1,False,0,10.4046,9.1005
cover,2655,0,1,0.1185,1,False,0,16.6266,12.6602
cover,3420,0,1,0.125,0,True,0,16.4799,11.5866
cover,5757,1,0,-0.1408,0,False,1,18.0828,14.8415
cover,3120,1,2,0.0521,2,False,1,8.9008,11.0439
cover,5817,1,0,-0.1535,0,False,1,21.1993,22.8406
cover,5309,2,1,-0.0939,1,False,2,11.7945,7.4504
cover,2526,1,2,0.3566,2,False,1,34.0893,
cover,4875,1,0,-0.2033,0,False,1,27.0096,28.1286
cover,2172,1,2,0.2089,1,True,1,29.8106,20.6409
cover,5707,0,1,0.361,1,False,0,45.8233,18.2672
cover,4061,1,0,-0.0605,0,False,0,10.0518,8.2237
cover,5629,1,2,0.2303,2,False,1,33.9831,20.5194
cover,589,1,0,-0.3275,0,False,1,36.6928,22.611
cover,1248,1,2,0.2882,2,False,1,29.8823,22.3112
cover,3527,1,0,-0.1293,0,False,1,16.4744,18.8914
cover,5999,0,1,0.062,1,False,0,10.1974,7.9773
cover,1915,1,0,-0.3585,0,False,1,38.5913,
cover,5647,1,2,0.2114,2,False,1,28.1464,15.612
cover,4775,1,2,0.1591,2,False,1,22.4072,13.6061
cover,1281,1,2,0.1724,2,False,1,20.5427,16.1573
cover,4848,1,0,-0.2058,1,True,1,27.1838,27.7684
cover,5103,2,1,-0.2255,1,False,2,21.5731,20.4043
cover,1504,2,1,-0.1707,1,False,2,28.1639,13.7896
cover,4550,1,0,-0.2897,1,True,1,31.4057,28.7052
cover,1398,1,0,-0.1534,0,False,1,17.9351,12.6774
cover,492,1,2,0.194,2,False,1,19.0563,18.4987
cover,4942,0,1,0.0853,1,False,0,14.2786,9.3697
cover,1058,1,2,0.2595,2,False,1,40.4419,32.5194
cover,1508,1,2,0.03,2,False,1,3.3993,4.7165
cover,3530,1,0,-0.1702,0,False,1,22.7526,23.4644
cover,3628,1,0,-0.1322,0,False,1,17.6962,16.3743
cover,2243,2,1,-0.0719,1,False,2,8.2186,8.7727
cover,2805,0,1,0.2468,1,False,0,37.2147,22.5924
cover,5600,1,2,0.0977,1,True,1,17.6476,12.55
cover,1919,1,2,0.1191,1,True,1,15.9451,13.3436
cover,691,1,2,0.0618,2,False,1,7.6651,10.0802
cover,5886,1,2,0.2871,2,False,1,35.0702,30.3759
cover,2364,2,1,-0.3626,1,False,2,54.5847,57.2936
cover,4176,1,0,-0.3064,0,False,1,27.5939,25.4598
cover,505,1,0,-0.3564,0,False,1,38.7539,
cover,2479,0,1,0.0835,0,True,0,10.4769,9.7101
cover,4422,1,0,-0.2061,0,False,1,25.1175,20.8255
cover,1330,1,0,-0.1092,0,False,1,23.7865,22.101
cover,3762,2,1,-0.0436,1,False,1,7.7305,7.4868
cover,5351,1,2,0.2743,2,False,1,35.5275,25.1313
