model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
cover,1636,0,1,0.2736,1,False,0,36.037,22.8648
cover,1059,1,2,0.2485,2,False,1,37.994,29.8898
cover,491,1,2,0.2135,2,False,1,19.3694,17.6654
cover,2788,0,1,0.2173,1,False,0,34.3216,18.3506
cover,3997,1,2,0.0527,2,False,1,7.9777,8.4699
cover,2178,1,2,0.3229,2,False,1,34.9899,28.0504
cover,5809,1,0,-0.1367,0,False,1,18.8297,20.8342
cover,2980,1,0,-0.1804,0,False,1,22.9824,16.3667
cover,1760,1,2,0.3009,2,False,1,26.5388,23.7916
cover,2606,2,1,-0.2566,1,False,2,27.1384,16.071
cover,5561,0,1,0.0817,1,False,0,12.2024,9.1665
cover,5998,0,1,0.063,1,False,0,10.1321,8.9166
cover,2655,0,1,0.1185,1,False,0,15.1156,12.9347
cover,3420,0,1,0.125,0,True,0,16.088,11.97
cover,5757,1,0,-0.1408,0,False,1,16.9547,13.9861
cover,3120,1,2,0.0521,2,False,1,7.9935,11.2485
cover,5817,1,0,-0.1535,0,False,1,20.2022,22.2253
cover,5309,2,1,-0.0939,1,False,2,13.0398,7.0585
cover,2526,1,2,0.3566,2,False,1,34.8585,
cover,4875,1,0,-0.2033,0,False,1,27.0397,26.2415
cover,2172,1,2,0.2089,2,False,1,30.9312,20.363
cover,5707,0,1,0.361,1,False,0,44.7637,19.6213
cover,4061,1,0,-0.0605,0,False,1,10.028,8.015
cover,5629,1,2,0.2303,2,False,1,33.2174,21.3244
cover,589,1,0,-0.3275,0,False,1,36.1336,25.8878
cover,1248,1,2,0.2882,2,False,1,27.5798,21.3652
cover,3527,1,0,-0.1293,0,False,1,15.7516,17.8257
cover,5999,0,1,0.062,1,False,0,9.958,7.8298
cover,1915,1,0,-0.3585,0,False,1,37.1161,
cover,5647,1,2,0.2114,2,False,1,28.6628,15.4497
cover,4775,1,2,0.1591,2,False,1,22.4854,13.9291
cover,1281,1,2,0.1724,2,False,1,20.2768,15.4611
cover,4848,1,0,-0.2058,1,True,1,26.6413,26.898
cover,5103,2,1,-0.2255,1,False,2,21.8579,20.9094
cover,1504,2,1,-0.1707,1,False,2,26.6413,13.1822
cover,4550,1,0,-0.2897,1,True,1,31.062,29.0401
cover,1398,1,0,-0.1534,0,False,1,16.1413,11.0
cover,492,1,2,0.194,2,False,1,19.3176,19.4019
cover,4942,0,1,0.0853,1,False,0,13.9968,9.5831
cover,1058,1,2,0.2595,2,False,1,40.6588,30.85
cover,1508,1,2,0.03,2,False,2,3.0794,4.8719
cover,3530,1,0,-0.1702,0,False,1,21.5763,23.0385
cover,3628,1,0,-0.1322,0,False,1,17.5196,16.4615
cover,2243,2,1,-0.0719,1,False,2,8.4581,8.7629
cover,2805,0,1,0.2468,1,False,0,36.5447,23.3901
cover,5600,1,2,0.0977,2,False,1,17.5957,12.6329
cover,1919,1,2,0.1191,2,False,1,16.4225,12.9832
cover,691,1,2,0.0618,2,False,1,6.8893,10.6835
cover,5886,1,2,0.2871,2,False,1,35.4165,28.4734
cover,2364,2,1,-0.3626,2,True,2,51.4455,54.3127
cover,4176,1,0,-0.3064,1,True,1,27.0599,25.5089
cover,505,1,0,-0.3564,0,False,1,35.2589,
cover,2479,0,1,0.0835,1,False,0,10.0604,9.2924
cover,4422,1,0,-0.2061,0,False,1,24.6546,20.1584
cover,1330,1,0,-0.1092,0,False,1,23.1926,21.5235
cover,3762,2,1,-0.0436,1,False,2,7.8555,7.1489
cover,5351,1,2,0.2743,2,False,1,35.467,25.5768
cover,3543,0,1,0.1955,1,False,0,22.1028,17.5674
cover,4178,1,0,-0.32,1,True,1,31.0212,28.8628
cover,4793,2,1,-0.2443,1,False,2,31.7615,25.5776
cover,2552,1,2,0.2758,2,False,1,30.186,23.1422
cover,755,0,1,0.1252,1,False,0,20.4308,13.7557
cover,3474,2,1,-0.139,1,False,2,20.7812,16.6713
cover,1096,2,1,-0.1609,1,False,2,21.9094,12.7362
cover,2685,1,0,-0.1732,0,False,1,23.9497,12.6533
cover,4286,1,2,0.3154,2,False,1,37.9253,29.8422
cover,6057,1,2,0.0908,2,False,1,13.8047,13.2892
cover,1502,2,1,-0.1922,1,False,2,27.7061,15.6217
cover,1233,1,0,-0.2177,0,False,1,26.3094,23.1761
cover,4217,2,1,-0.2297,1,False,2,30.7483,18.4706
cover,3655,1,0,-0.3138,1,True,1,32.3346,22.6603
cover,5683,0,1,0.2293,1,False,0,29.8962,15.5918
cover,672,0,1,0.0327,1,False,0,5.6262,4.542
cover,2644,0,1,0.0857,1,False,0,10.1045,11.7883
cover,1576,0,1,0.0375,1,False,1,5.5244,9.2334
cover,2804,0,1,0.2458,1,False,0,35.4945,22.7905
cover,5694,0,1,0.3323,1,False,0,44.6406,21.4837
cover,2208,1,0,-0.2188,0,False,1,27.8269,21.6322
cover,5688,0,1,0.2961,1,False,0,39.9513,17.1828
cover,2350,2,1,-0.3528,1,False,2,40.3114,36.2993
cover,1312,1,2,0.282,2,False,1,27.903,22.5671
cover,1977,1,2,0.2119,2,False,1,24.4912,23.7843
cover,1675,1,0,-0.2737,0,False,1,30.0959,21.5044
cover,1301,1,2,0.1616,2,False,1,20.7534,14.3384
cover,4883,1,0,-0.0875,0,False,1,14.1282,13.0493
cover,2904,1,0,-0.2754,0,False,1,30.8322,26.5151
cover,2410,2,1,-0.2156,1,False,2,28.6059,23.1257
cover,5634,1,2,0.2884,2,False,1,35.6054,25.8046
cover,5980,0,1,0.2448,1,False,0,30.7396,16.1285
cover,4186,1,0,-0.3544,1,True,1,36.5211,
cover,440,2,1,-0.2046,2,True,2,21.8556,21.4062
cover,1215,1,0,-0.3472,0,False,1,33.2375,29.3665
cover,3337,2,1,-0.2147,1,False,2,28.6597,16.7135
cover,3992,2,1,-0.0977,1,False,2,15.2259,12.7604
cover,1382,1,2,0.3005,2,False,1,36.7696,34.9545
cover,2711,1,2,0.2129,2,False,1,34.5103,23.2434
cover,3117,1,2,0.0847,2,False,1,13.8057,11.4345
cover,4078,0,1,0.1078,0,True,0,13.9556,10.7724
cover,4023,1,0,-0.1533,0,False,1,19.1056,21.4937
cover,526,1,2,0.2374,2,False,1,26.6874,30.0735
cover,758,0,1,0.1723,1,False,0,27.948,15.5273
cover,4413,0,1,0.0709,1,False,0,11.0474,8.2867
cover,901,1,0,-0.0859,0,False,1,15.2029,10.3666
cover,4710,0,1,0.0609,0,True,0,8.5566,7.4613
cover,3808,1,2,0.1465,2,False,1,21.1961,15.7435
cover,2815,0,1,0.2495,1,False,0,37.3789,23.5082
cover,1238,1,0,-0.2811,0,False,1,30.5892,23.4205
cover,4645,1,0,-0.1554,0,False,1,22.6293,15.2879
cover,1661,1,0,-0.3485,0,False,1,32.2942,
cover,5340,1,2,0.3122,2,False,1,34.1016,28.3537
cover,1483,2,1,-0.2232,1,False,2,25.8093,15.9216
cover,6047,2,1,-0.0502,1,False,2,7.3651,7.9056
cover,1969,1,2,0.1542,2,False,1,21.1051,14.4596
cover,3599,0,1,0.2188,1,False,0,26.9911,17.6297
cover,4049,0,1,0.2874,1,False,0,34.2564,22.309
cover,4957,0,1,0.0861,1,False,0,14.5499,10.2653
cover,3867,1,0,-0.0605,0,False,1,7.4926,7.2639
cover,1140,1,2,0.3016,2,False,1,29.4297,30.0851
cover,749,0,1,0.1755,1,False,0,27.3822,17.2261
cover,5158,1,2,0.1758,2,False,1,29.0549,16.265
cover,4218,2,1,-0.2282,1,False,2,30.2551,17.8864
cover,5208,1,0,-0.0512,0,False,1,7.1785,6.3009
cover,3684,0,1,0.151,1,False,0,19.8262,13.7937
cover,4284,1,2,0.2268,2,False,1,30.5738,15.4099
cover,1865,1,2,0.2717,2,False,1,33.3177,23.323
cover,2832,0,1,0.2635,1,False,0,37.6,26.02
cover,2676,1,0,-0.1161,0,False,1,16.3207,11.8488
cover,430,1,2,0.1592,2,False,1,20.9196,17.3499
cover,3127,2,1,-0.3429,1,False,2,37.5297,25.6717
cover,2344,2,1,-0.354,1,False,2,40.1819,32.8787
cover,2165,1,2,0.1385,2,False,1,15.9368,14.7413
cover,5289,0,1,0.1731,1,False,0,22.6195,18.4547
cover,1707,2,1,-0.2919,1,False,2,35.5156,23.1507
cover,839,1,0,-0.2881,0,False,1,32.263,24.5305
cover,4549,1,0,-0.3027,1,True,1,32.0936,29.4074
cover,4075,0,1,0.2228,1,False,0,24.7858,18.2664
cover,1469,2,1,-0.3434,1,False,2,38.4778,25.6975
cover,548,1,0,-0.2574,0,False,1,30.7498,17.3768
cover,5271,0,1,0.0507,0,True,0,6.6898,6.3564
cover,1983,1,2,0.2969,2,False,1,35.1572,32.0161
cover,5687,0,1,0.2852,1,False,0,41.4826,16.8367
cover,4321,2,1,-0.1431,1,False,2,18.9597,13.8119
cover,1546,1,0,-0.0601,0,False,1,10.7617,10.573
cover,3556,1,0,-0.2306,0,False,1,21.2973,24.3152
cover,1451,1,0,-0.1387,0,False,1,15.207,12.9099
cover,3234,0,1,0.1145,0,True,0,15.8397,12.6585
cover,5978,0,1,0.2896,1,False,0,35.0154,16.6075
cover,3008,1,2,0.1973,2,False,1,29.3742,18.6872
cover,4234,1,2,0.0502,2,False,1,7.9982,7.231
cover,2176,1,2,0.3105,2,False,1,33.6938,29.3668
cover,3270,2,1,-0.2935,1,False,2,29.7381,23.1466
cover,5915,1,2,0.3083,2,False,1,29.8431,30.7308
cover,1532,1,2,0.1322,2,False,1,15.8734,13.6988
cover,654,1,0,-0.0905,0,False,1,16.1085,11.6247
cover,3517,1,0,-0.1479,0,False,1,20.3677,22.5033
cover,5225,0,1,0.2666,1,False,0,29.3995,22.6841
cover,4672,1,0,-0.2426,0,False,1,29.2847,22.243
cover,5384,1,0,-0.0834,0,False,1,11.5661,13.2828
cover,2923,1,0,-0.2709,0,False,1,29.4759,17.8496
cover,5706,0,1,0.3605,1,False,0,45.9209,19.3853
cover,4331,1,2,0.1666,2,False,1,22.8944,16.6125
cover,2194,1,0,-0.0767,0,False,1,11.6629,9.0048
cover,4363,1,0,-0.0615,0,False,1,8.3414,8.5986
cover,3852,1,2,0.1724,2,False,1,27.2927,16.2935
cover,5785,1,2,0.0342,2,False,2,4.786,6.4643
cover,2408,2,1,-0.362,2,True,2,43.2813,41.0364
cover,3301,2,1,-0.1677,1,False,2,18.4803,18.4325
cover,2247,2,1,-0.3677,1,False,2,42.1999,29.8901
cover,5180,1,0,-0.1885,0,False,1,20.1979,22.7667
cover,3233,0,1,0.1662,0,True,0,18.5868,15.7574
cover,2218,1,0,-0.2547,0,False,1,29.4861,20.5004
cover,2467,1,0,-0.2769,0,False,1,31.9432,21.4586
cover,5320,1,2,0.2161,2,False,1,26.0084,13.2716
cover,3148,2,1,-0.3711,1,False,2,35.6908,33.8985
cover,2445,1,2,0.0358,2,False,2,4.1011,4.9091
cover,3861,1,0,-0.193,0,False,1,17.6868,16.1144
cover,5478,1,0,-0.0727,0,False,0,6.8524,7.9293
cover,1733,1,0,-0.1088,0,False,1,15.3945,15.8976
cover,3282,1,2,0.2382,2,False,1,25.9038,21.5576
cover,3405,1,0,-0.2371,0,False,1,31.44,28.9371
cover,2004,1,0,-0.0902,1,True,1,9.503,12.1928
cover,777,1,2,0.2187,2,False,1,30.9483,14.4625
cover,1941,1,2,0.332,2,False,1,32.8907,34.2645
cover,4414,0,1,0.0523,1,False,0,8.459,7.3988
cover,5257,0,1,0.3529,1,False,0,37.7153,20.9782
cover,1523,1,2,0.0992,2,False,1,11.8195,10.7665
cover,633,1,0,-0.1536,0,False,1,19.4558,17.8893
cover,3880,0,1,0.0606,1,False,0,8.9682,9.5562
cover,1593,1,0,-0.0896,0,False,1,13.5985,12.5932
cover,2959,2,1,-0.0849,1,False,2,11.022,14.2888
cover,5692,0,1,0.3285,1,False,0,43.2599,21.4371
cover,2696,1,0,-0.2666,0,False,1,34.3761,21.1202
cover,5869,1,0,-0.2285,0,False,1,25.3918,21.2851
cover,4528,2,1,-0.0378,1,False,2,5.3967,4.9647
cover,4627,0,1,0.0714,1,False,0,8.566,8.7549
cover,4074,0,1,0.2235,1,False,0,26.5283,18.2418
cover,685,1,2,0.2153,2,False,1,22.7525,18.5388
cover,4853,1,0,-0.2819,0,False,1,31.8731,23.3579
cover,4748,1,0,-0.2725,1,True,1,32.7189,24.9733
cover,4828,1,0,-0.3242,0,False,1,34.4858,31.0102
cover,1270,1,2,0.0981,2,False,1,14.6836,12.659
cover,5768,1,0,-0.2715,0,False,1,30.7804,22.2842
cover,2531,1,0,-0.1562,0,False,1,17.3785,14.0903
cover,5068,2,1,-0.2403,1,False,2,30.4873,27.2397
cover,4843,1,0,-0.2404,0,False,1,33.4849,30.6634
cover,2112,1,0,-0.2043,0,False,1,23.2055,11.8911
cover,3207,1,2,0.1508,2,False,1,21.5023,12.6421
cover,1766,1,0,-0.201,0,False,1,24.2944,13.005
cover,4879,1,0,-0.1369,0,False,1,17.7554,18.2907
cover,5049,2,1,-0.0864,1,False,2,11.2044,9.3224
cover,4479,0,1,0.0521,1,False,0,7.1836,7.0511
cover,3199,2,1,-0.0956,1,False,2,13.8141,8.5845
cover,4682,2,1,-0.1825,1,False,2,21.9532,19.4793
cover,3807,1,2,0.1643,2,False,1,22.6554,17.5917
cover,1727,1,0,-0.1669,0,False,1,20.9941,16.568
cover,3230,0,1,0.2781,1,False,0,29.4604,21.6627
cover,1362,0,1,0.205,1,False,0,28.4439,19.2026
cover,3890,0,1,0.0425,1,False,0,9.1342,6.4489
cover,1885,1,2,0.1594,2,False,1,23.1103,21.9728
cover,2575,2,1,-0.1228,1,False,2,16.601,15.6788
cover,4885,1,0,-0.1533,0,False,1,22.16,21.0295
cover,5256,0,1,0.3734,1,False,0,39.4335,21.3833
cover,3465,2,1,-0.1476,1,False,2,18.5541,16.8335
cover,3009,1,2,0.1777,2,False,1,29.3769,18.8873
cover,2517,1,2,0.1765,2,False,1,30.8743,23.6514
cover,431,1,2,0.1312,2,False,1,17.0601,16.4251
cover,4157,1,0,-0.2083,0,False,1,27.8171,15.101
cover,2300,1,2,0.129,2,False,1,18.8436,15.5626
cover,4135,1,0,-0.3548,0,False,1,34.7239,
cover,1499,2,1,-0.1655,1,False,2,27.5194,15.7636
cover,719,0,1,0.2262,1,False,0,26.0603,23.3886
cover,5627,1,2,0.2043,2,False,1,29.235,20.7591
cover,4810,2,1,-0.2784,1,False,2,48.7185,23.4374
cover,2941,0,1,0.0714,1,False,0,10.4288,9.6749
cover,6048,2,1,-0.0609,1,False,2,7.9002,10.3976
cleanonly,1636,0,1,0.2736,1,False,0,37.9599,22.9062
cleanonly,1059,1,2,0.2485,1,True,1,38.2112,31.5723
cleanonly,491,1,2,0.2135,1,True,1,18.4339,17.8836
cleanonly,2788,0,1,0.2173,1,False,0,35.9359,19.0335
cleanonly,3997,1,2,0.0527,2,False,1,8.1369,7.9973
cleanonly,2178,1,2,0.3229,1,True,1,34.1767,30.27
cleanonly,5809,1,0,-0.1367,0,False,1,19.4356,22.4426
cleanonly,2980,1,0,-0.1804,0,False,1,26.3532,17.8731
cleanonly,1760,1,2,0.3009,1,True,1,26.7593,25.5508
cleanonly,2606,2,1,-0.2566,1,False,2,28.6739,15.6238
cleanonly,5561,0,1,0.0817,1,False,0,13.7487,9.0665
cleanonly,5998,0,1,0.063,1,False,0,10.6491,9.6533
cleanonly,2655,0,1,0.1185,1,False,0,16.9006,13.0609
cleanonly,3420,0,1,0.125,1,False,0,18.1489,12.0971
cleanonly,5757,1,0,-0.1408,0,False,1,19.4029,15.0299
cleanonly,3120,1,2,0.0521,2,False,1,9.0253,11.0346
cleanonly,5817,1,0,-0.1535,0,False,1,22.5369,23.56
cleanonly,5309,2,1,-0.0939,1,False,2,11.463,7.4282
cleanonly,2526,1,2,0.3566,2,False,1,34.6054,
cleanonly,4875,1,0,-0.2033,0,False,1,27.7039,29.7035
cleanonly,2172,1,2,0.2089,1,True,1,29.4667,20.964
cleanonly,5707,0,1,0.361,1,False,0,48.7189,20.2679
cleanonly,4061,1,0,-0.0605,0,False,1,10.6556,7.9521
cleanonly,5629,1,2,0.2303,2,False,1,34.7434,21.1827
cleanonly,589,1,0,-0.3275,0,False,1,37.5621,22.2612
cleanonly,1248,1,2,0.2882,2,False,1,31.0713,22.7955
cleanonly,3527,1,0,-0.1293,0,False,1,16.8032,19.4748
cleanonly,5999,0,1,0.062,1,False,0,10.9674,8.4373
cleanonly,1915,1,0,-0.3585,0,False,1,39.8584,
cleanonly,5647,1,2,0.2114,1,True,1,28.1689,15.6714
cleanonly,4775,1,2,0.1591,2,False,1,22.6469,13.9683
cleanonly,1281,1,2,0.1724,2,False,1,20.5031,16.7835
cleanonly,4848,1,0,-0.2058,1,True,1,28.7456,28.891
cleanonly,5103,2,1,-0.2255,1,False,2,22.6054,20.0602
cleanonly,1504,2,1,-0.1707,1,False,2,29.0103,14.0315
cleanonly,4550,1,0,-0.2897,1,True,1,32.431,29.4829
cleanonly,1398,1,0,-0.1534,0,False,1,17.8153,13.2064
cleanonly,492,1,2,0.194,1,True,1,18.9353,19.0581
cleanonly,4942,0,1,0.0853,1,False,0,15.5253,9.6469
cleanonly,1058,1,2,0.2595,1,True,1,40.3586,33.5131
cleanonly,1508,1,2,0.03,2,False,1,3.615,4.5947
cleanonly,3530,1,0,-0.1702,0,False,1,23.9742,24.3262
cleanonly,3628,1,0,-0.1322,0,False,1,18.9048,17.1708
cleanonly,2243,2,1,-0.0719,1,False,2,8.3726,9.1208
cleanonly,2805,0,1,0.2468,1,False,0,38.5395,23.0965
cleanonly,5600,1,2,0.0977,1,True,1,18.172,12.4204
cleanonly,1919,1,2,0.1191,1,True,1,16.3004,12.9849
cleanonly,691,1,2,0.0618,2,False,1,7.7827,10.3798
