model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
raw_single_channel_phase_gat_team_mean_seed11,852,0,1,0.085,1,False,0,14.6412,13.2241
raw_single_channel_phase_gat_team_mean_seed11,3059,1,0,-0.0536,0,False,1,8.4454,8.6379
raw_single_channel_phase_gat_team_mean_seed11,3284,1,2,0.2267,1,True,1,28.7018,18.1925
raw_single_channel_phase_gat_team_mean_seed11,5086,1,2,0.3296,1,True,1,38.1556,34.3237
raw_single_channel_phase_gat_team_mean_seed11,3218,1,2,0.3024,1,True,1,31.8502,23.8173
raw_single_channel_phase_gat_team_mean_seed11,4111,1,0,-0.049,0,False,0,9.2761,9.1688
raw_single_channel_phase_gat_team_mean_seed11,2639,1,2,0.1858,1,True,1,23.1848,18.8158
raw_single_channel_phase_gat_team_mean_seed11,3561,0,1,0.1737,1,False,0,15.5327,18.0149
raw_single_channel_phase_gat_team_mean_seed11,4660,2,1,-0.1477,1,False,2,22.8861,16.5681
raw_single_channel_phase_gat_team_mean_seed11,2756,1,2,0.1883,2,False,1,33.339,18.9953
raw_single_channel_phase_gat_team_mean_seed11,2093,1,2,0.1921,1,True,1,24.8397,20.7069
raw_single_channel_phase_gat_team_mean_seed11,4385,0,1,0.1199,1,False,0,19.717,16.7081
raw_single_channel_phase_gat_team_mean_seed11,457,0,1,0.0303,1,False,0,6.4685,5.7536
raw_single_channel_phase_gat_team_mean_seed11,964,1,0,-0.1884,0,False,1,27.2166,18.8496
raw_single_channel_phase_gat_team_mean_seed11,379,1,2,0.1869,2,False,1,30.1695,20.804
raw_single_channel_phase_gat_team_mean_seed11,579,2,1,-0.2277,1,False,2,27.5095,18.4146
raw_single_channel_phase_gat_team_mean_seed11,1121,1,2,0.1459,1,True,1,21.1097,20.0219
raw_single_channel_phase_gat_team_mean_seed11,5756,0,1,0.137,1,False,0,20.0857,17.0388
raw_single_channel_phase_gat_team_mean_seed11,3993,2,1,-0.2282,1,False,2,32.8952,26.6622
raw_single_channel_phase_gat_team_mean_seed11,3362,1,0,-0.2497,0,False,1,35.2112,29.0558
raw_single_channel_phase_gat_team_mean_seed11,2428,0,1,0.1837,1,False,0,27.7234,20.4695
raw_single_channel_phase_gat_team_mean_seed11,1990,1,0,-0.319,0,False,1,36.8344,29.4172
raw_single_channel_phase_gat_team_mean_seed11,4618,1,2,0.132,1,True,1,18.4937,19.2064
raw_single_channel_phase_gat_team_mean_seed11,3607,1,2,0.3041,1,True,1,34.7747,27.044
raw_single_channel_phase_gat_team_mean_seed11,2313,1,0,-0.2132,0,False,1,28.7853,20.4986
raw_single_channel_phase_gat_team_mean_seed11,3086,2,1,-0.1326,1,False,2,18.8078,16.5974
raw_single_channel_phase_gat_team_mean_seed11,4523,2,1,-0.2964,1,False,2,44.6542,26.0986
raw_single_channel_phase_gat_team_mean_seed11,3449,2,1,-0.365,1,False,2,39.7818,30.0722
raw_single_channel_phase_gat_team_mean_seed11,5643,1,2,0.159,1,True,1,22.7459,16.3414
raw_single_channel_phase_gat_team_mean_seed11,1055,2,1,-0.2329,1,False,2,32.1345,17.748
raw_single_channel_phase_gat_team_mean_seed11,4472,1,2,0.0351,1,True,1,5.4055,5.1804
raw_single_channel_phase_gat_team_mean_seed11,1409,1,2,0.1374,1,True,1,25.8406,20.0926
raw_single_channel_phase_gat_team_mean_seed11,3991,2,1,-0.2367,1,False,2,31.914,22.6775
raw_single_channel_phase_gat_team_mean_seed11,4701,0,1,0.1716,1,False,0,21.3676,16.8796
raw_single_channel_phase_gat_team_mean_seed11,4577,0,1,0.158,0,True,0,14.8878,11.2971
raw_single_channel_phase_gat_team_mean_seed11,5191,1,0,-0.1024,0,False,1,19.2324,17.5121
raw_single_channel_phase_gat_team_mean_seed11,3348,0,1,0.1248,1,False,0,20.6308,13.0713
raw_single_channel_phase_gat_team_mean_seed11,1824,0,1,0.1521,1,False,0,19.6082,17.2559
raw_single_channel_phase_gat_team_mean_seed11,3366,1,0,-0.3001,0,False,1,35.2054,29.9554
raw_single_channel_phase_gat_team_mean_seed11,3239,2,1,-0.316,1,False,2,46.2234,25.5913
raw_single_channel_phase_gat_team_mean_seed11,5020,1,0,-0.1161,0,False,1,23.7565,21.3462
raw_single_channel_phase_gat_team_mean_seed11,4047,2,1,-0.0698,1,False,1,9.8204,9.712
raw_single_channel_phase_gat_team_mean_seed11,2752,1,2,0.188,2,False,1,34.8322,16.1544
raw_single_channel_phase_gat_team_mean_seed11,5381,1,2,0.2929,1,True,1,30.6361,28.9777
raw_single_channel_phase_gat_team_mean_seed11,3910,1,0,-0.3062,1,True,1,31.6543,27.5157
raw_single_channel_phase_gat_team_mean_seed11,2050,1,2,0.3349,1,True,1,27.572,39.1325
raw_single_channel_phase_gat_team_mean_seed11,1895,2,1,-0.0695,1,False,1,13.4811,10.593
raw_single_channel_phase_gat_team_mean_seed11,2725,1,2,0.1802,1,True,1,27.339,21.5551
raw_single_channel_phase_gat_team_mean_seed11,5490,1,0,-0.1771,0,False,1,28.6821,23.2326
raw_single_channel_phase_gat_team_mean_seed11,3574,0,1,0.1333,0,True,0,14.0632,14.8666
raw_single_channel_phase_gat_team_mean_seed11,1694,1,0,-0.1274,0,False,1,20.5953,12.8748
raw_single_channel_phase_gat_team_mean_seed11,4438,1,2,0.1242,1,True,1,15.554,12.8022
raw_single_channel_phase_gat_team_mean_seed11,2256,1,0,-0.1946,0,False,1,28.265,21.5204
raw_single_channel_phase_gat_team_mean_seed11,4728,0,1,0.1716,1,False,0,21.9072,14.2152
