model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
raw_single_channel_phase_gat_team_mean_seed11,418,1,0,-0.3417,0,False,1,53.6781,33.0938
raw_single_channel_phase_gat_team_mean_seed11,51,2,1,-0.0817,1,False,1,9.521,10.9475
raw_single_channel_phase_gat_team_mean_seed11,49,1,2,0.1692,1,True,1,24.5017,16.5678
raw_single_channel_phase_gat_team_mean_seed11,217,1,0,-0.0392,0,False,1,7.3621,6.5813
raw_single_channel_phase_gat_team_mean_seed11,421,1,0,-0.3069,0,False,1,53.8142,34.0574
raw_single_channel_phase_gat_team_mean_seed11,259,1,0,-0.0434,0,False,0,9.4026,7.3659
raw_single_channel_phase_gat_team_mean_seed11,281,1,2,0.2119,1,True,1,21.759,17.1188
raw_single_channel_phase_gat_team_mean_seed11,293,2,1,-0.0595,1,False,2,10.7173,10.5177
raw_single_channel_phase_gat_team_mean_seed11,2,1,0,-0.3033,0,False,1,49.6632,33.1468
raw_single_channel_phase_gat_team_mean_seed11,141,1,2,0.0917,1,True,1,15.6161,11.618
raw_single_channel_phase_gat_team_mean_seed11,350,1,0,-0.2557,0,False,1,39.8553,23.592
raw_single_channel_phase_gat_team_mean_seed11,380,1,0,-0.2671,0,False,1,30.9744,21.3692
raw_single_channel_phase_gat_team_mean_seed11,292,2,1,-0.05,1,False,2,9.7275,7.7687
raw_single_channel_phase_gat_team_mean_seed11,164,1,0,-0.08,0,False,1,12.6508,10.5144
raw_single_channel_phase_gat_team_mean_seed11,45,1,0,-0.2811,1,True,1,34.9064,22.1273
raw_single_channel_phase_gat_team_mean_seed11,358,1,0,-0.2686,0,False,1,36.352,25.3235
raw_single_channel_phase_gat_team_mean_seed11,402,1,2,0.3243,1,True,1,42.2231,36.8086
raw_single_channel_phase_gat_team_mean_seed11,377,1,0,-0.264,0,False,1,27.4775,20.5309
raw_single_channel_phase_gat_team_mean_seed11,355,1,0,-0.2686,0,False,1,38.3322,25.4226
raw_single_channel_phase_gat_team_mean_seed11,15,0,1,0.1355,1,False,0,23.7326,13.4087
raw_single_channel_phase_gat_team_mean_seed11,165,1,0,-0.0909,0,False,1,15.1259,18.8413
raw_single_channel_phase_gat_team_mean_seed11,257,0,1,0.0408,1,False,0,8.6141,7.3704
raw_single_channel_phase_gat_team_mean_seed11,6,1,0,-0.044,0,False,1,6.8274,10.0824
raw_single_channel_phase_gat_team_mean_seed11,255,0,1,0.1037,1,False,0,18.6804,13.4871
raw_single_channel_phase_gat_team_mean_seed11,9,0,1,0.0641,0,True,0,11.169,8.383
raw_single_channel_phase_gat_team_mean_seed11,216,1,0,-0.0372,0,False,1,5.8084,7.7977
raw_single_channel_phase_gat_team_mean_seed11,279,1,2,0.3054,1,True,1,24.6254,23.8925
raw_single_channel_phase_gat_team_mean_seed11,209,1,2,0.361,1,True,1,40.8917,
raw_single_channel_phase_gat_team_mean_seed11,127,2,1,-0.0965,1,False,2,15.4599,12.9231
raw_single_channel_phase_gat_team_mean_seed11,59,2,1,-0.3951,1,False,2,40.1612,33.0315
raw_single_channel_phase_gat_team_mean_seed11,142,1,2,0.1086,1,True,1,19.2797,11.8029
raw_single_channel_phase_gat_team_mean_seed11,311,1,2,0.211,1,True,1,29.3452,23.0257
raw_single_channel_phase_gat_team_mean_seed11,410,1,2,0.3337,1,True,1,43.3913,45.2687
raw_single_channel_phase_gat_team_mean_seed11,363,1,0,-0.2604,0,False,1,33.7941,19.0324
raw_single_channel_phase_gat_team_mean_seed11,32,0,1,0.3035,1,False,0,45.9255,20.7705
raw_single_channel_phase_gat_team_mean_seed11,52,2,1,-0.1589,1,False,2,21.3872,18.0838
raw_single_channel_phase_gat_team_mean_seed11,378,1,0,-0.2654,0,False,1,28.3198,21.1895
raw_single_channel_phase_gat_team_mean_seed11,371,1,0,-0.2369,0,False,1,32.1451,21.314
raw_single_channel_phase_gat_team_mean_seed11,41,0,1,0.0321,1,False,0,7.5566,7.3435
raw_single_channel_phase_gat_team_mean_seed11,401,1,2,0.3221,1,True,1,39.1753,34.7204
raw_single_channel_phase_gat_team_mean_seed11,422,1,0,-0.2979,0,False,1,50.5967,35.6835
raw_single_channel_phase_gat_team_mean_seed11,22,0,1,0.24,1,False,0,37.2571,18.1493
raw_single_channel_phase_gat_team_mean_seed11,224,1,0,-0.0722,0,False,1,12.905,13.0487
raw_single_channel_phase_gat_team_mean_seed11,265,1,0,-0.0523,0,False,1,8.7473,8.1497
raw_single_channel_phase_gat_team_mean_seed11,28,0,1,0.2617,1,False,0,42.7502,18.982
raw_single_channel_phase_gat_team_mean_seed11,352,1,0,-0.269,0,False,1,40.467,26.0511
raw_single_channel_phase_gat_team_mean_seed11,11,0,1,0.0766,1,False,0,15.6048,8.6429
raw_single_channel_phase_gat_team_mean_seed11,310,1,2,0.2092,1,True,1,25.321,20.1774
raw_single_channel_phase_gat_team_mean_seed11,384,1,0,-0.2875,0,False,1,34.6737,25.2749
raw_single_channel_phase_gat_team_mean_seed11,364,1,0,-0.2592,0,False,1,34.6717,17.9097
raw_single_channel_phase_gat_team_mean_seed11,339,1,0,-0.0327,0,False,0,5.2323,7.975
raw_single_channel_phase_gat_team_mean_seed11,191,1,0,-0.0406,0,False,0,8.0333,7.7843
raw_single_channel_phase_gat_team_mean_seed11,375,1,0,-0.2562,0,False,1,27.2271,18.8872
raw_single_channel_phase_gat_team_mean_seed11,128,2,1,-0.0655,1,False,1,12.0233,10.4308
raw_single_channel_phase_gat_team_mean_seed11,244,0,1,0.3349,1,False,0,45.7113,29.4818
raw_single_channel_phase_gat_team_mean_seed11,194,1,0,-0.0377,0,False,0,6.672,6.1601
raw_single_channel_phase_gat_team_mean_seed11,1,1,2,0.3578,1,True,1,45.4249,
raw_single_channel_phase_gat_team_mean_seed11,251,0,1,0.3368,1,False,0,42.7948,23.9592
raw_single_channel_phase_gat_team_mean_seed11,226,1,0,-0.0388,0,False,0,6.9312,7.7497
raw_single_channel_phase_gat_team_mean_seed11,351,1,0,-0.2624,0,False,1,39.4769,25.7736
raw_single_channel_phase_gat_team_mean_seed11,115,2,1,-0.3664,1,False,2,44.5966,37.5056
raw_single_channel_phase_gat_team_mean_seed11,7,0,1,0.0554,1,False,0,9.0388,9.4329
