model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
raw_single_channel_phase_gat_team_mean_seed11,8457,0,1,0.1404,1,False,0,20.1719,17.2614
raw_single_channel_phase_gat_team_mean_seed11,7128,1,2,0.122,2,False,1,23.1028,19.0777
raw_single_channel_phase_gat_team_mean_seed11,9533,1,0,-0.3142,0,False,1,27.2883,23.1983
raw_single_channel_phase_gat_team_mean_seed11,9825,1,2,0.2888,1,True,1,28.3645,18.9068
raw_single_channel_phase_gat_team_mean_seed11,8985,1,2,0.1413,1,True,1,18.9784,12.7885
raw_single_channel_phase_gat_team_mean_seed11,7093,1,0,-0.1538,0,False,1,19.8691,17.2414
raw_single_channel_phase_gat_team_mean_seed11,8245,2,1,-0.2037,1,False,2,29.7103,18.0185
raw_single_channel_phase_gat_team_mean_seed11,8806,0,1,0.2332,0,True,0,25.6812,17.5001
raw_single_channel_phase_gat_team_mean_seed11,8906,1,0,-0.2069,0,False,1,27.0142,18.2067
raw_single_channel_phase_gat_team_mean_seed11,7886,1,2,0.1507,1,True,1,31.2391,19.8791
raw_single_channel_phase_gat_team_mean_seed11,8286,1,2,0.0358,2,False,1,4.1405,5.3437
raw_single_channel_phase_gat_team_mean_seed11,9083,1,0,-0.0887,0,False,1,13.4128,12.4244
raw_single_channel_phase_gat_team_mean_seed11,8205,0,1,0.2079,1,False,0,24.7691,22.2134
raw_single_channel_phase_gat_team_mean_seed11,6228,1,0,-0.2336,0,False,1,27.2988,17.602
raw_single_channel_phase_gat_team_mean_seed11,9617,1,2,0.3354,1,True,1,27.7536,28.8832
raw_single_channel_phase_gat_team_mean_seed11,8959,1,0,-0.1156,0,False,1,13.5785,12.9
raw_single_channel_phase_gat_team_mean_seed11,7076,2,1,-0.2586,1,False,2,32.5849,20.0058
raw_single_channel_phase_gat_team_mean_seed11,9199,1,2,0.0795,2,False,1,11.753,8.9764
raw_single_channel_phase_gat_team_mean_seed11,7793,1,0,-0.0858,0,False,1,18.3265,14.2759
raw_single_channel_phase_gat_team_mean_seed11,6885,1,0,-0.0948,0,False,1,15.8377,15.9704
raw_single_channel_phase_gat_team_mean_seed11,9835,1,0,-0.2504,1,True,1,39.1352,26.2938
raw_single_channel_phase_gat_team_mean_seed11,10511,1,0,-0.2983,0,False,1,24.3809,18.9751
raw_single_channel_phase_gat_team_mean_seed11,7278,2,1,-0.326,1,False,2,42.298,26.4278
raw_single_channel_phase_gat_team_mean_seed11,8692,1,0,-0.196,0,False,1,24.4959,28.4738
raw_single_channel_phase_gat_team_mean_seed11,9658,2,1,-0.3154,0,True,2,21.4506,29.1284
raw_single_channel_phase_gat_team_mean_seed11,9585,1,0,-0.1347,0,False,1,17.7655,13.4962
raw_single_channel_phase_gat_team_mean_seed11,6544,2,1,-0.2324,1,False,2,31.7155,19.0154
raw_single_channel_phase_gat_team_mean_seed11,10052,2,1,-0.3094,1,False,2,52.1467,24.6662
raw_single_channel_phase_gat_team_mean_seed11,10300,1,2,0.2657,1,True,1,32.2187,26.2841
raw_single_channel_phase_gat_team_mean_seed11,7748,0,1,0.3351,1,False,0,47.266,27.8029
raw_single_channel_phase_gat_team_mean_seed11,7762,0,1,0.3958,1,False,0,54.8887,28.8554
raw_single_channel_phase_gat_team_mean_seed11,8442,0,1,0.1803,1,False,0,27.7838,20.6211
raw_single_channel_phase_gat_team_mean_seed11,7968,1,2,0.0574,1,True,1,9.3334,9.2735
raw_single_channel_phase_gat_team_mean_seed11,7735,0,1,0.1592,1,False,0,25.608,17.921
raw_single_channel_phase_gat_team_mean_seed11,10298,1,2,0.2352,1,True,1,30.2842,23.4213
raw_single_channel_phase_gat_team_mean_seed11,10517,1,0,-0.2714,1,True,1,23.2219,20.2098
raw_single_channel_phase_gat_team_mean_seed11,6333,1,2,0.2393,1,True,1,31.8768,28.9074
raw_single_channel_phase_gat_team_mean_seed11,11143,1,0,-0.2421,0,False,1,32.1783,18.0644
raw_single_channel_phase_gat_team_mean_seed11,7075,2,1,-0.3026,1,False,2,35.6528,22.4103
raw_single_channel_phase_gat_team_mean_seed11,7303,2,1,-0.0962,1,False,2,12.8865,11.9266
raw_single_channel_phase_gat_team_mean_seed11,6916,1,0,-0.1894,0,False,1,26.9447,18.1831
raw_single_channel_phase_gat_team_mean_seed11,9614,1,2,0.2465,2,False,1,29.9182,12.7806
raw_single_channel_phase_gat_team_mean_seed11,10242,1,2,0.2762,2,False,1,35.0514,26.2129
raw_single_channel_phase_gat_team_mean_seed11,8038,1,2,0.1968,1,True,1,20.8014,19.0654
raw_single_channel_phase_gat_team_mean_seed11,8932,0,1,0.1733,1,False,0,19.51,18.2609
raw_single_channel_phase_gat_team_mean_seed11,6687,0,1,0.1363,1,False,0,20.3384,14.6358
raw_single_channel_phase_gat_team_mean_seed11,8631,1,2,0.1898,2,False,1,27.5534,16.1123
raw_single_channel_phase_gat_team_mean_seed11,7522,1,0,-0.062,0,False,1,10.5849,10.0938
raw_single_channel_phase_gat_team_mean_seed11,10675,2,1,-0.2301,1,False,2,27.0804,22.2038
raw_single_channel_phase_gat_team_mean_seed11,7482,1,0,-0.2144,0,False,1,23.8463,21.6578
raw_single_channel_phase_gat_team_mean_seed11,6173,2,1,-0.1251,1,False,2,16.9989,14.777
raw_single_channel_phase_gat_team_mean_seed11,10436,0,1,0.1816,1,False,0,22.8574,16.9543
raw_single_channel_phase_gat_team_mean_seed11,8670,1,2,0.1923,1,True,1,20.1499,12.1925
raw_single_channel_phase_gat_team_mean_seed11,6611,1,0,-0.1982,0,False,1,24.4021,13.1103
raw_single_channel_phase_gat_team_mean_seed11,10566,2,1,-0.3372,1,False,2,30.6388,29.0315
raw_single_channel_phase_gat_team_mean_seed11,9429,1,0,-0.1626,1,True,1,22.0961,19.7299
raw_single_channel_phase_gat_team_mean_seed11,8886,1,0,-0.1065,0,False,1,9.2668,12.2057
raw_single_channel_phase_gat_team_mean_seed11,6880,1,0,-0.0437,0,False,0,7.8922,7.3687
raw_single_channel_phase_gat_team_mean_seed11,7035,1,0,-0.2446,0,False,1,30.0164,16.4789
raw_single_channel_phase_gat_team_mean_seed11,10579,2,1,-0.2736,1,False,2,30.3719,25.0708
raw_single_channel_phase_gat_team_mean_seed11,6508,1,2,0.1906,1,True,1,25.314,17.6296
raw_single_channel_phase_gat_team_mean_seed11,7914,1,2,0.0843,1,True,1,11.2718,8.7215
raw_single_channel_phase_gat_team_mean_seed11,6237,1,0,-0.205,0,False,1,24.2705,16.2904
raw_single_channel_phase_gat_team_mean_seed11,9128,1,0,-0.2152,0,False,1,26.7044,19.3717
raw_single_channel_phase_gat_team_mean_seed11,7280,2,1,-0.3001,1,False,2,43.4938,26.3311
raw_single_channel_phase_gat_team_mean_seed11,10254,1,0,-0.2966,0,False,1,33.3201,32.2329
raw_single_channel_phase_gat_team_mean_seed11,5849,2,1,-0.237,1,False,2,28.3139,25.8809
raw_single_channel_phase_gat_team_mean_seed11,8305,1,0,-0.1201,0,False,1,18.9796,16.0247
raw_single_channel_phase_gat_team_mean_seed11,9390,1,0,-0.363,0,False,1,33.5746,
raw_single_channel_phase_gat_team_mean_seed11,8723,0,1,0.3114,1,False,0,37.6777,34.5606
raw_single_channel_phase_gat_team_mean_seed11,9022,0,1,0.1873,1,False,0,23.8161,17.1397
raw_single_channel_phase_gat_team_mean_seed11,10820,1,2,0.2677,2,False,1,30.2051,21.8795
raw_single_channel_phase_gat_team_mean_seed11,9497,2,1,-0.3908,1,False,2,44.7004,40.5239
raw_single_channel_phase_gat_team_mean_seed11,8405,0,1,0.2506,1,False,0,33.3091,24.4886
raw_single_channel_phase_gat_team_mean_seed11,7773,0,1,0.372,1,False,0,55.6178,26.9651
raw_single_channel_phase_gat_team_mean_seed11,7211,1,2,0.0969,1,True,1,13.9375,12.9991
raw_single_channel_phase_gat_team_mean_seed11,10335,1,0,-0.0679,0,False,1,10.3302,14.0878
raw_single_channel_phase_gat_team_mean_seed11,7725,1,0,-0.3148,0,False,1,38.0869,28.1067
raw_single_channel_phase_gat_team_mean_seed11,8783,1,2,0.338,1,True,1,38.0895,37.7508
raw_single_channel_phase_gat_team_mean_seed11,6871,1,0,-0.0511,0,False,1,10.8681,10.5806
raw_single_channel_phase_gat_team_mean_seed11,7524,1,0,-0.0857,0,False,1,14.6338,10.8741
raw_single_channel_phase_gat_team_mean_seed11,9641,2,1,-0.3217,1,False,2,32.1782,30.1497
raw_single_channel_phase_gat_team_mean_seed11,11038,1,0,-0.3619,0,False,1,36.3645,
raw_single_channel_phase_gat_team_mean_seed11,10004,1,0,-0.2944,1,True,1,28.6767,27.6007
raw_single_channel_phase_gat_team_mean_seed11,8401,0,1,0.2348,1,False,0,28.5137,23.7385
raw_single_channel_phase_gat_team_mean_seed11,10114,1,2,0.213,1,True,1,30.3892,16.2237
raw_single_channel_phase_gat_team_mean_seed11,9048,1,2,0.2785,1,True,1,28.6045,28.9696
raw_single_channel_phase_gat_team_mean_seed11,10311,1,0,-0.3236,0,False,1,37.3645,25.8576
raw_single_channel_phase_gat_team_mean_seed11,8119,2,1,-0.1351,1,False,2,22.1237,12.8522
raw_single_channel_phase_gat_team_mean_seed11,7990,2,1,-0.282,1,False,2,34.9231,23.9625
raw_single_channel_phase_gat_team_mean_seed11,11050,0,1,0.0333,1,False,0,6.2242,5.5838
raw_single_channel_phase_gat_team_mean_seed11,9561,1,2,0.309,1,True,1,30.1444,23.3942
raw_single_channel_phase_gat_team_mean_seed11,9850,1,0,-0.2067,1,True,1,31.5096,24.777
raw_single_channel_phase_gat_team_mean_seed11,9172,1,0,-0.0721,0,False,1,11.2626,10.3631
raw_single_channel_phase_gat_team_mean_seed11,8960,1,0,-0.1222,0,False,1,13.6034,12.5423
raw_single_channel_phase_gat_team_mean_seed11,6624,1,0,-0.3394,0,False,1,38.9192,34.4101
raw_single_channel_phase_gat_team_mean_seed11,8947,0,1,0.0863,0,True,0,8.5723,8.1924
raw_single_channel_phase_gat_team_mean_seed11,6886,1,0,-0.0638,0,False,1,10.2995,11.3909
raw_single_channel_phase_gat_team_mean_seed11,6588,1,2,0.1292,2,False,1,16.4541,17.6322
raw_single_channel_phase_gat_team_mean_seed11,9249,1,0,-0.3622,0,False,1,41.6372,
raw_single_channel_phase_gat_team_mean_seed11,7690,2,1,-0.3556,1,False,2,48.5599,37.0301
raw_single_channel_phase_gat_team_mean_seed11,9514,1,0,-0.332,1,True,1,54.2068,38.9847
raw_single_channel_phase_gat_team_mean_seed11,7457,0,1,0.1948,1,False,0,29.8704,14.8225
raw_single_channel_phase_gat_team_mean_seed11,9905,1,2,0.3088,1,True,1,26.895,25.3648
raw_single_channel_phase_gat_team_mean_seed11,9043,1,0,-0.3582,1,True,1,40.8428,
raw_single_channel_phase_gat_team_mean_seed11,8462,0,1,0.1657,1,False,0,22.034,19.3292
raw_single_channel_phase_gat_team_mean_seed11,7227,1,2,0.1569,1,True,1,21.3679,16.6306
raw_single_channel_phase_gat_team_mean_seed11,10749,0,1,0.1147,0,True,0,14.0863,10.7549
raw_single_channel_phase_gat_team_mean_seed11,10648,1,0,-0.122,0,False,1,14.4376,13.8698
raw_single_channel_phase_gat_team_mean_seed11,10681,2,1,-0.1528,1,False,2,20.5955,16.6546
raw_single_channel_phase_gat_team_mean_seed11,8861,1,2,0.2036,1,True,1,24.5647,19.2559
raw_single_channel_phase_gat_team_mean_seed11,7575,1,0,-0.061,0,False,1,13.7929,9.2196
raw_single_channel_phase_gat_team_mean_seed11,9633,2,1,-0.2534,1,False,2,26.8341,18.3442
raw_single_channel_phase_gat_team_mean_seed11,9637,2,1,-0.2969,1,False,2,26.3703,23.5159
raw_single_channel_phase_gat_team_mean_seed11,10212,1,0,-0.2847,0,False,1,33.3681,23.4135
raw_single_channel_phase_gat_team_mean_seed11,9124,1,0,-0.0992,0,False,1,11.9319,13.2186
raw_single_channel_phase_gat_team_mean_seed11,6863,1,0,-0.254,0,False,1,33.593,36.9736
raw_single_channel_phase_gat_team_mean_seed11,11166,0,1,0.0397,1,False,0,6.3282,6.1228
raw_single_channel_phase_gat_team_mean_seed11,11195,1,0,-0.297,0,False,1,35.5177,26.4061
raw_single_channel_phase_gat_team_mean_seed11,10814,1,2,0.2718,1,True,1,32.6297,26.0602
raw_single_channel_phase_gat_team_mean_seed11,7840,1,2,0.0767,1,True,1,12.4874,8.634
raw_single_channel_phase_gat_team_mean_seed11,9532,1,0,-0.2886,0,False,1,28.9094,20.7965
raw_single_channel_phase_gat_team_mean_seed11,7786,0,1,0.2667,1,False,0,43.9404,23.4813
raw_single_channel_phase_gat_team_mean_seed11,6761,0,1,0.2741,1,False,0,37.5763,21.876
raw_single_channel_phase_gat_team_mean_seed11,10407,0,1,0.3308,1,False,0,34.5255,21.8331
raw_single_channel_phase_gat_team_mean_seed11,10674,2,1,-0.2228,1,False,2,25.6171,21.282
raw_single_channel_phase_gat_team_mean_seed11,9952,0,1,0.1149,1,False,0,16.3211,10.5797
raw_single_channel_phase_gat_team_mean_seed11,7617,2,1,-0.3965,1,False,2,46.7349,37.3257
raw_single_channel_phase_gat_team_mean_seed11,7359,2,1,-0.1037,1,False,2,13.1022,9.8219
raw_single_channel_phase_gat_team_mean_seed11,10455,1,0,-0.0922,0,False,1,13.5721,12.6997
raw_single_channel_phase_gat_team_mean_seed11,10864,1,0,-0.0692,0,False,1,14.7116,12.1732
raw_single_channel_phase_gat_team_mean_seed11,6659,0,1,0.2226,1,False,0,28.0172,22.5398
raw_single_channel_phase_gat_team_mean_seed11,9236,1,0,-0.3238,0,False,1,38.554,25.9373
raw_single_channel_phase_gat_team_mean_seed11,7508,1,0,-0.1898,0,False,1,26.9069,13.2782
raw_single_channel_phase_gat_team_mean_seed11,7753,0,1,0.3579,1,False,0,49.38,29.7685
raw_single_channel_phase_gat_team_mean_seed11,9876,0,1,0.1754,1,False,0,20.838,20.0285
raw_single_channel_phase_gat_team_mean_seed11,7997,2,1,-0.0975,1,False,2,15.0804,10.9399
raw_single_channel_phase_gat_team_mean_seed11,8044,1,2,0.1423,1,True,1,19.6809,14.5913
raw_single_channel_phase_gat_team_mean_seed11,7978,1,2,0.3012,1,True,1,32.1383,30.9035
raw_single_channel_phase_gat_team_mean_seed11,8232,1,2,0.1952,1,True,1,23.4581,23.1152
raw_single_channel_phase_gat_team_mean_seed11,9032,1,0,-0.0787,0,False,1,12.7523,9.4663
raw_single_channel_phase_gat_team_mean_seed11,11175,2,1,-0.1605,1,False,2,17.8532,14.0006
raw_single_channel_phase_gat_team_mean_seed11,6193,1,2,0.1517,1,True,1,19.828,16.9949
raw_single_channel_phase_gat_team_mean_seed11,10129,1,0,-0.347,1,True,1,34.1536,33.4144
