model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
raw_single_channel_phase_gat_team_mean_seed11,5954,1,0,-0.1909,0,False,1,26.9887,27.6545
raw_single_channel_phase_gat_team_mean_seed11,3150,2,1,-0.3984,1,False,2,43.0469,34.406
raw_single_channel_phase_gat_team_mean_seed11,786,1,2,0.0477,1,True,1,8.0699,5.3628
raw_single_channel_phase_gat_team_mean_seed11,2975,1,0,-0.29,0,False,1,35.1727,20.6393
raw_single_channel_phase_gat_team_mean_seed11,5994,1,0,-0.073,0,False,1,10.7219,10.5041
raw_single_channel_phase_gat_team_mean_seed11,4711,0,1,0.0434,1,False,0,7.0183,5.2451
raw_single_channel_phase_gat_team_mean_seed11,1096,2,1,-0.1609,1,False,2,24.2726,14.0723
raw_single_channel_phase_gat_team_mean_seed11,2529,1,0,-0.2046,0,False,1,23.0233,21.1949
raw_single_channel_phase_gat_team_mean_seed11,6032,1,2,0.2609,2,False,1,32.2319,33.8408
raw_single_channel_phase_gat_team_mean_seed11,5001,0,1,0.1407,1,False,0,21.983,12.6645
raw_single_channel_phase_gat_team_mean_seed11,4245,1,2,0.1397,1,True,1,19.2051,15.9478
raw_single_channel_phase_gat_team_mean_seed11,4107,0,1,0.221,1,False,0,21.8369,22.9794
raw_single_channel_phase_gat_team_mean_seed11,3049,1,0,-0.2807,0,False,1,31.4331,21.7802
raw_single_channel_phase_gat_team_mean_seed11,2145,1,0,-0.3354,0,False,1,36.974,24.048
raw_single_channel_phase_gat_team_mean_seed11,1509,1,2,0.0537,1,True,1,8.3111,7.674
raw_single_channel_phase_gat_team_mean_seed11,873,1,2,0.3589,1,True,1,30.904,
raw_single_channel_phase_gat_team_mean_seed11,5067,2,1,-0.2383,1,False,2,32.8908,27.1631
raw_single_channel_phase_gat_team_mean_seed11,639,1,2,0.3525,2,False,1,30.2985,
raw_single_channel_phase_gat_team_mean_seed11,2500,1,0,-0.2491,0,False,1,32.7104,33.3895
raw_single_channel_phase_gat_team_mean_seed11,3992,2,1,-0.0977,1,False,2,17.1249,12.5742
raw_single_channel_phase_gat_team_mean_seed11,5187,0,1,0.0683,1,False,0,10.7936,9.0809
raw_single_channel_phase_gat_team_mean_seed11,4305,0,1,0.1869,1,False,0,26.8563,21.0245
raw_single_channel_phase_gat_team_mean_seed11,5450,0,1,0.178,0,True,0,22.8435,15.7319
raw_single_channel_phase_gat_team_mean_seed11,921,0,1,0.0488,0,True,0,7.4155,6.3108
raw_single_channel_phase_gat_team_mean_seed11,1215,1,0,-0.3472,0,False,1,36.4413,30.1215
raw_single_channel_phase_gat_team_mean_seed11,1660,1,0,-0.3609,0,False,1,34.5365,
raw_single_channel_phase_gat_team_mean_seed11,3652,1,2,0.3106,1,True,1,32.2804,32.3414
raw_single_channel_phase_gat_team_mean_seed11,1968,1,2,0.2294,1,True,1,30.1916,22.0072
raw_single_channel_phase_gat_team_mean_seed11,4342,1,0,-0.257,0,False,1,34.9608,29.1203
raw_single_channel_phase_gat_team_mean_seed11,4873,1,0,-0.1398,0,False,1,19.5525,26.4937
raw_single_channel_phase_gat_team_mean_seed11,1339,1,0,-0.0549,0,False,1,11.5122,16.284
raw_single_channel_phase_gat_team_mean_seed11,2768,1,0,-0.2254,0,False,1,30.6574,17.3874
raw_single_channel_phase_gat_team_mean_seed11,5708,0,1,0.3621,1,False,0,46.9621,19.4734
raw_single_channel_phase_gat_team_mean_seed11,813,1,0,-0.3146,0,False,1,34.3374,26.1638
raw_single_channel_phase_gat_team_mean_seed11,5648,1,2,0.2059,1,True,1,28.1158,15.6671
raw_single_channel_phase_gat_team_mean_seed11,1387,1,0,-0.3601,0,False,1,45.1135,
raw_single_channel_phase_gat_team_mean_seed11,3280,1,2,0.212,1,True,1,24.825,19.5875
raw_single_channel_phase_gat_team_mean_seed11,3949,2,1,-0.3753,1,False,2,65.0432,34.1775
raw_single_channel_phase_gat_team_mean_seed11,1444,1,0,-0.1213,0,False,1,18.765,10.8036
raw_single_channel_phase_gat_team_mean_seed11,3780,2,1,-0.2118,1,False,2,32.7658,23.6273
raw_single_channel_phase_gat_team_mean_seed11,2154,1,2,0.2268,1,True,1,25.4593,24.2595
raw_single_channel_phase_gat_team_mean_seed11,1853,1,0,-0.2857,0,False,1,38.1566,32.3864
raw_single_channel_phase_gat_team_mean_seed11,1196,1,2,0.2661,1,True,1,29.4397,26.4458
raw_single_channel_phase_gat_team_mean_seed11,2823,0,1,0.262,1,False,0,42.3716,22.7378
raw_single_channel_phase_gat_team_mean_seed11,5368,1,0,-0.1574,0,False,1,20.6007,26.8029
raw_single_channel_phase_gat_team_mean_seed11,3884,1,0,-0.1202,0,False,1,15.5951,13.3432
