model,scene,orig,new,shift,pred,miss,away_pred,feat_dist,null_feat_dist
raw_single_channel_phase_gat_team_mean_seed11,2766,1,2,0.3959,2,False,1,36.8901,
raw_single_channel_phase_gat_team_mean_seed11,4953,0,1,0.2387,1,False,0,38.1019,23.0059
raw_single_channel_phase_gat_team_mean_seed11,2844,1,0,-0.2194,0,False,1,30.5178,19.5213
raw_single_channel_phase_gat_team_mean_seed11,1145,1,0,-0.3991,0,False,1,41.6778,
raw_single_channel_phase_gat_team_mean_seed11,4475,1,0,-0.1407,0,False,1,17.2937,20.9488
raw_single_channel_phase_gat_team_mean_seed11,4632,0,1,0.1134,1,False,0,12.5037,13.4804
raw_single_channel_phase_gat_team_mean_seed11,1586,1,0,-0.245,0,False,1,35.1308,25.7372
raw_single_channel_phase_gat_team_mean_seed11,5530,1,0,-0.2866,0,False,1,29.3385,24.7037
raw_single_channel_phase_gat_team_mean_seed11,1851,1,0,-0.3282,0,False,1,41.8319,34.1928
raw_single_channel_phase_gat_team_mean_seed11,4070,0,1,0.1723,1,False,0,24.7167,15.95
raw_single_channel_phase_gat_team_mean_seed11,2180,1,0,-0.3546,0,False,1,41.778,31.4276
raw_single_channel_phase_gat_team_mean_seed11,5517,1,0,-0.1727,0,False,1,17.6479,14.7499
raw_single_channel_phase_gat_team_mean_seed11,1577,0,1,0.1002,1,False,1,15.2648,17.7156
raw_single_channel_phase_gat_team_mean_seed11,4937,0,1,0.128,1,False,0,19.3076,14.5566
raw_single_channel_phase_gat_team_mean_seed11,4692,1,2,0.3065,2,False,1,33.4159,27.4363
raw_single_channel_phase_gat_team_mean_seed11,3111,1,2,0.2128,2,False,1,31.1415,19.841
raw_single_channel_phase_gat_team_mean_seed11,562,1,0,-0.3952,0,False,1,40.9443,
raw_single_channel_phase_gat_team_mean_seed11,4970,0,1,0.2256,1,False,0,35.0983,20.7927
raw_single_channel_phase_gat_team_mean_seed11,834,1,0,-0.2857,0,False,1,32.2178,23.7463
raw_single_channel_phase_gat_team_mean_seed11,4942,0,1,0.1553,1,False,0,26.1906,15.7886
raw_single_channel_phase_gat_team_mean_seed11,5486,1,0,-0.1388,0,False,0,14.8384,12.4395
raw_single_channel_phase_gat_team_mean_seed11,1950,0,1,0.1761,1,False,0,25.5826,21.4869
raw_single_channel_phase_gat_team_mean_seed11,2602,1,2,0.1467,2,False,1,30.529,24.2224
raw_single_channel_phase_gat_team_mean_seed11,1140,1,2,0.3716,2,False,1,35.9511,39.1718
raw_single_channel_phase_gat_team_mean_seed11,5218,1,0,-0.1812,0,False,1,20.6534,22.2951
raw_single_channel_phase_gat_team_mean_seed11,3773,2,1,-0.201,1,False,2,41.9514,22.4464
raw_single_channel_phase_gat_team_mean_seed11,2734,1,0,-0.2742,0,False,1,30.486,30.9735
raw_single_channel_phase_gat_team_mean_seed11,3379,2,1,-0.2963,1,False,2,43.5293,24.0395
raw_single_channel_phase_gat_team_mean_seed11,2190,0,1,0.2286,1,False,0,29.7844,26.3239
raw_single_channel_phase_gat_team_mean_seed11,3635,1,2,0.3802,2,False,1,48.1502,38.596
raw_single_channel_phase_gat_team_mean_seed11,866,1,0,-0.3802,0,False,1,38.1911,24.0588
raw_single_channel_phase_gat_team_mean_seed11,2935,0,1,0.1219,1,False,0,20.1552,17.8225
raw_single_channel_phase_gat_team_mean_seed11,6011,0,1,0.204,1,False,0,28.8913,22.5687
