model,scene,orig,new,shift,pred,miss,feat_dist,null_feat_dist
cover,1636,0,1,0.2736,1,False,37.669,22.3753
cover,1059,1,2,0.2485,2,False,38.1395,31.0359
cover,491,1,2,0.2135,2,False,18.7593,17.3009
cover,2788,0,1,0.2173,1,False,35.0394,18.4069
cover,3997,1,2,0.0527,2,False,8.308,8.2889
cover,2178,1,2,0.3229,2,False,34.2095,29.8507
cover,5809,1,0,-0.1367,0,False,18.8259,21.8857
cover,2980,1,0,-0.1804,0,False,25.0904,17.6069
cover,1760,1,2,0.3009,2,False,26.2715,24.8945
cover,2606,2,1,-0.2566,1,False,28.3027,16.1071
cover,5561,0,1,0.0817,1,False,12.8418,8.8003
cover,5998,0,1,0.063,1,False,10.442,9.1251
cover,2655,0,1,0.1185,1,False,16.5973,12.7454
cover,3420,0,1,0.125,0,True,16.6209,11.6498
cover,5757,1,0,-0.1408,0,False,18.2049,14.8207
cover,3120,1,2,0.0521,2,False,8.9172,11.0306
cover,5817,1,0,-0.1535,0,False,21.388,22.9017
cover,5309,2,1,-0.0939,1,False,11.8131,7.4294
cover,2526,1,2,0.3566,2,False,34.2056,
cover,4875,1,0,-0.2033,0,False,27.1884,28.2289
cover,2172,1,2,0.2089,1,True,29.906,20.6525
cover,5707,0,1,0.361,1,False,46.0692,18.6321
cover,4061,1,0,-0.0605,0,False,10.1075,8.1825
cover,5629,1,2,0.2303,2,False,34.0668,20.5905
cover,589,1,0,-0.3275,0,False,36.7797,22.6905
cover,1248,1,2,0.2882,2,False,30.0226,22.3118
cover,3527,1,0,-0.1293,0,False,16.5103,18.9045
cover,5999,0,1,0.062,1,False,10.3598,8.0066
cover,1915,1,0,-0.3585,0,False,38.6925,
cover,5647,1,2,0.2114,1,True,28.1734,15.596
cover,4775,1,2,0.1591,2,False,22.4638,13.6405
cover,1281,1,2,0.1724,2,False,20.563,16.2059
cover,4848,1,0,-0.2058,1,True,27.4281,27.8529
cover,5103,2,1,-0.2255,1,False,21.6786,20.3884
cover,1504,2,1,-0.1707,1,False,28.2271,13.7878
cover,4550,1,0,-0.2897,1,True,31.5315,28.8137
cover,1398,1,0,-0.1534,0,False,17.8225,12.7009
cover,492,1,2,0.194,2,False,19.0843,18.5672
cover,4942,0,1,0.0853,1,False,14.383,9.4077
cover,1058,1,2,0.2595,2,False,40.5373,32.5259
cover,1508,1,2,0.03,2,False,3.4088,4.7455
cover,3530,1,0,-0.1702,0,False,22.8963,23.5677
cover,3628,1,0,-0.1322,0,False,17.8717,16.4635
cover,2243,2,1,-0.0719,1,False,8.2177,8.8118
cover,2805,0,1,0.2468,1,False,37.3102,22.7404
cover,5600,1,2,0.0977,1,True,17.6576,12.5338
cover,1919,1,2,0.1191,1,True,16.0129,13.2528
cover,691,1,2,0.0618,2,False,7.6816,10.1427
cover,5886,1,2,0.2871,2,False,35.1073,30.2962
cover,2364,2,1,-0.3626,1,False,54.689,57.1045
cover,4176,1,0,-0.3064,0,False,27.6608,25.4247
cover,505,1,0,-0.3564,0,False,38.726,
cover,2479,0,1,0.0835,0,True,10.5091,9.6545
cover,4422,1,0,-0.2061,0,False,25.2855,20.9477
cover,1330,1,0,-0.1092,0,False,23.8345,22.2176
cover,3762,2,1,-0.0436,1,False,7.7655,7.4454
cover,5351,1,2,0.2743,2,False,35.5919,25.0807
cover,3543,0,1,0.1955,1,False,22.3185,17.882
cover,4178,1,0,-0.32,1,True,31.1262,28.5963
cover,4793,2,1,-0.2443,1,False,33.3471,25.4468
cover,2552,1,2,0.2758,2,False,30.4606,23.8484
cover,755,0,1,0.1252,1,False,20.2009,14.1266
cover,3474,2,1,-0.139,1,False,22.6574,17.6195
cover,1096,2,1,-0.1609,1,False,23.6413,13.3094
cover,2685,1,0,-0.1732,0,False,25.0156,14.5676
cover,4286,1,2,0.3154,2,False,38.3664,32.6721
cover,6057,1,2,0.0908,2,False,13.7046,13.6815
cover,1502,2,1,-0.1922,1,False,30.9611,15.2326
cover,1233,1,0,-0.2177,0,False,27.6625,22.9248
cover,4217,2,1,-0.2297,1,False,31.9516,18.2314
cover,3655,1,0,-0.3138,1,True,32.9312,23.7804
cover,5683,0,1,0.2293,1,False,29.6237,15.186
cover,672,0,1,0.0327,1,False,6.0984,4.7052
cover,2644,0,1,0.0857,1,False,11.3161,11.9331
cover,1576,0,1,0.0375,1,False,6.2952,9.7297
cover,2804,0,1,0.2458,1,False,36.3324,22.0287
cover,5694,0,1,0.3323,1,False,44.5652,21.1938
cover,2208,1,0,-0.2188,0,False,28.9589,21.0582
cover,5688,0,1,0.2961,1,False,39.7465,18.3489
cover,2350,2,1,-0.3528,1,False,42.4784,37.804
cover,1312,1,2,0.282,2,False,27.5884,23.5302
cover,1977,1,2,0.2119,1,True,25.0147,24.2971
cover,1675,1,0,-0.2737,0,False,30.8386,23.217
cover,1301,1,2,0.1616,2,False,19.7496,14.5627
cover,4883,1,0,-0.0875,0,False,14.2056,14.1492
cover,2904,1,0,-0.2754,0,False,31.5775,25.4442
cover,2410,2,1,-0.2156,1,False,32.2529,23.8224
cover,5634,1,2,0.2884,2,False,36.1843,26.2794
cover,5980,0,1,0.2448,1,False,30.5908,15.8443
cover,4186,1,0,-0.3544,1,True,36.5393,
cover,440,2,1,-0.2046,1,False,22.9368,20.4866
cover,1215,1,0,-0.3472,0,False,34.4232,29.4701
cover,3337,2,1,-0.2147,1,False,30.6662,16.9866
cover,3992,2,1,-0.0977,1,False,16.154,12.5881
cover,1382,1,2,0.3005,1,True,36.0843,37.1156
cover,2711,1,2,0.2129,2,False,35.6445,23.7901
cover,3117,1,2,0.0847,2,False,14.146,10.9493
