model,scene,orig,new,shift,pred,miss,feat_dist,null_feat_dist
cover,1636,0,1,0.2736,1,False,31.0993,28.4603
cover,1059,1,2,0.2485,2,False,28.6653,22.6245
cover,491,1,2,0.2135,2,False,24.5422,18.4636
cover,2788,0,1,0.2173,1,False,35.9273,22.2082
cover,3997,1,2,0.0527,2,False,10.1666,6.5863
cover,2178,1,2,0.3229,2,False,36.6267,31.5503
cover,5809,1,0,-0.1367,1,True,18.5629,22.0309
cover,2980,1,0,-0.1804,0,False,21.9862,19.0811
cover,1760,1,2,0.3009,1,True,24.7881,25.8988
cover,2606,2,1,-0.2566,1,False,33.8057,30.7011
cover,5561,0,1,0.0817,1,False,9.8877,12.5033
cover,5998,0,1,0.063,1,False,13.7964,13.1231
cover,2655,0,1,0.1185,1,False,13.994,13.6421
cover,3420,0,1,0.125,1,False,18.3253,13.3929
cover,5757,1,0,-0.1408,0,False,17.9215,15.1211
cover,3120,1,2,0.0521,2,False,9.0189,12.4239
cover,5817,1,0,-0.1535,0,False,23.9704,21.1381
cover,5309,2,1,-0.0939,2,True,6.546,10.9222
cover,2526,1,2,0.3566,1,True,31.5631,
cover,4875,1,0,-0.2033,1,True,26.3378,32.2493
cover,2172,1,2,0.2089,2,False,27.3658,30.2261
cover,5707,0,1,0.361,1,False,49.6163,39.3879
cover,4061,1,0,-0.0605,0,False,7.4725,5.5644
cover,5629,1,2,0.2303,2,False,31.4124,18.7648
cover,589,1,0,-0.3275,1,True,36.8482,37.302
cover,1248,1,2,0.2882,2,False,31.3326,26.6144
cover,3527,1,0,-0.1293,0,False,16.629,16.384
cover,5999,0,1,0.062,1,False,11.7634,13.6373
cover,1915,1,0,-0.3585,1,True,39.2642,
cover,5647,1,2,0.2114,2,False,30.8807,19.3725
cover,4775,1,2,0.1591,2,False,20.8482,15.7547
cover,1281,1,2,0.1724,1,True,22.4472,19.4845
cover,4848,1,0,-0.2058,1,True,25.2299,31.4551
cover,5103,2,1,-0.2255,1,False,27.0991,21.1337
cover,1504,2,1,-0.1707,1,False,27.1326,20.0355
cover,4550,1,0,-0.2897,1,True,29.9171,30.3723
cover,1398,1,0,-0.1534,0,False,17.4815,11.2246
cover,492,1,2,0.194,2,False,22.8118,21.4426
cover,4942,0,1,0.0853,1,False,17.134,13.022
cover,1058,1,2,0.2595,2,False,31.9495,24.0642
cover,1508,1,2,0.03,2,False,5.0427,4.5781
cover,3530,1,0,-0.1702,1,True,24.5944,25.3939
cover,3628,1,0,-0.1322,0,False,16.0172,16.2718
cover,2243,2,1,-0.0719,1,False,10.3823,9.9267
cover,2805,0,1,0.2468,1,False,37.3868,28.1676
cover,5600,1,2,0.0977,2,False,18.4352,16.1668
cover,1919,1,2,0.1191,2,False,15.7335,18.2164
cover,691,1,2,0.0618,2,False,9.0183,10.0735
cover,5886,1,2,0.2871,2,False,38.2065,28.305
cover,2364,2,1,-0.3626,2,True,51.9796,52.6998
cover,4176,1,0,-0.3064,1,True,27.5007,33.9383
cover,505,1,0,-0.3564,0,False,34.0563,
cover,2479,0,1,0.0835,1,False,11.2587,11.4901
cover,4422,1,0,-0.2061,1,True,22.5593,29.1832
cover,1330,1,0,-0.1092,0,False,22.5174,16.7934
cover,3762,2,1,-0.0436,2,True,5.7956,4.5539
cover,5351,1,2,0.2743,2,False,40.6329,28.1975
cover,3543,0,1,0.1955,1,False,20.7752,19.9951
cover,4178,1,0,-0.32,1,True,30.4521,36.7714
cover,4793,2,1,-0.2443,1,False,31.3014,30.823
cover,2552,1,2,0.2758,1,True,18.8215,22.6552
cover,755,0,1,0.1252,1,False,21.5526,14.4509
cover,3474,2,1,-0.139,1,False,26.6568,21.3034
cover,1096,2,1,-0.1609,1,False,25.4369,20.1711
cover,2685,1,0,-0.1732,0,False,22.5731,14.7318
cover,4286,1,2,0.3154,2,False,37.151,26.0423
cover,6057,1,2,0.0908,2,False,15.2828,9.3288
cover,1502,2,1,-0.1922,1,False,28.656,21.8124
cover,1233,1,0,-0.2177,0,False,25.1793,25.8675
cover,4217,2,1,-0.2297,1,False,30.7206,26.9006
cover,3655,1,0,-0.3138,1,True,33.1042,34.4063
cover,5683,0,1,0.2293,1,False,38.1553,22.0854
cover,672,0,1,0.0327,1,False,3.5095,4.9749
cover,2644,0,1,0.0857,1,False,10.9487,13.7705
cover,1576,0,1,0.0375,1,False,5.1524,6.5438
cover,2804,0,1,0.2458,1,False,36.3518,28.6074
cover,5694,0,1,0.3323,1,False,50.5265,40.5841
cover,2208,1,0,-0.2188,0,False,23.6737,27.1265
cover,5688,0,1,0.2961,1,False,45.2092,30.056
cover,2350,2,1,-0.3528,2,True,46.9644,46.7616
cover,1312,1,2,0.282,1,True,28.424,22.3895
cover,1977,1,2,0.2119,1,True,25.9612,29.3178
cover,1675,1,0,-0.2737,1,True,26.1085,34.9822
cover,1301,1,2,0.1616,2,False,20.2254,20.1344
cover,4883,1,0,-0.0875,0,False,11.4843,14.2376
cover,2904,1,0,-0.2754,0,False,33.8574,24.7471
cover,2410,2,1,-0.2156,1,False,34.2485,30.6096
cover,5634,1,2,0.2884,2,False,34.4198,22.919
cover,5980,0,1,0.2448,1,False,37.6603,22.2724
cover,4186,1,0,-0.3544,1,True,34.755,
cover,440,2,1,-0.2046,1,False,32.4607,22.7224
cover,1215,1,0,-0.3472,0,False,38.3596,25.2171
cover,3337,2,1,-0.2147,1,False,29.9211,26.9648
cover,3992,2,1,-0.0977,1,False,15.6498,14.4805
cover,1382,1,2,0.3005,1,True,31.6272,36.4971
cover,2711,1,2,0.2129,2,False,36.6127,27.0441
cover,3117,1,2,0.0847,2,False,13.9427,15.0771
cover,4078,0,1,0.1078,1,False,16.9757,13.2748
cover,4023,1,0,-0.1533,0,False,20.1181,24.2986
cover,526,1,2,0.2374,2,False,30.919,34.3451
cover,758,0,1,0.1723,1,False,24.2672,18.0466
cover,4413,0,1,0.0709,1,False,13.7692,10.4784
cover,901,1,0,-0.0859,0,False,14.9092,13.2462
cover,4710,0,1,0.0609,1,False,8.5335,9.0111
cover,3808,1,2,0.1465,2,False,22.1939,19.3147
cover,2815,0,1,0.2495,1,False,37.3838,27.9096
cover,1238,1,0,-0.2811,1,True,27.7539,30.6196
cover,4645,1,0,-0.1554,0,False,21.7432,18.3331
cover,1661,1,0,-0.3485,1,True,29.4374,
cover,5340,1,2,0.3122,2,False,38.2332,30.6479
cover,1483,2,1,-0.2232,1,False,30.5329,26.1136
cover,6047,2,1,-0.0502,1,False,8.4785,9.8003
cover,1969,1,2,0.1542,2,False,23.5372,23.7118
cover,3599,0,1,0.2188,1,False,31.8966,18.4179
cover,4049,0,1,0.2874,1,False,36.4672,24.9069
cover,4957,0,1,0.0861,1,False,16.4825,12.2696
cover,3867,1,0,-0.0605,0,False,8.0601,8.7662
cover,1140,1,2,0.3016,1,True,33.0063,33.0814
cover,749,0,1,0.1755,1,False,24.6441,20.0887
cover,5158,1,2,0.1758,2,False,27.1831,21.2393
cover,4218,2,1,-0.2282,1,False,29.1055,26.9808
cover,5208,1,0,-0.0512,1,True,7.3886,7.1233
cover,3684,0,1,0.151,1,False,25.7653,17.903
cover,4284,1,2,0.2268,2,False,28.7621,19.5758
cover,1865,1,2,0.2717,2,False,32.1517,28.2068
cover,2832,0,1,0.2635,1,False,35.618,34.9411
cover,2676,1,0,-0.1161,0,False,17.6598,9.4368
cover,430,1,2,0.1592,2,False,17.9795,15.1564
cover,3127,2,1,-0.3429,1,False,44.1884,39.4767
cover,2344,2,1,-0.354,2,True,47.4002,50.3002
cover,2165,1,2,0.1385,2,False,17.3593,18.2745
cover,5289,0,1,0.1731,1,False,27.8895,17.8987
cover,1707,2,1,-0.2919,1,False,43.6198,33.2733
cover,839,1,0,-0.2881,0,False,32.6385,24.429
cover,4549,1,0,-0.3027,1,True,29.5979,30.8376
cover,4075,0,1,0.2228,0,True,26.3146,21.5928
cover,1469,2,1,-0.3434,1,False,44.7398,37.0941
cover,548,1,0,-0.2574,0,False,31.449,27.6261
cover,5271,0,1,0.0507,1,False,5.5922,7.7357
cover,1983,1,2,0.2969,1,True,33.7077,34.7972
cover,5687,0,1,0.2852,1,False,45.0111,27.8405
cover,4321,2,1,-0.1431,1,False,21.0701,17.5
cover,1546,1,0,-0.0601,0,False,10.8254,8.4987
cover,3556,1,0,-0.2306,1,True,22.5443,32.5442
cover,1451,1,0,-0.1387,0,False,15.7126,14.0544
cover,3234,0,1,0.1145,1,False,17.9483,10.5249
cover,5978,0,1,0.2896,1,False,41.9404,26.7152
cover,3008,1,2,0.1973,2,False,29.0132,25.5491
cover,4234,1,2,0.0502,2,False,9.2581,7.6918
cover,2176,1,2,0.3105,2,False,35.633,37.2795
cover,3270,2,1,-0.2935,2,True,36.9014,29.219
cover,5915,1,2,0.3083,2,False,31.6372,30.7673
cover,1532,1,2,0.1322,2,False,15.0773,19.7108
cover,654,1,0,-0.0905,0,False,13.5794,12.2188
cover,3517,1,0,-0.1479,0,False,25.5742,28.1176
cover,5225,0,1,0.2666,1,False,35.9184,29.3581
cover,4672,1,0,-0.2426,1,True,25.5774,22.9433
cover,5384,1,0,-0.0834,1,True,11.0543,10.5825
cover,2923,1,0,-0.2709,0,False,31.4411,25.5253
cover,5706,0,1,0.3605,1,False,50.1945,39.5759
cover,4331,1,2,0.1666,2,False,24.5736,16.9974
cover,2194,1,0,-0.0767,0,False,11.7198,9.2416
cover,4363,1,0,-0.0615,0,False,8.6315,9.4816
cover,3852,1,2,0.1724,2,False,27.1438,27.0045
cover,5785,1,2,0.0342,2,False,5.3753,7.1175
cover,2408,2,1,-0.362,2,True,50.5855,57.61
cover,3301,2,1,-0.1677,1,False,24.8112,23.0914
cover,2247,2,1,-0.3677,1,False,46.3976,36.4452
cover,5180,1,0,-0.1885,1,True,22.8666,24.7507
cover,3233,0,1,0.1662,0,True,22.7333,16.5227
cover,2218,1,0,-0.2547,0,False,27.3895,23.0446
cover,2467,1,0,-0.2769,0,False,28.3762,30.4552
cover,5320,1,2,0.2161,2,False,25.322,15.2943
cover,3148,2,1,-0.3711,1,False,50.7537,44.6252
cover,2445,1,2,0.0358,2,False,4.605,4.7421
cover,3861,1,0,-0.193,1,True,19.8894,16.1564
cover,5478,1,0,-0.0727,0,False,7.0238,7.3227
cover,1733,1,0,-0.1088,0,False,15.3093,14.8809
cover,3282,1,2,0.2382,2,False,27.1436,17.2472
cover,3405,1,0,-0.2371,1,True,33.3008,32.0789
cover,2004,1,0,-0.0902,0,False,14.6566,10.2089
cover,777,1,2,0.2187,2,False,27.1017,22.918
cover,1941,1,2,0.332,2,False,37.8538,37.0698
cover,4414,0,1,0.0523,1,False,10.137,8.8458
cover,5257,0,1,0.3529,1,False,42.8281,35.3249
cover,1523,1,2,0.0992,1,True,12.7978,10.11
cover,633,1,0,-0.1536,0,False,20.0751,18.3213
cover,3880,0,1,0.0606,1,False,9.5752,11.214
cover,1593,1,0,-0.0896,0,False,14.8253,8.9225
cover,2959,2,1,-0.0849,1,False,13.7877,19.1537
cover,5692,0,1,0.3285,1,False,50.1248,41.7284
cover,2696,1,0,-0.2666,0,False,29.4592,21.1899
cover,5869,1,0,-0.2285,0,False,27.613,33.0035
cover,4528,2,1,-0.0378,1,False,6.9622,5.3348
cover,4627,0,1,0.0714,1,False,11.2962,10.7481
cover,4074,0,1,0.2235,1,False,31.1134,21.016
cover,685,1,2,0.2153,2,False,21.5387,20.6846
cover,4853,1,0,-0.2819,1,True,36.1931,31.3679
cover,4748,1,0,-0.2725,1,True,32.9411,24.3123
cover,4828,1,0,-0.3242,1,True,34.5641,31.8532
cover,1270,1,2,0.0981,2,False,13.3491,16.8324
cover,5768,1,0,-0.2715,1,True,28.0187,30.827
cover,2531,1,0,-0.1562,0,False,17.4912,14.7379
cover,5068,2,1,-0.2403,1,False,30.5838,28.4263
cover,4843,1,0,-0.2404,1,True,35.619,33.16
cover,2112,1,0,-0.2043,0,False,22.7054,17.0434
cover,3207,1,2,0.1508,1,True,22.9306,17.035
cover,1766,1,0,-0.201,0,False,22.7156,16.3279
cover,4879,1,0,-0.1369,0,False,16.0778,19.6051
cover,5049,2,1,-0.0864,1,False,11.0377,11.8891
cover,4479,0,1,0.0521,1,False,8.891,8.1693
cover,3199,2,1,-0.0956,1,False,13.9522,11.7978
cover,4682,2,1,-0.1825,1,False,24.8379,22.3704
cover,3807,1,2,0.1643,2,False,22.6321,23.2568
cover,1727,1,0,-0.1669,0,False,24.3721,16.4534
cover,3230,0,1,0.2781,1,False,34.0043,29.0038
cover,1362,0,1,0.205,1,False,27.1158,19.7795
cover,3890,0,1,0.0425,1,False,6.5908,6.5678
cover,1885,1,2,0.1594,2,False,23.3356,23.7639
cover,2575,2,1,-0.1228,1,False,18.4399,16.9235
cover,4885,1,0,-0.1533,0,False,20.8543,24.4695
cover,5256,0,1,0.3734,1,False,45.5542,37.8174
cover,3465,2,1,-0.1476,1,False,22.956,21.5549
cover,3009,1,2,0.1777,2,False,28.3752,23.5093
cover,2517,1,2,0.1765,2,False,26.7761,28.7474
cover,431,1,2,0.1312,2,False,15.9927,12.8439
cover,4157,1,0,-0.2083,1,True,27.2586,18.3305
cover,2300,1,2,0.129,2,False,20.4389,16.5757
cover,4135,1,0,-0.3548,1,True,36.1852,
cover,1499,2,1,-0.1655,1,False,28.0017,19.1039
cover,719,0,1,0.2262,1,False,28.9358,23.1429
cover,5627,1,2,0.2043,2,False,31.0079,21.8716
cover,4810,2,1,-0.2784,2,True,46.3819,29.5234
cover,2941,0,1,0.0714,1,False,10.6272,10.738
cover,6048,2,1,-0.0609,1,False,9.2942,9.2718
cleanonly,1636,0,1,0.2736,1,False,29.2467,28.3499
