model,scene,orig,new,shift,pred,miss,feat_dist,null_feat_dist
raw_single_channel_phase_gat_team_mean_seed11,121,2,1,-0.3473,1,False,45.1656,31.7538
raw_single_channel_phase_gat_team_mean_seed11,116,2,1,-0.3898,1,False,42.0197,39.2143
raw_single_channel_phase_gat_team_mean_seed11,240,0,1,0.3211,1,False,45.6604,26.326
raw_single_channel_phase_gat_team_mean_seed11,291,2,1,-0.0368,1,False,7.9196,4.2966
raw_single_channel_phase_gat_team_mean_seed11,279,1,2,0.3054,1,True,24.6254,23.8925
raw_single_channel_phase_gat_team_mean_seed11,341,1,0,-0.0965,0,False,13.4493,12.8036
raw_single_channel_phase_gat_team_mean_seed11,7,0,1,0.0554,1,False,9.0388,9.4329
raw_single_channel_phase_gat_team_mean_seed11,33,0,1,0.3543,1,False,45.3196,24.6288
raw_single_channel_phase_gat_team_mean_seed11,385,1,0,-0.2982,0,False,36.8464,28.2599
raw_single_channel_phase_gat_team_mean_seed11,382,1,0,-0.2712,0,False,29.0254,20.9167
raw_single_channel_phase_gat_team_mean_seed11,248,0,1,0.3775,1,False,47.5211,24.7001
raw_single_channel_phase_gat_team_mean_seed11,400,1,2,0.3189,1,True,37.9123,31.8481
raw_single_channel_phase_gat_team_mean_seed11,349,1,0,-0.2494,0,False,40.9141,22.3871
raw_single_channel_phase_gat_team_mean_seed11,409,1,2,0.3314,1,True,43.1331,46.5388
raw_single_channel_phase_gat_team_mean_seed11,216,1,0,-0.0372,0,False,5.8084,7.7977
raw_single_channel_phase_gat_team_mean_seed11,159,1,0,-0.1902,0,False,28.5839,20.3307
raw_single_channel_phase_gat_team_mean_seed11,43,1,0,-0.1517,0,False,22.602,27.0107
raw_single_channel_phase_gat_team_mean_seed11,214,1,0,-0.139,0,False,21.7239,23.1313
raw_single_channel_phase_gat_team_mean_seed11,181,1,0,-0.3293,0,False,40.7149,34.1803
raw_single_channel_phase_gat_team_mean_seed11,24,0,1,0.2548,1,False,39.7462,17.784
raw_single_channel_phase_gat_team_mean_seed11,134,1,2,0.0843,1,True,12.8664,12.9404
raw_single_channel_phase_gat_team_mean_seed11,213,1,0,-0.207,0,False,33.0209,27.9628
raw_single_channel_phase_gat_team_mean_seed11,145,1,2,0.2022,1,True,27.8605,19.3951
raw_single_channel_phase_gat_team_mean_seed11,30,0,1,0.261,1,False,41.3442,19.892
raw_single_channel_phase_gat_team_mean_seed11,161,1,0,-0.0973,0,False,16.9738,12.1242
raw_single_channel_phase_gat_team_mean_seed11,191,1,0,-0.0406,0,False,8.0333,7.7843
raw_single_channel_phase_gat_team_mean_seed11,218,1,0,-0.0483,0,False,10.8955,7.9179
raw_single_channel_phase_gat_team_mean_seed11,268,1,0,-0.0652,0,False,11.3553,9.4045
raw_single_channel_phase_gat_team_mean_seed11,211,1,0,-0.3107,0,False,45.6219,29.9232
raw_single_channel_phase_gat_team_mean_seed11,343,1,0,-0.1741,0,False,23.7816,18.5513
raw_single_channel_phase_gat_team_mean_seed11,263,1,0,-0.0462,0,False,8.9104,7.3167
raw_single_channel_phase_gat_team_mean_seed11,392,1,2,0.3222,2,False,38.3083,30.5697
raw_single_channel_phase_gat_team_mean_seed11,404,1,2,0.3289,1,True,42.0187,42.1678
raw_single_channel_phase_gat_team_mean_seed11,229,0,1,0.113,1,False,19.4421,14.3051
raw_single_channel_phase_gat_team_mean_seed11,19,0,1,0.2047,1,False,34.4237,15.0264
raw_single_channel_phase_gat_team_mean_seed11,262,1,0,-0.0455,0,False,8.4854,7.7193
raw_single_channel_phase_gat_team_mean_seed11,364,1,0,-0.2592,0,False,34.6717,17.9097
raw_single_channel_phase_gat_team_mean_seed11,160,1,0,-0.1424,0,False,19.4285,18.4064
raw_single_channel_phase_gat_team_mean_seed11,127,2,1,-0.0965,1,False,15.4599,12.9231
raw_single_channel_phase_gat_team_mean_seed11,58,2,1,-0.3774,1,False,37.71,30.4982
raw_single_channel_phase_gat_team_mean_seed11,27,0,1,0.2603,1,False,42.2443,18.5077
raw_single_channel_phase_gat_team_mean_seed11,293,2,1,-0.0595,1,False,10.7173,10.5177
raw_single_channel_phase_gat_team_mean_seed11,332,0,1,0.1289,1,False,17.8515,14.4466
raw_single_channel_phase_gat_team_mean_seed11,217,1,0,-0.0392,0,False,7.3621,6.5813
raw_single_channel_phase_gat_team_mean_seed11,59,2,1,-0.3951,1,False,40.1612,33.0315
raw_single_channel_phase_gat_team_mean_seed11,393,1,2,0.3152,1,True,38.2642,30.5386
raw_single_channel_phase_gat_team_mean_seed11,357,1,0,-0.2688,0,False,35.4058,26.0819
raw_single_channel_phase_gat_team_mean_seed11,313,1,2,0.2873,1,True,37.435,34.4282
raw_single_channel_phase_gat_team_mean_seed11,202,1,2,0.3469,1,True,27.9573,33.5302
raw_single_channel_phase_gat_team_mean_seed11,5,1,0,-0.1003,0,False,18.3009,18.5524
raw_single_channel_phase_gat_team_mean_seed11,372,1,0,-0.2403,0,False,29.5156,23.5997
raw_single_channel_phase_gat_team_mean_seed11,172,1,0,-0.3203,0,False,41.0198,32.7706
raw_single_channel_phase_gat_team_mean_seed11,376,1,0,-0.2605,0,False,27.4336,19.7853
raw_single_channel_phase_gat_team_mean_seed11,342,1,0,-0.1346,0,False,19.2985,14.7399
raw_single_channel_phase_gat_team_mean_seed11,128,2,1,-0.0655,1,False,12.0233,10.4308
raw_single_channel_phase_gat_team_mean_seed11,329,0,1,0.0816,1,False,14.3684,12.8231
raw_single_channel_phase_gat_team_mean_seed11,156,1,0,-0.2702,0,False,39.2481,35.4368
raw_single_channel_phase_gat_team_mean_seed11,223,1,0,-0.0839,0,False,15.354,17.2799
raw_single_channel_phase_gat_team_mean_seed11,227,0,1,0.0505,1,False,10.3984,9.769
raw_single_channel_phase_gat_team_mean_seed11,0,1,2,0.3107,1,True,48.3144,55.9614
raw_single_channel_phase_gat_team_mean_seed11,205,1,2,0.2701,1,True,29.3999,26.6167
raw_single_channel_phase_gat_team_mean_seed11,221,1,0,-0.0746,0,False,15.0065,14.9651
raw_single_channel_phase_gat_team_mean_seed11,387,1,0,-0.3298,1,True,34.5736,31.5235
