model,k,selection,union_coverage,fixed_weight_risk,n_target,scenes_with_any_valid
mlpA_h64f32,1,greedy,0.23046875,0.14108910891089108,256,252
mlpA_h64f32,1,random,0.18359375,0.12807881773399016,256,255
mlpA_h64f32,2,greedy,0.2890625,0.14647577092511013,256,254
mlpA_h64f32,2,random,0.22265625,0.1655982905982906,256,256
mlpA_h64f32,4,greedy,0.3125,0.16987179487179485,256,256
mlpA_h64f32,4,random,0.23828125,0.16447368421052633,256,256
mlpA_h64f32,8,greedy,0.31640625,0.1743691899070385,256,256
mlpA_h64f32,8,random,0.28125,0.16878749531308587,256,256
mlpB_h32f16,1,greedy,0.2265625,0.13861386138613863,256,252
mlpB_h32f16,1,random,0.1875,0.12315270935960591,256,255
mlpB_h32f16,2,greedy,0.3125,0.15418502202643172,256,254
mlpB_h32f16,2,random,0.26171875,0.1581196581196581,256,256
mlpB_h32f16,4,greedy,0.3359375,0.16818488529014844,256,256
mlpB_h32f16,4,random,0.2890625,0.1648110661268556,256,256
mlpB_h32f16,8,greedy,0.3515625,0.17463479415670652,256,256
mlpB_h32f16,8,random,0.328125,0.1644239782527184,256,256
mlpC_h128f32,1,greedy,0.25,0.15346534653465346,256,252
mlpC_h128f32,1,random,0.2265625,0.15763546798029557,256,255
mlpC_h128f32,2,greedy,0.33984375,0.17070484581497797,256,254
mlpC_h128f32,2,random,0.25,0.17307692307692307,256,256
mlpC_h128f32,4,greedy,0.3671875,0.18269230769230768,256,256
mlpC_h128f32,4,random,0.27734375,0.173582995951417,256,256
mlpC_h128f32,8,greedy,0.37109375,0.18715139442231077,256,256
mlpC_h128f32,8,random,0.32421875,0.17927680914885638,256,256
