model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
minimax,coord,0.05,Q_ref,preserving,0.14694736842105258,16625,475.0000000000001
minimax,coord,0.05,Q_ref,flipped,0.7105263157894738,38,1.0857142857142856
minimax,coord,0.05,Q_coherent,preserving,0.14709944751381218,16625,482.6666666666666
minimax,coord,0.05,Q_coherent,flipped,0.7,38,3.333333333333333
minimax,coord,0.05,Q_source_greedy,preserving,0.14636752136752137,16625,468.0
minimax,coord,0.05,Q_source_greedy,flipped,0.6,38,2.5
minimax,coord,0.05,Q_source_dro,preserving,0.14696021283828958,16625,475.0239534337564
minimax,coord,0.05,Q_source_dro,flipped,0.710253559949708,38,1.0860257125146218
minimax,coord,0.05,Q_whitebox,all_valid_arms,0.212890625,1024,512.0
equal,coord,0.05,Q_ref,preserving,0.15428571428571422,16625,475.0000000000001
equal,coord,0.05,Q_ref,flipped,0.7368421052631579,38,1.0857142857142856
equal,coord,0.05,Q_coherent,preserving,0.1546961325966851,16625,482.6666666666666
equal,coord,0.05,Q_coherent,flipped,0.6000000000000001,38,3.333333333333333
equal,coord,0.05,Q_source_greedy,preserving,0.1452991452991453,16625,468.0
equal,coord,0.05,Q_source_greedy,flipped,0.6,38,5.0
equal,coord,0.05,Q_source_dro,preserving,0.1542962831393278,16625,475.0216119064447
equal,coord,0.05,Q_source_dro,flipped,0.7369750562450643,38,1.085228389466042
equal,coord,0.05,Q_whitebox,all_valid_arms,0.232421875,1024,512.0
adv,coord,0.05,Q_ref,preserving,0.13425563909774432,16625,475.0000000000001
adv,coord,0.05,Q_ref,flipped,0.6842105263157896,38,1.0857142857142856
adv,coord,0.05,Q_coherent,preserving,0.13466850828729285,16625,482.6666666666666
adv,coord,0.05,Q_coherent,flipped,0.6000000000000001,38,3.333333333333333
adv,coord,0.05,Q_source_greedy,preserving,0.13183279742765272,16625,466.5
adv,coord,0.05,Q_source_greedy,flipped,0.6,38,2.5
adv,coord,0.05,Q_source_dro,preserving,0.13425949978443766,16625,475.0163581692082
adv,coord,0.05,Q_source_dro,flipped,0.6850514692795608,38,1.085193794011091
adv,coord,0.05,Q_whitebox,all_valid_arms,0.197265625,1024,512.0
clean,coord,0.05,Q_ref,preserving,0.14712781954887214,16625,475.0000000000001
clean,coord,0.05,Q_ref,flipped,0.7105263157894738,38,1.0857142857142856
clean,coord,0.05,Q_coherent,preserving,0.14709944751381218,16625,482.6666666666666
clean,coord,0.05,Q_coherent,flipped,0.7,38,3.333333333333333
clean,coord,0.05,Q_source_greedy,preserving,0.13782051282051283,16625,468.0
clean,coord,0.05,Q_source_greedy,flipped,0.7,38,5.0
clean,coord,0.05,Q_source_dro,preserving,0.14714480060404067,16625,475.0448063988342
clean,coord,0.05,Q_source_dro,flipped,0.7107582327176,38,1.0834079997594173
clean,coord,0.05,Q_whitebox,all_valid_arms,0.212890625,1024,512.0
minimax,coord,0.1,Q_ref,preserving,0.14209793749209157,15806,451.6000000000001
minimax,coord,0.1,Q_ref,flipped,0.5489614243323442,337,9.628571428571428
minimax,coord,0.1,Q_coherent,preserving,0.14981818181818182,15806,458.33333333333326
