scene,orig,new,fam,head_follows,nn1_follows,nn5_follows
2,1,0,single,False,False,False
3,0,1,single,False,False,False
4,0,1,single,False,False,False
7,0,1,random,False,False,False
9,1,0,single,False,False,False
10,1,0,single,False,False,False
11,1,0,random,False,False,False
15,1,0,single,False,False,False
16,1,0,single,False,False,False
20,1,0,single,False,False,False
21,1,0,random,False,False,False
22,0,1,random,True,True,True
23,1,0,single,False,False,False
24,1,0,random,False,False,False
25,1,0,random,False,False,False
27,0,1,single,False,False,False
32,0,1,random,True,True,True
35,1,0,random,False,False,False
40,0,1,single,False,False,False
46,1,0,single,False,False,False
54,0,1,single,False,False,False
56,0,1,single,False,False,False
58,0,1,single,False,False,False
65,1,0,single,False,False,False
67,1,0,single,False,False,False
70,1,0,random,True,True,True
71,1,0,single,False,False,False
72,1,0,random,False,False,False
73,1,0,random,True,True,True
74,0,1,random,True,True,True
75,1,0,single,False,False,False
76,1,0,single,False,False,False
80,0,1,single,False,False,False
81,1,0,random,False,False,False
82,0,1,single,False,False,False
83,1,0,single,False,False,False
85,1,0,single,False,False,False
88,1,0,random,False,False,False
89,1,0,single,False,False,False
91,1,0,single,False,False,False
94,0,1,single,False,False,False
95,1,0,single,False,False,False
96,0,1,random,True,True,True
98,1,0,single,False,False,False
100,1,0,single,False,False,False
109,1,0,random,False,False,False
110,1,0,single,False,False,False
111,1,0,single,False,False,False
112,1,0,single,False,False,False
113,1,0,random,True,True,True
114,0,1,single,False,False,False
115,1,0,random,False,False,False
116,1,0,single,False,False,False
117,1,0,random,False,False,False
118,1,0,random,False,False,False
119,1,0,single,False,False,False
120,0,1,random,True,True,True
123,1,0,single,False,False,False
125,1,0,random,False,False,False
126,1,0,random,True,True,True
127,0,1,single,False,False,False
128,0,1,single,False,False,False
129,1,0,single,False,False,False
134,1,0,single,False,False,False
135,0,1,random,True,True,True
136,1,0,single,False,False,False
139,1,0,single,False,False,False
140,1,0,single,False,False,False
142,1,0,single,False,False,False
143,1,0,single,False,False,False
146,0,1,single,False,False,False
147,1,0,random,False,False,False
148,1,0,random,False,False,False
150,1,0,single,False,False,False
153,1,0,single,False,False,False
154,0,1,random,False,False,False
156,1,0,single,False,False,False
157,0,1,random,True,True,True
167,0,1,single,False,False,False
168,1,0,random,False,False,False
169,1,0,single,False,False,False
171,1,0,single,False,False,False
177,1,0,single,False,False,False
178,1,0,single,False,False,False
181,0,1,random,False,False,False
192,1,0,random,False,False,False
193,1,0,random,True,True,True
196,1,0,single,False,False,False
200,1,0,single,True,True,True
202,1,0,random,False,False,False
203,1,0,single,False,False,False
204,1,0,single,False,False,False
205,1,0,single,False,False,False
207,1,0,single,False,False,False
213,1,0,single,False,False,False
221,1,0,random,False,False,False
222,1,0,single,False,False,False
224,1,0,single,False,False,False
227,1,0,random,False,False,False
228,1,0,random,False,False,False
229,1,0,single,False,False,False
230,1,0,single,False,False,False
231,1,0,random,False,False,False
232,1,0,random,True,True,True
233,0,1,random,False,False,False
236,1,0,single,False,False,False
237,1,0,single,False,False,False
238,0,1,single,False,False,False
240,1,0,random,False,False,False
243,1,0,single,False,False,False
244,0,1,random,True,True,True
245,0,1,single,False,False,False
249,1,0,single,False,False,False
250,0,1,single,False,False,False
252,1,0,random,True,True,True
