scene,orig,new,fam,head_follows,nn1_follows,nn5_follows
1,1,0,random,False,False,False
8,0,1,single,True,True,True
10,1,0,random,False,False,False
15,1,0,single,False,False,False
16,1,0,single,True,True,True
19,0,1,single,True,True,True
20,1,0,single,False,False,False
24,1,0,single,False,False,False
27,0,1,single,True,True,True
29,0,1,single,True,True,True
30,1,0,random,False,False,False
31,1,0,random,True,True,True
32,1,0,random,False,False,False
33,1,0,random,False,False,False
34,1,0,single,False,False,False
35,1,0,single,False,False,False
36,1,0,random,True,True,True
38,1,0,single,True,True,True
39,0,1,random,True,True,True
40,1,0,random,False,False,False
42,1,0,single,True,True,True
44,0,1,single,False,False,False
45,1,0,single,False,False,False
46,1,0,single,False,False,False
47,1,0,single,False,False,False
48,1,0,random,True,True,True
49,1,0,single,False,False,False
51,0,1,random,True,True,True
52,1,0,single,False,False,False
53,0,1,single,True,True,True
54,0,1,random,True,True,True
55,0,1,single,True,True,True
57,1,0,random,False,False,False
59,0,1,random,True,True,True
60,1,0,single,False,False,False
62,1,0,random,True,True,True
63,1,0,random,False,False,False
66,1,0,single,True,True,True
69,1,0,single,False,False,False
70,1,0,single,True,True,True
73,1,0,random,True,True,True
74,0,1,single,False,False,False
76,1,0,single,False,False,False
79,1,0,random,True,True,True
80,0,1,single,True,True,True
83,1,0,single,False,False,False
84,1,0,single,False,False,False
86,1,0,single,False,False,False
87,1,0,single,False,False,False
90,1,0,single,True,True,True
95,0,1,single,True,True,True
97,1,0,single,False,False,False
98,1,0,single,False,False,False
100,1,0,random,False,False,False
101,1,0,single,False,False,False
103,0,1,random,False,False,False
104,1,0,single,True,True,True
106,0,1,random,True,True,True
107,1,0,single,True,True,True
108,1,0,single,False,False,False
110,0,1,random,True,True,True
112,1,0,single,True,True,True
113,1,0,random,False,False,False
114,1,0,single,True,True,True
116,0,1,single,True,True,True
119,1,0,single,False,False,False
120,1,0,single,True,True,True
124,1,0,single,False,False,False
128,1,0,single,False,False,False
129,1,0,single,False,False,False
131,1,0,single,False,False,False
133,1,0,single,False,False,False
136,1,0,random,False,False,False
140,1,0,single,False,False,False
141,1,0,single,True,True,True
143,1,0,random,True,True,True
144,1,0,single,False,False,False
146,0,1,single,True,True,True
152,1,0,random,False,False,False
154,1,0,random,True,True,True
156,1,0,random,True,True,True
158,1,0,random,True,True,True
162,0,1,random,True,True,True
163,1,0,random,False,False,False
164,1,0,single,False,False,False
166,0,1,single,False,False,False
169,1,0,single,True,True,True
171,1,0,random,False,False,False
174,1,0,single,True,True,True
175,1,0,single,True,True,True
177,1,0,random,True,True,True
178,0,1,random,False,False,False
181,1,0,single,False,False,False
187,0,1,single,True,True,True
188,1,0,random,False,False,False
189,1,0,random,False,False,False
190,0,1,single,False,False,False
199,1,0,single,False,False,False
201,1,0,pair,False,False,False
202,0,1,random,False,False,False
205,0,1,single,False,False,False
206,1,0,single,False,False,False
207,1,0,single,False,False,False
209,1,0,random,False,False,False
211,0,1,random,True,True,True
213,1,0,pair,False,False,False
219,0,1,single,True,True,True
221,0,1,single,True,True,True
227,1,0,random,False,False,False
228,1,0,random,False,False,False
229,1,0,random,True,True,True
230,1,0,single,False,False,False
233,1,0,single,True,True,True
235,0,1,single,False,False,False
237,1,0,single,False,False,False
244,1,0,single,False,False,False
246,0,1,random,False,False,False
247,0,1,random,True,True,True
249,1,0,single,True,True,True
250,1,0,single,True,True,True
251,1,0,single,True,True,True
255,1,0,single,False,False,False
