scene,orig,new,fam,margin,d_self,d_new,d_old,d_any,miss
1,1,0,random,0.0383,0.32,0.8963,0.5186,0.5186,True
8,0,1,single,0.0496,0.16,0.6828,0.9354,0.6828,False
10,1,0,random,0.1014,0.32,0.6836,0.8406,0.6836,True
15,1,0,single,0.0323,0.1,0.7571,0.6154,0.6154,True
16,1,0,single,0.0749,0.16,0.8372,0.7548,0.7548,False
19,0,1,single,0.0679,0.1,0.5074,1.06,0.5074,False
20,1,0,single,0.0339,0.16,0.8184,0.6028,0.6028,True
24,1,0,single,0.0976,0.16,0.9127,0.7747,0.7747,True
27,0,1,single,0.0538,0.16,0.5775,0.8036,0.5775,False
29,0,1,single,0.0309,0.16,0.7729,0.6886,0.6886,False
30,1,0,random,0.054,0.32,0.8929,0.6952,0.6952,True
31,1,0,random,0.0983,0.32,0.5717,0.6957,0.5717,False
32,1,0,random,0.0304,0.2,0.7043,0.6977,0.6977,True
33,1,0,random,0.0371,0.32,0.7516,0.6119,0.6119,True
34,1,0,single,0.0556,0.16,0.6763,0.6089,0.6089,True
35,1,0,single,0.0643,0.1,0.8831,0.7899,0.7899,True
36,1,0,random,0.052,0.32,0.6032,0.652,0.6032,False
38,1,0,single,0.048,0.16,0.7221,0.6768,0.6768,False
39,0,1,random,0.1817,0.32,0.4044,0.5057,0.4044,False
40,1,0,random,0.0523,0.32,0.8194,0.7346,0.7346,True
42,1,0,single,0.0593,0.16,0.6483,0.6618,0.6483,False
44,0,1,single,0.0341,0.1,0.7109,0.9648,0.7109,True
45,1,0,single,0.0746,0.16,0.7839,0.6282,0.6282,True
46,1,0,single,0.0352,0.16,0.4696,0.9469,0.4696,True
47,1,0,single,0.0341,0.1,0.7447,0.4969,0.4969,True
48,1,0,random,0.0427,0.32,0.7698,0.6211,0.6211,False
49,1,0,single,0.036,0.06,0.895,0.7714,0.7714,True
51,0,1,random,0.0714,0.32,0.7329,0.8297,0.7329,False
52,1,0,single,0.0785,0.16,0.9766,0.6118,0.6118,True
53,0,1,single,0.0338,0.1,0.8565,0.6843,0.6843,False
54,0,1,random,0.0353,0.32,0.7498,0.7237,0.7237,False
55,0,1,single,0.0391,0.1,0.66,0.8564,0.66,False
57,1,0,random,0.0341,0.32,0.7747,0.7833,0.7747,True
59,0,1,random,0.0786,0.32,0.7077,0.7405,0.7077,False
60,1,0,single,0.0417,0.06,0.8929,0.8282,0.8282,True
62,1,0,random,0.0388,0.32,0.9205,0.7937,0.7937,False
63,1,0,random,0.0776,0.32,0.5363,0.632,0.5363,True
66,1,0,single,0.0341,0.1,0.7966,0.8952,0.7966,False
69,1,0,single,0.0318,0.16,0.526,0.4616,0.4616,True
70,1,0,single,0.0698,0.16,0.9369,0.7108,0.7108,False
73,1,0,random,0.0924,0.32,1.0322,0.9047,0.9047,False
74,0,1,single,0.0388,0.1,0.7229,0.8366,0.7229,True
76,1,0,single,0.0422,0.1,0.7833,0.7803,0.7803,True
79,1,0,random,0.1303,0.32,0.7829,0.6181,0.6181,False
80,0,1,single,0.0634,0.16,0.6449,0.8995,0.6449,False
83,1,0,single,0.0493,0.1,0.9971,0.7226,0.7226,True
84,1,0,single,0.0421,0.16,0.912,0.5121,0.5121,True
86,1,0,single,0.0491,0.16,0.896,0.6808,0.6808,True
87,1,0,single,0.0373,0.16,0.7907,0.5852,0.5852,True
90,1,0,single,0.0539,0.1,0.6661,0.9139,0.6661,False
95,0,1,single,0.0303,0.06,0.4082,0.8219,0.4082,False
97,1,0,single,0.0319,0.1,0.7652,0.8431,0.7652,True
98,1,0,single,0.0558,0.16,0.5584,0.7812,0.5584,True
100,1,0,random,0.0629,0.32,0.8347,0.7245,0.7245,True
101,1,0,single,0.0346,0.16,0.6883,0.3894,0.3894,True
103,0,1,random,0.042,0.32,0.6981,0.7887,0.6981,True
104,1,0,single,0.0411,0.06,0.9508,1.0977,0.9508,False
106,0,1,random,0.0982,0.32,0.697,0.8142,0.697,False
107,1,0,single,0.0338,0.16,0.4224,0.423,0.4224,False
108,1,0,single,0.053,0.06,0.7427,0.5003,0.5003,True
110,0,1,random,0.0425,0.32,0.4908,0.9938,0.4908,False
112,1,0,single,0.0487,0.16,0.9345,0.5742,0.5742,False
113,1,0,random,0.0756,0.32,0.9273,0.6331,0.6331,True
114,1,0,single,0.034,0.16,0.6083,0.509,0.509,False
116,0,1,single,0.0395,0.16,0.4074,0.5188,0.4074,False
119,1,0,single,0.0333,0.16,0.7013,0.3891,0.3891,True
120,1,0,single,0.0336,0.1,0.7535,0.5896,0.5896,False
124,1,0,single,0.0329,0.16,0.8712,0.7694,0.7694,True
128,1,0,single,0.0411,0.16,0.5857,0.6975,0.5857,True
129,1,0,single,0.0322,0.16,0.6063,0.4987,0.4987,True
131,1,0,single,0.0353,0.06,0.7449,0.7917,0.7449,True
133,1,0,single,0.0392,0.16,0.7332,0.6788,0.6788,True
136,1,0,random,0.126,0.32,1.0486,0.9176,0.9176,True
140,1,0,single,0.0394,0.06,0.8175,0.7609,0.7609,True
141,1,0,single,0.0376,0.16,1.0365,0.8567,0.8567,False
143,1,0,random,0.0536,0.32,0.72,0.8672,0.72,False
144,1,0,single,0.0351,0.1,0.7848,0.8091,0.7848,True
146,0,1,single,0.0677,0.16,0.804,1.1511,0.804,False
152,1,0,random,0.0366,0.2,0.8438,0.7082,0.7082,True
154,1,0,random,0.0745,0.32,0.84,0.6862,0.6862,False
156,1,0,random,0.055,0.32,0.6472,0.6007,0.6007,False
158,1,0,random,0.082,0.32,0.6688,0.7365,0.6688,False
162,0,1,random,0.0667,0.32,0.6107,0.7794,0.6107,False
163,1,0,random,0.0434,0.2,0.6537,0.6747,0.6537,True
164,1,0,single,0.0308,0.1,0.879,0.8488,0.8488,True
166,0,1,single,0.0304,0.1,0.6188,0.5299,0.5299,True
169,1,0,single,0.03,0.1,0.5898,0.5705,0.5705,False
171,1,0,random,0.0513,0.2,0.559,0.6411,0.559,True
174,1,0,single,0.0795,0.16,0.7425,0.6781,0.6781,False
175,1,0,single,0.0659,0.16,0.8272,0.7487,0.7487,False
177,1,0,random,0.0649,0.32,0.804,0.9173,0.804,False
178,0,1,random,0.0784,0.32,0.8455,0.986,0.8455,True
181,1,0,single,0.0361,0.06,0.8823,0.7633,0.7633,True
187,0,1,single,0.0407,0.16,0.7113,0.8014,0.7113,False
188,1,0,random,0.0684,0.32,0.9099,0.5393,0.5393,True
189,1,0,random,0.0514,0.32,0.8003,0.6764,0.6764,True
190,0,1,single,0.0742,0.16,0.8191,0.6536,0.6536,True
199,1,0,single,0.0517,0.16,0.8106,0.712,0.712,True
201,1,0,pair,0.0361,0.16,0.7394,0.7561,0.7394,True
202,0,1,random,0.0304,0.32,1.0157,0.9632,0.9632,True
205,0,1,single,0.0586,0.16,0.9746,0.813,0.813,True
206,1,0,single,0.0463,0.16,0.7128,0.3915,0.3915,True
207,1,0,single,0.0762,0.16,0.8429,0.8964,0.8429,True
209,1,0,random,0.0532,0.32,0.8585,0.416,0.416,True
211,0,1,random,0.054,0.32,0.6545,1.0564,0.6545,False
213,1,0,pair,0.0304,0.16,0.7828,0.5945,0.5945,True
219,0,1,single,0.0519,0.16,0.6789,0.9075,0.6789,False
221,0,1,single,0.0482,0.1,0.9595,0.8753,0.8753,False
227,1,0,random,0.0904,0.32,0.6415,0.5495,0.5495,True
