arm,seed,stratum,parent,n_rows,J,atomic_joint,acc_state1,acc_state2,acc_state3,joint_n,atom_n
A_standard_pretrained_flip,803,all,3,3,1.0,1.0,1.0,1.0,1.0,3,3
A_standard_pretrained_flip,803,all,4,4,1.0,1.0,1.0,1.0,1.0,4,4
A_standard_pretrained_flip,803,all,15,3,1.0,1.0,1.0,1.0,1.0,3,3
A_standard_pretrained_flip,803,all,28,4,0.25,0.25,1.0,0.25,1.0,1,1
A_standard_pretrained_flip,803,all,32,1,0.0,0.0,1.0,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,33,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,39,2,1.0,1.0,1.0,1.0,1.0,2,2
A_standard_pretrained_flip,803,all,41,3,0.333333,1.0,1.0,1.0,0.333333,1,3
A_standard_pretrained_flip,803,all,45,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,48,2,0.0,0.0,0.0,0.5,0.5,0,0
A_standard_pretrained_flip,803,all,50,3,1.0,1.0,1.0,1.0,1.0,3,3
A_standard_pretrained_flip,803,all,65,4,0.75,1.0,1.0,1.0,0.75,3,4
A_standard_pretrained_flip,803,all,71,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,75,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,83,3,0.333333,0.333333,0.333333,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,90,3,1.0,1.0,1.0,1.0,1.0,3,3
A_standard_pretrained_flip,803,all,91,3,0.0,0.0,0.666667,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,95,3,0.333333,1.0,1.0,1.0,0.333333,1,3
A_standard_pretrained_flip,803,all,106,1,0.0,0.0,1.0,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,121,1,0.0,0.0,0.0,1.0,0.0,0,0
A_standard_pretrained_flip,803,all,132,4,0.25,1.0,1.0,1.0,0.25,1,4
A_standard_pretrained_flip,803,all,133,4,1.0,1.0,1.0,1.0,1.0,4,4
A_standard_pretrained_flip,803,all,134,4,1.0,1.0,1.0,1.0,1.0,4,4
A_standard_pretrained_flip,803,all,135,3,1.0,1.0,1.0,1.0,1.0,3,3
A_standard_pretrained_flip,803,all,147,3,1.0,1.0,1.0,1.0,1.0,3,3
A_standard_pretrained_flip,803,all,157,1,0.0,0.0,1.0,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,162,4,0.25,0.25,0.5,0.75,1.0,1,1
A_standard_pretrained_flip,803,all,169,3,0.0,1.0,1.0,1.0,0.0,0,3
A_standard_pretrained_flip,803,all,171,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,172,4,1.0,1.0,1.0,1.0,1.0,4,4
A_standard_pretrained_flip,803,all,184,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,187,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,188,2,0.5,1.0,1.0,1.0,0.5,1,2
A_standard_pretrained_flip,803,all,194,1,0.0,0.0,0.0,1.0,1.0,0,0
A_standard_pretrained_flip,803,all,197,1,0.0,0.0,0.0,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,201,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,205,3,0.666667,1.0,1.0,1.0,0.666667,2,3
A_standard_pretrained_flip,803,all,206,3,0.333333,0.333333,1.0,0.333333,1.0,1,1
A_standard_pretrained_flip,803,all,221,1,0.0,0.0,0.0,1.0,0.0,0,0
A_standard_pretrained_flip,803,all,228,3,1.0,1.0,1.0,1.0,1.0,3,3
A_standard_pretrained_flip,803,all,230,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,237,2,1.0,1.0,1.0,1.0,1.0,2,2
A_standard_pretrained_flip,803,all,243,2,0.0,0.0,0.5,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,248,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,260,1,0.0,0.0,0.0,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,262,1,0.0,0.0,1.0,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,264,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,265,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,273,1,0.0,0.0,0.0,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,276,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,278,1,0.0,0.0,0.0,1.0,1.0,0,0
A_standard_pretrained_flip,803,all,290,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,292,4,0.25,0.5,0.75,0.75,0.75,1,2
A_standard_pretrained_flip,803,all,298,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,305,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,309,4,1.0,1.0,1.0,1.0,1.0,4,4
A_standard_pretrained_flip,803,all,310,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,327,3,0.666667,1.0,1.0,1.0,0.666667,2,3
A_standard_pretrained_flip,803,all,336,2,0.0,0.0,0.5,0.5,1.0,0,0
A_standard_pretrained_flip,803,all,344,3,0.0,0.0,0.333333,0.333333,1.0,0,0
A_standard_pretrained_flip,803,all,355,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,365,2,0.5,1.0,1.0,1.0,0.5,1,2
A_standard_pretrained_flip,803,all,375,1,1.0,1.0,1.0,1.0,1.0,1,1
A_standard_pretrained_flip,803,all,377,1,0.0,1.0,1.0,1.0,0.0,0,1
A_standard_pretrained_flip,803,all,380,3,0.0,0.0,0.666667,0.0,1.0,0,0
A_standard_pretrained_flip,803,all,399,3,0.0,0.0,0.0,1.0,1.0,0,0
A_standard_pretrained_flip,803,all,401,4,0.75,1.0,1.0,1.0,0.75,3,4
A_standard_pretrained_flip,803,all,408,2,0.5,1.0,1.0,1.0,0.5,1,2
