contrast,family,quantity,stratum,seed,parent,n_rows,delta_parent_mean
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,3,3,-0.666667
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,4,4,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,15,3,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,28,4,0.25
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,32,1,1.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,33,1,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,39,2,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,41,3,0.333333
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,45,1,1.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,48,2,0.5
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,50,3,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,65,4,0.25
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,71,1,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,75,1,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,83,3,0.666667
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,90,3,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,91,3,1.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,95,3,0.666667
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,106,1,1.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,121,1,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,132,4,0.75
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,133,4,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,134,4,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,135,3,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,147,3,0.0
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,157,1,1.0
