contrast,family,quantity,stratum,seed,n_rows,n_parents,value_row,value_parent,ci_lo,ci_hi,boot,terms
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,803,178,85,0.370787,0.379412,0.282328,0.478431,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,805,178,85,0.353933,0.342157,0.240196,0.440221,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,806,178,85,0.280899,0.29902,0.176446,0.423529,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,all,cross_seed_mean,178,85,0.335206,0.340196,0.25817,0.423211,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,all,803,178,85,0.224719,0.219608,0.123505,0.319608,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,all,805,178,85,0.275281,0.271569,0.176471,0.373554,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,all,806,178,85,0.264045,0.238235,0.134314,0.340221,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,all,cross_seed_mean,178,85,0.254682,0.243137,0.15817,0.329085,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,all,803,178,85,0.02809,0.023529,0.0,0.058824,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,all,805,178,85,0.0,0.0,0.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,all,806,178,85,0.022472,0.023529,0.0,0.058824,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,all,cross_seed_mean,178,85,0.016854,0.015686,0.003922,0.031373,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,all,803,178,85,0.123596,0.12549,0.04902,0.205882,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,all,805,178,85,0.174157,0.177451,0.095098,0.263725,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,all,806,178,85,0.168539,0.164706,0.076471,0.257843,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,all,cross_seed_mean,178,85,0.155431,0.155882,0.084641,0.232353,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,all,803,178,85,0.157303,0.167647,0.097059,0.244142,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,all,805,178,85,0.174157,0.160784,0.092157,0.237255,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
