contrast,seed,stratum,n_rows,baseline110_n,full_repair_n,migration_n,baseline111_n,regression111_n
B_standard_pretrained_flip minus A_standard_pretrained_flip,803,all,178,36,29,1,126,4
B_standard_pretrained_flip minus A_standard_pretrained_flip,805,all,178,32,21,2,121,2
B_standard_pretrained_flip minus A_standard_pretrained_flip,806,all,178,31,23,2,117,7
B_standard_pretrained_flip minus A_standard_pretrained_flip,803,small_edit,5,1,1,0,3,0
B_standard_pretrained_flip minus A_standard_pretrained_flip,805,small_edit,5,1,1,0,3,0
B_standard_pretrained_flip minus A_standard_pretrained_flip,806,small_edit,5,0,0,0,3,0
B_standard_pretrained_flip minus A_standard_pretrained_flip,803,other_edit,173,35,28,1,123,4
B_standard_pretrained_flip minus A_standard_pretrained_flip,805,other_edit,173,31,20,2,118,2
B_standard_pretrained_flip minus A_standard_pretrained_flip,806,other_edit,173,31,23,2,114,7
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,803,all,178,29,23,0,153,2
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,805,all,178,17,13,0,144,0
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,806,all,178,23,15,3,142,5
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,803,small_edit,5,1,1,0,5,0
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,805,small_edit,5,0,0,0,3,0
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,806,small_edit,5,0,0,0,4,0
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,803,other_edit,173,28,22,0,148,2
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,805,other_edit,173,17,13,0,141,0
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,806,other_edit,173,23,15,3,138,5
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,803,all,178,36,19,1,126,2
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,805,all,178,32,18,2,121,7
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,806,all,178,31,18,2,117,12
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,803,small_edit,5,1,1,0,3,0
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,805,small_edit,5,1,1,0,3,0
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,806,small_edit,5,0,0,0,3,0
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,803,other_edit,173,35,18,1,123,2
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,805,other_edit,173,31,17,2,118,7
A_lowstride_pretrained_flip minus A_standard_pretrained_flip,806,other_edit,173,31,18,2,114,12
B_lowstride_pretrained_flip minus B_standard_pretrained_flip,803,all,178,10,4,1,166,1
B_lowstride_pretrained_flip minus B_standard_pretrained_flip,805,all,178,18,12,0,170,0
B_lowstride_pretrained_flip minus B_standard_pretrained_flip,806,all,178,28,19,1,164,4
