arm,seed,observation,stem,init,supervision,n,P_state0,A_state1,B_state2,AB_state3,atomic_joint,J,CCM_denom,CCM,best_epoch,dev_BCE_selected,train_BCE_last_epoch,checkpoint_sha256,static_single_acc,flip_single_acc,train_updates,train_exposure_count,training_seconds,selected_by,posrate_state0,auc_state0,posrate_state1,auc_state1,posrate_state2,auc_state2,posrate_state3,auc_state3,degenerate_states
A_standard_pretrained_flip,803,A,standard,pretrained,flip,178,0.97191,0.825843,0.814607,0.775281,0.707865,0.505618,126,0.714286,16,0.085008,0.000174,6c65764568ea279b02745082b7a459029beb34fa0602f395cfd4404e8aa07643,0.985352,0.964333,1760,56120,45.783,single-dev BCE only,0.814607,0.999286,0.691011,0.929048,0.691011,0.953333,0.224719,0.708571,
A_standard_pretrained_flip,805,A,standard,pretrained,flip,178,1.0,0.792135,0.803371,0.792135,0.679775,0.5,121,0.735537,17,0.107391,0.000611,ad7f257929c82199058663589032ad345255865d60e8d1f2476e41e2c1e20e60,0.98877,0.955086,1760,56120,37.509,single-dev BCE only,0.842697,1.0,0.691011,0.875714,0.679775,0.931429,0.241573,0.739048,
A_standard_pretrained_flip,806,A,standard,pretrained,flip,178,0.977528,0.775281,0.780899,0.808989,0.657303,0.483146,117,0.735043,3,0.085825,8.5e-05,0fbed6bb9549d4e7295285cc0a45c96946cf19c76848095849f9ab7ee2ff3b36,0.978027,0.931308,1760,56120,43.783,single-dev BCE only,0.853933,0.997619,0.674157,0.901905,0.657303,0.932143,0.202247,0.816429,
A_standard_random_flip,803,A,standard,random,flip,178,0.983146,0.848315,0.870787,0.814607,0.786517,0.617978,140,0.785714,17,0.114766,0.000246,b652d80412a4678a4e3a26e1ae6a674e3da24b22f7e2376be40a078447b9c9c5,0.981934,0.96037,1760,56120,44.169,single-dev BCE only,0.825843,0.999286,0.702247,0.932381,0.735955,0.940714,0.185393,0.72881,
A_standard_random_flip,805,A,standard,random,flip,178,0.994382,0.820225,0.865169,0.808989,0.741573,0.573034,132,0.772727,13,0.150191,0.009948,0bba96f040924b7946d368806083029735a0e1b41055924a8b4027b1dda09709,0.984375,0.955086,1760,56120,43.059,single-dev BCE only,0.848315,0.999762,0.685393,0.921667,0.764045,0.933571,0.213483,0.688333,
A_standard_random_flip,806,A,standard,random,flip,178,1.0,0.797753,0.865169,0.803371,0.724719,0.550562,129,0.75969,20,0.151141,0.000953,b9e34f849b3f4f905057bd35a991ef1128a066727ef92934f875d2f4b54ca80f,0.992676,0.963012,1760,56120,44.615,single-dev BCE only,0.842697,1.0,0.674157,0.904762,0.752809,0.924048,0.196629,0.786905,
A_lowstride_pretrained_flip,803,A,lowstride,pretrained,flip,178,1.0,0.910112,0.932584,0.825843,0.859551,0.696629,153,0.810458,14,0.035557,0.000123,b97c733694226e156f1f7080796c37dd88216292145dc19cfa06392e161361eb,0.997559,0.993395,1760,56120,43.613,single-dev BCE only,0.842697,1.0,0.764045,0.98,0.797753,0.974048,0.219101,0.88119,
A_lowstride_pretrained_flip,805,A,lowstride,pretrained,flip,178,1.0,0.865169,0.910112,0.893258,0.808989,0.713483,144,0.881944,19,0.035124,0.000152,850b2718a004a446826fa63d828a546186ddda0ea543a03ddfcb5fbdb9c4c512,0.998535,0.994716,1760,56120,44.58,single-dev BCE only,0.842697,1.0,0.752809,0.962143,0.764045,0.980238,0.162921,0.893571,
A_lowstride_pretrained_flip,806,A,lowstride,pretrained,flip,178,1.0,0.88764,0.882022,0.865169,0.797753,0.668539,142,0.838028,12,0.032399,7.2e-05,84c4824b09ca76e27b798790d5640085d6fd1314e2323112131f8fbe62ef07b3,0.999512,0.996037,1760,56120,43.509,single-dev BCE only,0.842697,1.0,0.741573,0.967381,0.747191,0.976429,0.179775,0.835,
A_lowstride_random_flip,803,A,lowstride,random,flip,178,1.0,0.859551,0.865169,0.797753,0.780899,0.58427,139,0.748201,17,0.098325,0.000274,d5b8be213c3c1addd4421ef4cebcc0b96c476dfef4d2083b43682e257de959c5,0.993164,0.970938,1760,56120,44.774,single-dev BCE only,0.842697,1.0,0.724719,0.934286,0.741573,0.960952,0.202247,0.806429,
A_lowstride_random_flip,805,A,lowstride,random,flip,178,0.966292,0.842697,0.865169,0.831461,0.780899,0.623596,139,0.798561,15,0.1113,0.020573,ee3fb80b4c43255dec3bc42de0bf71b173b78f1862427f616474a3cd116e583b,0.976074,0.959049,1760,56120,43.9,single-dev BCE only,0.808989,0.999048,0.696629,0.925952,0.730337,0.933095,0.168539,0.762619,
A_lowstride_random_flip,806,A,lowstride,random,flip,178,0.994382,0.825843,0.910112,0.797753,0.775281,0.58427,138,0.753623,18,0.117925,0.002401,7b6dc1cdf308b601a414f5299a3552ff7880374be343c1f83a8ad9ea8d9517ee,0.993652,0.974901,1760,56120,43.964,single-dev BCE only,0.837079,1.0,0.679775,0.957857,0.775281,0.956429,0.202247,0.792381,
B_standard_pretrained_flip,803,B,standard,pretrained,flip,178,1.0,0.949438,0.97191,0.94382,0.932584,0.876404,166,0.939759,19,0.000111,9.5e-05,80ebe35c50e1d8ac9ca62362a23f0ec591c440845614d0b04c214fd4951bfd01,1.0,1.0,1760,56120,68.22,single-dev BCE only,0.842697,1.0,0.814607,0.972381,0.825843,0.99,0.157303,0.954048,
B_standard_pretrained_flip,805,B,standard,pretrained,flip,178,1.0,0.966292,0.977528,0.898876,0.955056,0.853933,170,0.894118,11,0.000881,4.8e-05,9e9a49079847a130c14d64ef22beca64555b00e0d35e5630f979bfc377d018ac,1.0,1.0,1760,56120,67.987,single-dev BCE only,0.842697,1.0,0.808989,0.989762,0.820225,0.996667,0.213483,0.972857,
B_standard_pretrained_flip,806,B,standard,pretrained,flip,178,1.0,0.94382,0.960674,0.842697,0.921348,0.764045,164,0.829268,6,0.012323,4.5e-05,99d224d4ec4e46ad44180bd81ea4f8483af1d7d041f2719bf4f17358b1c9c951,1.0,0.998679,1760,56120,68.017,single-dev BCE only,0.842697,1.0,0.831461,0.975952,0.837079,0.99381,0.292135,0.93619,
B_standard_random_flip,803,B,standard,random,flip,178,1.0,0.938202,0.960674,0.904494,0.91573,0.837079,163,0.91411,19,0.016513,0.000797,3eea362eed3cd42ee5e548484f40e6c96fbb2061b18e3f78df17bc3e2d3d4042,1.0,1.0,1760,56120,68.078,single-dev BCE only,0.842697,1.0,0.792135,0.981667,0.803371,0.985238,0.185393,0.914762,
B_standard_random_flip,805,B,standard,random,flip,178,1.0,0.960674,0.960674,0.949438,0.932584,0.88764,166,0.951807,11,0.005751,0.00015,658a7cd0b2a268016a06e22223f60d121f738b37a0fe7a6de80a733e4f9da478,1.0,0.998679,1760,56120,67.934,single-dev BCE only,0.842697,1.0,0.814607,0.981429,0.803371,0.986429,0.185393,0.957619,
B_standard_random_flip,806,B,standard,random,flip,178,1.0,0.949438,0.97191,0.932584,0.932584,0.870787,166,0.933735,19,0.015224,0.000116,53a72adaab89e646fa971d7f672c3b5b913efa55512d6e110bf38df0145553b5,1.0,1.0,1760,56120,68.354,single-dev BCE only,0.842697,1.0,0.814607,0.986667,0.814607,0.994048,0.168539,0.943095,
B_lowstride_pretrained_flip,803,B,lowstride,pretrained,flip,178,1.0,0.966292,0.988764,0.949438,0.960674,0.910112,171,0.947368,6,0.002287,8.1e-05,bbb18ab6e54289ff4ffaa7611e8bad21f0a08d5aebb1087898fd7f51aa3d76b5,1.0,1.0,1760,56120,203.578,single-dev BCE only,0.842697,1.0,0.831461,0.994762,0.831461,0.999286,0.196629,0.958333,
B_lowstride_pretrained_flip,805,B,lowstride,pretrained,flip,178,1.0,0.977528,0.988764,0.966292,0.97191,0.938202,173,0.965318,19,0.000286,8.4e-05,98e6762aff1acbe07f950b85844a9651a0bc060910319e795e1abf55d3992273,1.0,1.0,1760,56120,203.818,single-dev BCE only,0.842697,1.0,0.820225,0.995714,0.831461,0.999286,0.179775,0.985952,
B_lowstride_pretrained_flip,806,B,lowstride,pretrained,flip,178,1.0,0.955056,0.955056,0.955056,0.91573,0.870787,163,0.95092,7,0.008098,9.1e-05,13c61908c6c5e14b1f0f85eabb67db5827125229410d20a3bc72aebaeccef33c,0.997559,0.997358,1760,56120,203.679,single-dev BCE only,0.842697,1.0,0.808989,0.987381,0.842697,0.990952,0.191011,0.984286,
B_lowstride_random_flip,803,B,lowstride,random,flip,178,1.0,0.97191,0.977528,0.960674,0.960674,0.921348,171,0.959064,20,0.000583,0.000469,d8a5c7002479e79d8176b5e0b77703aadf2fd9077d3498f8f517d2eec5b9b704,1.0,1.0,1760,56120,203.584,single-dev BCE only,0.842697,1.0,0.814607,0.98119,0.820225,0.987857,0.151685,0.965952,
B_lowstride_random_flip,805,B,lowstride,random,flip,178,1.0,0.960674,0.977528,0.949438,0.949438,0.898876,169,0.946746,15,0.003143,0.000135,20f45df1159f69ede30d1575174652f368bc30c33c87a995787ea0933dd64629,1.0,1.0,1760,56120,203.653,single-dev BCE only,0.842697,1.0,0.803371,0.989524,0.820225,0.989524,0.140449,0.954048,
B_lowstride_random_flip,806,B,lowstride,random,flip,178,1.0,0.966292,0.977528,0.960674,0.955056,0.91573,170,0.958824,16,0.000988,0.000187,e7541bd27bbb03c691f37449c137f5746749072ac64720ec59caf54b51022056,1.0,1.0,1760,56120,203.891,single-dev BCE only,0.842697,1.0,0.808989,0.987619,0.820225,0.992143,0.162921,0.977381,
C_standard_pretrained_flip,803,C,standard,pretrained,flip,178,1.0,0.960674,0.97191,0.94382,0.94382,0.88764,168,0.940476,17,0.004725,4.9e-05,c947887595cb6a4bb5b7ddc35b5a8a2d3be3d9bcdb2c54e5a2c520ccc29b841e,1.0,1.0,1760,56120,102.318,single-dev BCE only,0.842697,1.0,0.825843,0.987143,0.825843,0.989286,0.191011,0.968333,
C_standard_pretrained_flip,805,C,standard,pretrained,flip,178,1.0,0.960674,0.977528,0.870787,0.949438,0.820225,169,0.863905,4,0.011393,4.8e-05,6112b196b58462a184621b847f55c877fb95e061b347180dfb7adeaa96c4554b,1.0,0.994716,1760,56120,89.031,single-dev BCE only,0.842697,1.0,0.814607,0.982619,0.820225,0.987143,0.264045,0.956905,
C_standard_pretrained_flip,806,C,standard,pretrained,flip,178,1.0,0.955056,0.949438,0.910112,0.91573,0.831461,163,0.907975,4,0.019519,3.4e-05,0310bfb99b068e6d553995d68219cf14064f6f8493b0de5c3b4dabb3ee7a0780,0.998047,0.998679,1760,56120,86.2,single-dev BCE only,0.842697,1.0,0.820225,0.970714,0.814607,0.988333,0.213483,0.954048,
C_standard_random_flip,803,C,standard,random,flip,178,1.0,0.955056,0.949438,0.949438,0.926966,0.88764,165,0.957576,10,0.0039,0.000271,cc19c6eb49483d42a0e44e84940f426d6d332f15c14febe8536f7dc443cf315e,1.0,1.0,1760,56120,88.823,single-dev BCE only,0.842697,1.0,0.797753,0.990714,0.792135,0.992857,0.174157,0.970476,
C_standard_random_flip,805,C,standard,random,flip,178,1.0,0.955056,0.97191,0.960674,0.938202,0.898876,167,0.958084,6,0.005676,9.2e-05,319e08be6b09021c0247bd2b48ffb4b96de340595b7725b17cc6de66a670d36a,1.0,1.0,1760,56120,88.809,single-dev BCE only,0.842697,1.0,0.808989,0.98,0.814607,0.990952,0.162921,0.961429,
C_standard_random_flip,806,C,standard,random,flip,178,1.0,0.955056,0.977528,0.949438,0.94382,0.893258,168,0.946429,19,0.006355,0.027195,d84142bcbbe215a55da88ad4f5c3a298c9e3b8f98fa3220e4ff23a7c3032f673,1.0,1.0,1760,56120,87.404,single-dev BCE only,0.842697,1.0,0.808989,0.985952,0.820225,0.988571,0.174157,0.97119,
D_standard_pretrained_flip,803,D,standard,pretrained,flip,178,0.97191,0.775281,0.769663,0.848315,0.657303,0.522472,117,0.794872,8,0.074119,0.000139,dbbbc03c2c3de948ed72961c8ac187496733ea2a4f6b3c3d2a23346ad38d5b52,0.986328,0.970938,1760,56120,57.492,single-dev BCE only,0.814607,1.0,0.629213,0.940476,0.61236,0.954762,0.151685,0.79,
D_standard_pretrained_flip,805,D,standard,pretrained,flip,178,0.983146,0.764045,0.797753,0.764045,0.674157,0.460674,120,0.683333,8,0.102888,0.000175,6d4d8aac4d13b9399f48dac6af3aac669c0759b9ce2ff6b18dc33b2aac205573,0.974609,0.949802,1760,56120,55.746,single-dev BCE only,0.859551,0.999286,0.696629,0.909286,0.685393,0.927143,0.247191,0.764762,
D_standard_pretrained_flip,806,D,standard,pretrained,flip,178,0.977528,0.775281,0.808989,0.786517,0.662921,0.460674,118,0.694915,5,0.086866,0.000173,f7cdcd361cc03b6c1f615bbcf35669ba0387c30420a01213e94e9e791f8e9d1b,0.969727,0.941876,1760,56120,56.821,single-dev BCE only,0.853933,0.997857,0.640449,0.927381,0.674157,0.931905,0.247191,0.768571,
D_standard_random_flip,803,D,standard,random,flip,178,0.949438,0.735955,0.730337,0.808989,0.595506,0.421348,106,0.707547,20,0.18482,0.029605,c02f4c1b2b81be7e4a8c9b2eedcb31abef9378ba546ff3c7185810a2d38d24e8,0.95166,0.916777,1760,56120,56.301,single-dev BCE only,0.792135,0.992857,0.578652,0.912857,0.573034,0.939524,0.134831,0.744762,
D_standard_random_flip,805,D,standard,random,flip,178,0.994382,0.876404,0.910112,0.601124,0.853933,0.47191,152,0.552632,7,0.163841,0.014382,3dd1b8e6272eed7f8565daee570d98bd36c9547cba575f34b7309cb67c98a04a,0.977539,0.922061,1760,56120,59.681,single-dev BCE only,0.837079,0.998571,0.775281,0.863095,0.808989,0.873571,0.398876,0.627619,
D_standard_random_flip,806,D,standard,random,flip,178,0.949438,0.691011,0.764045,0.870787,0.58427,0.47191,104,0.807692,20,0.144375,0.003176,ba525ac294b2a0975cd2c56d63f75dbf2a87ef90ea308cd1537c1e3745536211,0.977539,0.955086,1760,56120,56.763,single-dev BCE only,0.825843,0.992143,0.589888,0.866905,0.662921,0.901905,0.151685,0.825,
A_standard_pretrained_static,803,A,standard,pretrained,static,178,0.88764,0.674157,0.719101,0.651685,0.573034,0.264045,102,0.460784,8,0.358961,4.6e-05,4ac59b66f63e30578958ce72749d777cf7e9decbd51c7eda88e562b0deedf5e2,0.940918,0.804491,1760,56120,43.082,single-dev BCE only,0.842697,0.929524,0.629213,0.76381,0.651685,0.795476,0.314607,0.585476,
A_standard_pretrained_static,805,A,standard,pretrained,static,178,0.949438,0.775281,0.724719,0.567416,0.651685,0.247191,116,0.37931,6,0.378648,3.5e-05,2793e59968a4f2f711e229a1715fd111067556bc0bea07808fdb4a1aa4e21478,0.921387,0.795244,1760,56120,43.939,single-dev BCE only,0.825843,0.951429,0.696629,0.832381,0.657303,0.829762,0.421348,0.510238,
A_standard_pretrained_static,806,A,standard,pretrained,static,178,0.893258,0.657303,0.702247,0.651685,0.533708,0.224719,95,0.421053,3,0.461439,3.9e-05,08b80150e8acc20b1da5174dcc06ec0b6f2c502d9ecd14a002cb4a4c0f66209c,0.906738,0.830911,1760,56120,43.586,single-dev BCE only,0.780899,0.944048,0.522472,0.801429,0.61236,0.811905,0.292135,0.519048,
A_standard_random_static,803,A,standard,random,static,178,0.949438,0.780899,0.764045,0.55618,0.651685,0.258427,116,0.396552,12,0.445042,0.0001,d8123a2fcddbb94072bf8c63f6233017d84b314e0cb8197bc86655614f262eb6,0.947266,0.808454,1760,56120,43.177,single-dev BCE only,0.825843,0.980476,0.679775,0.882619,0.674157,0.905,0.432584,0.480952,
A_standard_random_static,805,A,standard,random,static,178,0.876404,0.691011,0.719101,0.494382,0.606742,0.140449,108,0.231481,7,0.584288,4.4e-05,c572dd10164a7ecc8852c3634a8097c7e6669921c5ce96987ae39b86acb0070a,0.907227,0.746367,1760,56120,43.203,single-dev BCE only,0.775281,0.94381,0.634831,0.750952,0.651685,0.804762,0.47191,0.414524,
A_standard_random_static,806,A,standard,random,static,178,0.882022,0.707865,0.769663,0.404494,0.657303,0.146067,117,0.222222,5,0.557016,6e-05,e3db4f58d98f30ab4ca888f9e383e8781e5a2e68f429e278a83bc4ace40a5e95,0.918945,0.69749,1760,56120,44.793,single-dev BCE only,0.825843,0.91619,0.674157,0.711905,0.724719,0.768571,0.573034,0.412381,
B_standard_pretrained_static,803,B,standard,pretrained,static,178,1.0,0.898876,0.94382,0.825843,0.853933,0.685393,152,0.802632,12,0.079309,3.7e-05,13e302d1bc320a71907ad5034f4ad463e9fdd7f0bbb8a1a639083826a4492119,0.993652,0.984148,1760,56120,67.953,single-dev BCE only,0.842697,1.0,0.775281,0.954524,0.797753,0.970238,0.241573,0.871429,
B_standard_pretrained_static,805,B,standard,pretrained,static,178,1.0,0.932584,0.949438,0.865169,0.893258,0.764045,159,0.855346,4,0.05549,4.2e-05,8714b52a1ad97aa69ba34a6afd825d9e1c963de55305f3e1f3a785d4c351a44b,0.998047,0.996037,1760,56120,67.798,single-dev BCE only,0.842697,1.0,0.797753,0.975952,0.792135,0.982619,0.224719,0.86881,
B_standard_pretrained_static,806,B,standard,pretrained,static,178,0.983146,0.910112,0.88764,0.764045,0.837079,0.606742,149,0.724832,5,0.092488,5.1e-05,520699a4c308ce5412acb144cdcf7ca3b89860d1e0a7fd5664d235775190950a,0.995117,0.974901,1760,56120,67.743,single-dev BCE only,0.859551,0.989286,0.820225,0.929048,0.797753,0.955,0.348315,0.875238,
B_standard_random_static,803,B,standard,random,static,178,1.0,0.853933,0.853933,0.853933,0.747191,0.61236,133,0.819549,12,0.154222,5.2e-05,aebbfcb7427d5dcda36fd88b503324be8d69b5d19768dcfd06295f3a1fb93c94,0.996094,0.953765,1760,56120,67.881,single-dev BCE only,0.842697,1.0,0.719101,0.902857,0.741573,0.943095,0.224719,0.868571,
B_standard_random_static,805,B,standard,random,static,178,0.977528,0.820225,0.853933,0.814607,0.719101,0.561798,128,0.78125,4,0.188788,7.6e-05,b3d64f69e4bf6fc560aa3e37ce708619406d37713e1441d0d209bedfe22c4be6,0.983887,0.949802,1760,56120,68.046,single-dev BCE only,0.820225,1.0,0.707865,0.880238,0.741573,0.911905,0.219101,0.756905,
B_standard_random_static,806,B,standard,random,static,178,0.988764,0.837079,0.898876,0.747191,0.769663,0.55618,137,0.722628,12,0.098613,6.4e-05,5c947995d530cfcdf97e88c0107e0af8091870e4a60f61d9d7f06ffdbc4861bd,0.984863,0.972259,1760,56120,68.058,single-dev BCE only,0.831461,1.0,0.724719,0.890476,0.741573,0.969286,0.297753,0.792143,
