seed,arm,n,static,A,B,atomic,AB,J,CCM_denom,CCM,forward_seconds,n_images,seconds_per_image
803,train64_pretrained__input64_phase00,64,0.96875,0.71875,0.609375,0.5625,0.65625,0.21875,36,0.3888888888888889,0.6104065328836441,256,0.0023844005190767348
803,train64_pretrained__input224_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.656852424144745,256,0.02600332978181541
803,train64_pretrained__input64_phase10,64,0.96875,0.703125,0.578125,0.53125,0.6875,0.234375,34,0.4411764705882353,0.5273398533463478,256,0.002059921302134171
803,train64_pretrained__input224_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.482559368014336,256,0.025322497531306
803,train64_pretrained__input64_phase01,64,0.953125,0.71875,0.578125,0.546875,0.65625,0.234375,35,0.42857142857142855,0.5091294944286346,256,0.001988787087611854
803,train64_pretrained__input224_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.452122263610363,256,0.02520360259222798
803,train64_pretrained__input64_phase11,64,0.953125,0.703125,0.609375,0.53125,0.65625,0.203125,34,0.38235294117647056,0.5098507553339005,256,0.0019916045130230486
803,train64_pretrained__input224_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.647123105823994,256,0.025965324632124975
803,train64_random__input64_phase00,64,0.796875,0.578125,0.453125,0.359375,0.609375,0.09375,23,0.2608695652173913,0.5183259546756744,256,0.0020247107604518533
803,train64_random__input224_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.391425147652626,256,0.02496650448301807
803,train64_random__input64_phase10,64,0.828125,0.53125,0.46875,0.359375,0.625,0.0625,23,0.17391304347826086,0.5021037831902504,256,0.0019613429030869156
803,train64_random__input224_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.412413947284222,256,0.02504849198157899
803,train64_random__input64_phase01,64,0.765625,0.578125,0.515625,0.421875,0.609375,0.09375,27,0.2222222222222222,0.543534904718399,256,0.0021231832215562463
803,train64_random__input224_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.490892820060253,256,0.025355050078360364
803,train64_random__input64_phase11,64,0.8125,0.515625,0.5,0.390625,0.625,0.09375,25,0.24,0.47988521307706833,256,0.0018745516135822982
803,train64_random__input224_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.400561586022377,256,0.02500219369539991
803,train224_pretrained__input64_phase00,64,0.640625,0.578125,0.546875,0.5,0.375,0.015625,32,0.03125,0.4790569469332695,256,0.001871316198958084
803,train224_pretrained__input224_phase00,64,1.0,0.921875,0.890625,0.828125,0.875,0.703125,53,0.8490566037735849,6.33899649977684,256,0.024761705077253282
803,train224_pretrained__input64_phase10,64,0.59375,0.5625,0.59375,0.53125,0.40625,0.046875,34,0.08823529411764706,0.5034478306770325,256,0.001966593088582158
803,train224_pretrained__input224_phase10,64,1.0,0.921875,0.890625,0.828125,0.875,0.703125,53,0.8490566037735849,6.30406379699707,256,0.024625249207019806
803,train224_pretrained__input64_phase01,64,0.640625,0.578125,0.625,0.546875,0.359375,0.046875,35,0.08571428571428572,0.5069406405091286,256,0.0019802368769887835
803,train224_pretrained__input224_phase01,64,1.0,0.921875,0.890625,0.828125,0.875,0.703125,53,0.8490566037735849,6.363325521349907,256,0.024856740317773074
803,train224_pretrained__input64_phase11,64,0.609375,0.515625,0.59375,0.5,0.375,0.03125,32,0.0625,0.5203421413898468,256,0.002032586489804089
803,train224_pretrained__input224_phase11,64,1.0,0.921875,0.890625,0.828125,0.875,0.703125,53,0.8490566037735849,6.522345662117004,256,0.02547791274264455
803,train224_random__input64_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,0.5225472822785378,256,0.002041200321400538
803,train224_random__input224_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.701939061284065,256,0.02617944945814088
803,train224_random__input64_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,0.4989476650953293,256,0.00194901431677863
803,train224_random__input224_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.588470183312893,256,0.025736211653565988
803,train224_random__input64_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,0.5198715180158615,256,0.002030748117249459
803,train224_random__input224_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.946669414639473,256,0.02713542740093544
803,train224_random__input64_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,0.5246463939547539,256,0.0020493999763857573
803,train224_random__input224_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.894587427377701,256,0.026931982138194144
805,train64_pretrained__input64_phase00,64,0.984375,0.78125,0.734375,0.65625,0.609375,0.296875,42,0.4523809523809524,0.5353477373719215,256,0.0020912020991090685
805,train64_pretrained__input224_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,7.269802957773209,256,0.028397667803801596
805,train64_pretrained__input64_phase10,64,0.96875,0.796875,0.75,0.6875,0.59375,0.296875,44,0.4318181818181818,0.5282930582761765,256,0.0020636447588913143
805,train64_pretrained__input224_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.680316440761089,256,0.026094986096723005
805,train64_pretrained__input64_phase01,64,0.984375,0.78125,0.78125,0.6875,0.625,0.34375,44,0.5,0.4890684559941292,256,0.0019104236562270671
805,train64_pretrained__input224_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.49776641279459,256,0.025381900049978867
805,train64_pretrained__input64_phase11,64,0.96875,0.765625,0.765625,0.671875,0.625,0.328125,43,0.4883720930232558,0.48425401747226715,256,0.0018916172557510436
805,train64_pretrained__input224_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.530521258711815,256,0.025509848666843027
805,train64_random__input64_phase00,64,0.78125,0.609375,0.53125,0.40625,0.671875,0.140625,26,0.34615384615384615,0.5374010428786278,256,0.0020992228237446398
805,train64_random__input224_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.487462565302849,256,0.025341650645714253
805,train64_random__input64_phase10,64,0.765625,0.578125,0.59375,0.421875,0.640625,0.140625,27,0.3333333333333333,0.5211227685213089,256,0.002035635814536363
805,train64_random__input224_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.347664847970009,256,0.024795565812382847
805,train64_random__input64_phase01,64,0.765625,0.625,0.5,0.421875,0.671875,0.203125,27,0.48148148148148145,0.4987356662750244,256,0.0019481861963868141
805,train64_random__input224_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.271692417562008,256,0.024498798506101593
805,train64_random__input64_phase11,64,0.796875,0.609375,0.578125,0.453125,0.640625,0.203125,29,0.4482758620689655,0.528354100883007,256,0.0020638832065742463
805,train64_random__input224_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.431349523365498,256,0.025122459075646475
805,train224_pretrained__input64_phase00,64,0.640625,0.484375,0.375,0.296875,0.546875,0.0625,19,0.21052631578947367,0.5111686214804649,256,0.001996752427658066
805,train224_pretrained__input224_phase00,64,1.0,0.921875,0.890625,0.828125,0.84375,0.671875,53,0.8113207547169812,6.606065385043621,256,0.025804942910326645
805,train224_pretrained__input64_phase10,64,0.65625,0.5,0.40625,0.296875,0.53125,0.046875,19,0.15789473684210525,0.5323963612318039,256,0.002079673286061734
805,train224_pretrained__input224_phase10,64,1.0,0.921875,0.890625,0.828125,0.859375,0.6875,53,0.8301886792452831,6.479930780827999,256,0.02531222961260937
805,train224_pretrained__input64_phase01,64,0.65625,0.484375,0.40625,0.328125,0.484375,0.03125,21,0.09523809523809523,0.555757150053978,256,0.0021709263673983514
805,train224_pretrained__input224_phase01,64,1.0,0.921875,0.890625,0.828125,0.84375,0.671875,53,0.8113207547169812,6.5518403351306915,256,0.025593126309104264
805,train224_pretrained__input64_phase11,64,0.671875,0.5625,0.4375,0.375,0.5625,0.0625,24,0.16666666666666666,0.5229974836111069,256,0.0020429589203558862
805,train224_pretrained__input224_phase11,64,1.0,0.921875,0.890625,0.828125,0.859375,0.6875,53,0.8301886792452831,6.498615734279156,256,0.025385217712027952
805,train224_random__input64_phase00,64,0.625,0.5,0.5,0.4375,0.484375,0.046875,28,0.10714285714285714,0.5391430705785751,256,0.002106027619447559
805,train224_random__input224_phase00,64,0.984375,0.875,0.859375,0.78125,0.84375,0.625,50,0.8,6.525255911052227,256,0.025489280902547762
805,train224_random__input64_phase10,64,0.5625,0.53125,0.5625,0.46875,0.453125,0.078125,30,0.16666666666666666,0.5292948111891747,256,0.0020675578562077135
805,train224_random__input224_phase10,64,1.0,0.90625,0.875,0.8125,0.828125,0.640625,52,0.7884615384615384,6.346753843128681,256,0.02479200719972141
805,train224_random__input64_phase01,64,0.578125,0.484375,0.578125,0.421875,0.46875,0.078125,27,0.18518518518518517,0.5287482589483261,256,0.002065422886516899
805,train224_random__input224_phase01,64,0.984375,0.90625,0.890625,0.8125,0.828125,0.640625,52,0.7884615384615384,6.525343529880047,256,0.025489623163593933
805,train224_random__input64_phase11,64,0.546875,0.5625,0.5625,0.46875,0.46875,0.078125,30,0.16666666666666666,0.5236070230603218,256,0.002045339933829382
805,train224_random__input224_phase11,64,0.984375,0.90625,0.890625,0.8125,0.828125,0.640625,52,0.7884615384615384,6.239671118557453,256,0.02437371530686505
806,train64_pretrained__input64_phase00,64,0.96875,0.671875,0.625,0.546875,0.625,0.203125,35,0.37142857142857144,0.5347198247909546,256,0.0020887493155896664
806,train64_pretrained__input224_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.685416616499424,256,0.026114908658200875
806,train64_pretrained__input64_phase10,64,0.953125,0.640625,0.625,0.546875,0.640625,0.21875,35,0.4,0.5253068804740906,256,0.0020519800018519163
806,train64_pretrained__input224_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.486129984259605,256,0.025336445251014084
806,train64_pretrained__input64_phase01,64,0.984375,0.65625,0.671875,0.578125,0.609375,0.203125,37,0.35135135135135137,0.5027532950043678,256,0.001963880058610812
806,train64_pretrained__input224_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.446751341223717,256,0.025182622426655143
806,train64_pretrained__input64_phase11,64,0.953125,0.65625,0.625,0.546875,0.625,0.1875,35,0.34285714285714286,0.4758889675140381,256,0.0018589412793517113
806,train64_pretrained__input224_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.584930963814259,256,0.025722386577399448
806,train64_random__input64_phase00,64,0.8125,0.484375,0.453125,0.34375,0.640625,0.078125,22,0.22727272727272727,0.496956042945385,256,0.00194123454275541
806,train64_random__input224_phase00,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.611086346209049,256,0.0258245560398791
806,train64_random__input64_phase10,64,0.78125,0.421875,0.484375,0.3125,0.625,0.015625,20,0.05,0.4790467098355293,256,0.0018712762102950364
806,train64_random__input224_phase10,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.418236613273621,256,0.02507123677060008
806,train64_random__input64_phase01,64,0.734375,0.4375,0.546875,0.375,0.640625,0.078125,24,0.20833333333333334,0.47420066595077515,256,0.0018523463513702154
806,train64_random__input224_phase01,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.270817331969738,256,0.02449538020300679
806,train64_random__input64_phase11,64,0.734375,0.421875,0.484375,0.359375,0.578125,0.0625,23,0.17391304347826086,0.4820108041167259,256,0.0018828547035809606
806,train64_random__input224_phase11,64,0.3125,0.3125,0.3125,0.3125,0.6875,0.0,20,0.0,6.374690569937229,256,0.0249011350388173
806,train224_pretrained__input64_phase00,64,0.53125,0.375,0.359375,0.28125,0.65625,0.03125,18,0.1111111111111111,0.4965479224920273,256,0.0019396403222344816
