seed,contrast,delta_J,parent_mean_delta_J,parent_bootstrap_95pct,n_unique_parent,gains,losses,baseline_110,transition_110_to_111,baseline_111,degradation_111,changed_state_predictions
803,train64_pretrained__224_minus_64,-0.21875,-0.21551724137931033,"[-0.31896551724137934, -0.1206896551724138]",58,0,14,22,0,14,14,95
803,train64_pretrained__input64_phase10_minus00,0.015625,0.017241379310344827,"[-0.05172413793103448, 0.08620689655172414]",58,3,2,22,1,14,2,15
803,train64_pretrained__input64_phase01_minus00,0.015625,0.017241379310344827,"[-0.04310344827586207, 0.08620689655172414]",58,3,2,22,1,14,2,15
803,train64_pretrained__input64_phase11_minus00,-0.015625,-0.017241379310344827,"[-0.10344827586206896, 0.07758620689655173]",58,4,5,22,1,14,5,18
803,train64_pretrained__input224_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train64_pretrained__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train64_pretrained__input224_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train64_random__224_minus_64,-0.09375,-0.08620689655172414,"[-0.1553879310344827, -0.02586206896551724]",58,0,6,17,0,6,6,80
803,train64_random__input64_phase10_minus00,-0.03125,-0.017241379310344827,"[-0.08620689655172414, 0.05172413793103448]",58,2,4,17,0,6,4,29
803,train64_random__input64_phase01_minus00,0.0,0.008620689655172414,"[-0.05172413793103448, 0.06896551724137931]",58,2,2,17,0,6,2,30
803,train64_random__input64_phase11_minus00,0.0,0.008620689655172414,"[-0.06896551724137931, 0.08620689655172414]",58,3,3,17,0,6,3,35
803,train64_random__input224_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train64_random__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train64_random__input224_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train224_pretrained__224_minus_64,0.6875,0.6637931034482759,"[0.5431034482758621, 0.7758620689655172]",58,44,0,31,20,1,0,123
803,train224_pretrained__input64_phase10_minus00,0.03125,0.034482758620689655,"[0.0, 0.08620689655172414]",58,2,0,31,0,1,0,11
803,train224_pretrained__input64_phase01_minus00,0.03125,0.034482758620689655,"[0.0, 0.08620689655172414]",58,2,0,31,1,1,0,14
803,train224_pretrained__input64_phase11_minus00,0.015625,0.017241379310344827,"[0.0, 0.05172413793103448]",58,1,0,31,0,1,0,17
803,train224_pretrained__input224_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,8,0,45,0,0
803,train224_pretrained__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,8,0,45,0,0
803,train224_pretrained__input224_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,8,0,45,0,0
803,train224_random__224_minus_64,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train224_random__input64_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train224_random__input64_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train224_random__input64_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train224_random__input224_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train224_random__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
803,train224_random__input224_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
805,train64_pretrained__224_minus_64,-0.296875,-0.3017241379310345,"[-0.4224137931034483, -0.1896551724137931]",58,0,19,23,0,19,19,113
805,train64_pretrained__input64_phase10_minus00,0.0,0.0,"[-0.06896551724137931, 0.06896551724137931]",58,2,2,23,1,19,2,10
805,train64_pretrained__input64_phase01_minus00,0.046875,0.05172413793103448,"[-0.034482758620689655, 0.13793103448275862]",58,5,2,23,2,19,2,10
805,train64_pretrained__input64_phase11_minus00,0.03125,0.034482758620689655,"[-0.05172413793103448, 0.13793103448275862]",58,5,3,23,1,19,3,13
805,train64_pretrained__input224_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
805,train64_pretrained__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
805,train64_pretrained__input224_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
