bank_index,parent_sha256,quartet_coords_sha256,x_image_sha256,A_image_sha256,B_image_sha256,AB_image_sha256
388,ea374b1e4eaaec73df170a22a62bf4bfa290f193eac94523b8d0ceb06dcb461a,81e6fadbf71dd7bb8b946bf1ccda6bb21989bcda8f6da980f4588e20c2ac9d2a,bafc9723d7cfd8decff612a4ab90bdf55e1ee62151584a1b3273a43196571437,18b3da8050eb77c48d9baf39f988332dbafd015a52f9fc6287f9e31c8bac98dd,5deebe072d56de903a5475c4ffc6a8d2c499731092794368c8a6ae345acc3a20,72efbc3f8dc6b1244ad3b413a257dbb727881fd0bd90a30c1fb61a43cd6da548
402,e34e91bcd6a59c61893f5b4f31394c3f65de34d0ffe5acf9e356c0f07bf6e79e,67c4806ead5aacc65d93e8df8a111a090b7e780064d03ec6fc76ee2cba705ffc,4f6a193f34404c4daf41c4c0428235f0a595ad81fdefc129ecace653952aa4c5,858aa85a8fadb5340b4044f1bb4f0cb0bd29ca7a2656a4276bf1b51c67ae39ad,c5b4579b94db90de299fee7227afd1bf76645fa494fd6bedbcc0ac8c967fcf63,1cbc80d35d7656cda009c72b576acb4cb22fb5230b2d1399d30a88dabf3caec7
261,ecc350295ad3bf775ec133dfbb0130262ccff5e407429d85a912aa96919a72d6,dfc8117bd206915995407a4748fc50b87cd2fa788a6f3da3ba3c1beb265293ff,4dad2b0713998d86947cf19e55895604a025b8b086299dc743586f524ac175d6,b8dfe8c3190afeea1ee63c3228db77272579a4a20adb1ce3e28a79b95537e930,50ea780530c48de7fba3b2436ce32f5d151ca953ab4df21831149a1ce5e4802d,c0f9127a7340305b6945bc9ab9c15e5abde59406106eb1fa898be59dd040061c
334,3b0e841f2587cd5397dc7bc1877818791e87d331e8813bd3b82734aaea089aac,0d5382dabd157bb6d1be03066554de41d7df0bd5b99ccf0a85c4cc339f914588,1ba9fd096f4779fb98cd93407a36b15cd46d17648d065af9373c043d758cab9b,a7bba47d012a1f72f15b8ef58c57b084b386fd298f45cecae80921bbd30215cb,512fa609682601624e48779f6645a925a4ea46ad37d55ab97feb2129221337ef,f57fbf7998b36d96fd6fa710613ecf0944a1550776da1ecd4b006e613ca99daf
526,97c75a63c13c406f932cc62a006a195b41b8d4b20bf91ec44c8e3687d6eb6d8c,5a7bb6355b3506496de271abc4e28c9abb1789e102e17523c02b5f816900ea89,7dcbd0e72d9ad1c2a74d84a234738d786580f67ca24589c75d858efd43916968,bfb7c16fc9e27f28e1ebf0c1e1a5ac4e19adaab37dfbe594cbcdc4f05a3bc667,52ed859a08b87502cbfef611cffd30552dae41064c60ff2509f194e527e4be45,d882cb829977dd02586f8fd3b3e5f41e70f59294eafe2e4af0f2a38b597d74ce
509,c45a2002f0ea86e0e6e2aa702148b59cc70ca93b297891d246f84998012d3d8a,e61787087a7f0094d9c4f18af0f5d103011f7c1e491bb3c292fcd46af8a7f585,d49f17120051797cb214bd0e4e0d907b7a8eaec9147b24c65bfd884b196b5f8f,01430e2736fa4997df35e8c5192d424c723600e4834c7c0af8ce87286b964a11,d46b8cbf2e7888f274248fb0d75610e3455a47d8d874d97f65cb4585fef621d7,cf16fc4ab4436bc6f1d386ecd9c55797a798988b4cc53be01163baaec0d9ae8b
483,bba5c013e5031c0f494dd456c27fee1457950062a0e734b0e615fc20a575eb6a,0f8817489177f07d15b2408344134cd97faf9e175d973c9b904cda304dc35359,d41896ff5b10016645b251bd5a531205333428c5f38ec5bad88d4d6eb8e8da92,521b42d2500341262c12edb1c8448bdf94e2999c085743d3f15358aef34ad85a,273a1bfcdc52f3145127ef6e6e5d4cb2e655427a6b58e8906bee756f3dce0c39,e8cdd528983db31f149af27287cea28f52c5f776795b013e5024ad823faf8c85
287,7e683a39b25d834d3f98ff167575d504a4f02a7dffc436f361e2151826aa4b3c,fdcf9fb8da2ad9af7281b45535c76cad10f253a13c1519b13a236bee3b440b97,a9ed01687304b255707eaf7d1e81a981cee2c75c934654627fc2b9944835ffc3,fd163390c1439e9638edf7b9f46680b12440388b2a579e04fea77e3b0bf52626,fe8961ccbc46f8898e8159d3edaa7d8b4b27dd3b4ea88a4e814d09f340b19a61,f30c1fde8018b76685d26677910e0827f071f87dec04ca0e2257789ff4e29ea3
90,7249e2be9d9eaff081bfcc5b940c96be6e079c56c5f27d397c8fcf22262f0fca,c2e7f3918aa3c9fcd0e095c17c001421b8a08f2156c2b9cd8d55e876b495d04a,f8217194a360f1bb512f977fa0cd052708cdb5023b573a1883481e241f0c4fd0,5b6471ff1921042253ea9bfcfbe5604851d9c1e8986e5cc443280de2d321793d,f7f6b443e32bd8212fd72547f431fa872b7ba6596377d2e9d3259648b5ef34b0,a1fe3f74efa5fc072761e85c20afa8747d52782c4846a01cb32f0f081f397218
307,8901b66acec28f16800ab09664badfd7c049ef12dcb0b257dd73ddc5a324d23e,57a8f06d51ad18a5a27e68e14431daee79ad191528723655a9881489188ee015,859bd5768fc632429883c69516b95f11b52bd1a2c649b490691fb0cfdcfaa8ed,69e869ce4c6c7caae1a8c2596280fbc103a93010584375cc031f0bba22bfe9db,f44385a7036702545041ff3010566546e28e7f1f670795ace404b4aa0870105d,207b62334e22474fce077621cc66000ac62ba000c86814290ccc571cc7c11001
54,b843ef6adbfe5690b5c818871c0582f3c8aea34ac7f3a10dca6145e155cd8c52,3fe01698dfa4f6aa5988a7e4d2cfd9c1c8b7dde47a507e56d0e740e704d10660,5cc9734f418af044e273f4197668f820db4faa3d2d19f053612c751d6bacbc0b,7add026dba134b92d13ffedd6a441000af3b1c984ae8a2bf7da788b5a4f9eefb,e21160cac1bf294892cc37805ceb43f0b40c49c5f5ae10aa6361fe3cf94f3fe5,d4ee5a86532fefe37c61831398d2862072348d2254435b8cff82d47d05b3581c
