seed,arm,order,kind,threshold,old_endpoint_selected_risk,corrected_start_selected_risk,n,start_conf_coverage,unconditional_endpoint_risk,unconditional_n
s11,raw_clean,first,preserve,23.8445,0.0,0.0,2016,0.285,0.017543859649122806,2052
s11,raw_clean,first,flip,23.8445,1.0,1.0,146,0.07676664972038638,0.9668874172185431,151
s11,raw_clean,random,preserve,23.8445,0.0,0.0,2016,0.285,0.017543859649122806,2052
s11,raw_clean,random,flip,23.8445,1.0,1.0,146,0.07676664972038638,0.9668874172185431,151
s11,raw_clean,stratified,preserve,23.8445,0.0,0.0,2016,0.285,0.017543859649122806,2052
s11,raw_clean,stratified,flip,23.8445,1.0,1.0,146,0.07676664972038638,0.9668874172185431,151
s11,raw_flipmine,first,preserve,43.875,0.0,0.0,2172,0.3016666666666667,0.0,2172
s11,raw_flipmine,first,flip,43.875,0.5185,0.9412,34,0.01728520589730554,0.9411764705882353,34
s11,raw_flipmine,random,preserve,43.875,0.0,0.0,2172,0.3016666666666667,0.0,2172
s11,raw_flipmine,random,flip,43.875,0.48,0.9412,34,0.01728520589730554,0.9411764705882353,34
s11,raw_flipmine,stratified,preserve,43.875,0.0,0.0,2172,0.3016666666666667,0.0,2172
s11,raw_flipmine,stratified,flip,43.875,0.5,0.9412,34,0.01728520589730554,0.9411764705882353,34
s11,relfeat,first,preserve,47.8539,0.0,0.0,2172,0.3016666666666667,0.0,2172
s11,relfeat,first,flip,47.8539,0.0,0.0,3,0.001525165226232842,0.0,3
s11,relfeat,random,preserve,47.8539,0.0,0.0,2172,0.3016666666666667,0.0,2172
s11,relfeat,random,flip,47.8539,0.0,0.0,3,0.001525165226232842,0.0,3
s11,relfeat,stratified,preserve,47.8539,0.0,0.0005,2172,0.3016666666666667,0.00046040515653775324,2172
s11,relfeat,stratified,flip,47.8539,0.0,0.0,3,0.001525165226232842,0.0,3
s11,relflip,first,preserve,117.2125,0.0,0.0,2076,0.28833333333333333,0.0,2076
s11,relflip,first,flip,117.2125,0.0,0.3333,3,0.001525165226232842,0.3333333333333333,3
s11,relflip,random,preserve,117.2125,0.0,0.0,2076,0.28833333333333333,0.0,2076
s11,relflip,random,flip,117.2125,0.0,0.3333,3,0.001525165226232842,0.3333333333333333,3
s11,relflip,stratified,preserve,117.2125,0.0,0.0,2076,0.28833333333333333,0.0,2076
s11,relflip,stratified,flip,117.2125,0.0,0.3333,3,0.001525165226232842,0.3333333333333333,3
s23,raw_clean,first,preserve,24.7182,0.0,0.0,2124,0.3016666666666667,0.022099447513812154,2172
s23,raw_clean,first,flip,24.7182,0.991,1.0,172,0.09608540925266904,0.91005291005291,189
s23,raw_clean,random,preserve,24.7182,0.0,0.0,2124,0.3016666666666667,0.022099447513812154,2172
s23,raw_clean,random,flip,24.7182,0.9907,1.0,172,0.09608540925266904,0.91005291005291,189
s23,raw_clean,stratified,preserve,24.7182,0.0,0.0,2124,0.3016666666666667,0.022099447513812154,2172
s23,raw_clean,stratified,flip,24.7182,0.991,1.0,172,0.09608540925266904,0.91005291005291,189
s23,raw_flipmine,first,preserve,11.0203,0.0,0.0,2328,0.3283333333333333,0.015228426395939087,2364
s23,raw_flipmine,first,flip,11.0203,0.0833,0.8222,45,0.03914590747330961,0.4805194805194805,77
s23,raw_flipmine,random,preserve,11.0203,0.0,0.0013,2328,0.3283333333333333,0.015651438240270727,2364
s23,raw_flipmine,random,flip,11.0203,0.0769,0.7556,45,0.03914590747330961,0.44155844155844154,77
s23,raw_flipmine,stratified,preserve,11.0203,0.0,0.0,2328,0.3283333333333333,0.015228426395939087,2364
s23,raw_flipmine,stratified,flip,11.0203,0.0769,0.8,45,0.03914590747330961,0.4675324675324675,77
s23,relfeat,first,preserve,46.6918,0.0,0.0,2040,0.2833333333333333,0.0,2040
s23,relfeat,first,flip,46.6918,0.0,0.5,2,0.0010167768174885613,0.5,2
s23,relfeat,random,preserve,46.6918,0.0,0.0,2040,0.2833333333333333,0.0,2040
s23,relfeat,random,flip,46.6918,0.0,0.5,2,0.0010167768174885613,0.5,2
s23,relfeat,stratified,preserve,46.6918,0.0,0.0005,2040,0.2833333333333333,0.0004901960784313725,2040
s23,relfeat,stratified,flip,46.6918,0.0,0.5,2,0.0010167768174885613,0.5,2
s23,relflip,first,preserve,48.1262,0.0,0.0,2148,0.29833333333333334,0.0,2148
