name,size,arch,seed,frac,lr,dev_bce,train_error,final_loss,steps,init_sha256,checkpoint_sha256,train_sha256,flip_sha256,batch_order,subset_sha256,oracle_candidate_queries,retained_flip_labels,training_state_forwards
N_raw_s11_f0_lr0.01,N,raw,11,0,0.01,4.208651542663574,0.0,3.469520015642047e-05,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,68f9a88bd196557ba8835a0c9ad02e20c95c61c6cb67e2fb5d4ba91bd12d17eb,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s11_f0_lr0.003,N,raw,11,0,0.003,3.7739388942718506,0.0,0.00014987793110776693,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,046cd5a558c13df3a17591c7fcaab1a203f53b3529812b04751202968825bb92,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s11_f0_lr0.001,N,raw,11,0,0.001,2.6492536067962646,0.0,0.0018968015210703015,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,3537d7c4dc01edec71d080cab276639ebab3267d1f4764b066f127f6ce24c0cd,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s11_f25_lr0.01,N,raw,11,25,0.01,4.862963676452637,0.0,0.0029094372875988483,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,a77a9455d49778791182900bc613cc58895862426ef5e6119dae764e885b5f0e,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s11_f25_lr0.003,N,raw,11,25,0.003,2.785475969314575,0.0,0.015814675018191338,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,d735e4f5619699cfc65eeb5a9ac7593bf6139f86ccc4250f408b5ae6559e76e3,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s11_f25_lr0.001,N,raw,11,25,0.001,1.4871978759765625,0.013671875,0.09269485622644424,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,e0cb78ad0ac752bef359a4333b31b90c7de4de40a77445aeebc45be5de8b573e,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s11_f100_lr0.01,N,raw,11,100,0.01,3.032353639602661,0.0,0.0019398970762267709,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,4e06d8015793c7a8122e41626c0d1da3b3c5f384a8fbc981bfe58a1c50070688,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_raw_s11_f100_lr0.003,N,raw,11,100,0.003,2.4871742725372314,0.0,0.04480953514575958,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,0fbbb6dbe85f088ba40b400b938b932fb1a294553e3b90ea02b30f8a6a3089d8,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_raw_s11_f100_lr0.001,N,raw,11,100,0.001,1.2749228477478027,0.0390625,0.2110750675201416,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,631e26115a0c99ed4dc4965f62e5a8dd6b704b07ff2a03f02dd5db8e478f88a9,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_raw_s23_f0_lr0.01,N,raw,23,0,0.01,3.915679931640625,0.0,3.677398126455955e-05,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,4c0f0ccd3c46bdab9d6bc09178aa5cb4907d7f97b03f3ce7d51ab31f48b35254,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
