name,size,arch,seed,frac,lr,dev_bce,train_error,final_loss,steps,init_sha256,checkpoint_sha256,train_sha256,flip_sha256,batch_order,subset_sha256,oracle_candidate_queries,retained_flip_labels,training_state_forwards,J,n,n_parents,atomic_pass,AB_correct,CCM_denominator,R_full,M,original111_n,degradation111
N_raw_s11_f0_lr0.001,N,raw,11,0,0.001,2.6492536067962646,0.0,0.0018968015210703015,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,3537d7c4dc01edec71d080cab276639ebab3267d1f4764b066f127f6ce24c0cd,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600,0.08136696501220504,1229,250,0.6078112286411717,0.44751830756712774,647,0.0,0.0,100,0.0
N_raw_s11_f25_lr0.001,N,raw,11,25,0.001,1.4871978759765625,0.013671875,0.09269485622644424,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,e0cb78ad0ac752bef359a4333b31b90c7de4de40a77445aeebc45be5de8b573e,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500,0.13913751017087062,1229,250,0.6004882017900732,0.5142392188771359,647,0.14219474497681608,0.19938176197836166,100,0.73
N_raw_s11_f100_lr0.001,N,raw,11,100,0.001,1.2749228477478027,0.0390625,0.2110750675201416,300,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,631e26115a0c99ed4dc4965f62e5a8dd6b704b07ff2a03f02dd5db8e478f88a9,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800,0.14401952807160293,1229,250,0.5362082994304312,0.5728234336859235,647,0.1437403400309119,0.2782071097372488,100,0.7
N_raw_s23_f0_lr0.001,N,raw,23,0,0.001,2.5100460052490234,0.0,0.0021182820200920105,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,c64987040b5c1227d9117174bea15a47323b47e8aea75809ef985515170fac69,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600,0.07323026851098453,1229,250,0.6265256305939788,0.4239218877135883,680,0.0,0.0,90,0.0
N_raw_s23_f25_lr0.001,N,raw,23,25,0.001,1.965836763381958,0.013671875,0.08847149461507797,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,767a4f98481af288fa7e5302c0a865a84d5a2217ddd14eb645255147afe8fce2,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500,0.11310008136696502,1229,250,0.5606183889340928,0.5296989422294548,680,0.11176470588235295,0.25,90,0.8111111111111111
N_raw_s23_f100_lr0.001,N,raw,23,100,0.001,1.3753830194473267,0.013671875,0.1597372591495514,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,dd30434419a9457b7ce50c468b6570b08d02612e75bfc6f84fb9d22961faf198,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800,0.17168429617575265,1229,250,0.564686737184703,0.5882831570382425,680,0.17794117647058824,0.2691176470588235,90,0.7555555555555555
N_raw_s47_f0_lr0.001,N,raw,47,0,0.001,2.3860080242156982,0.0,0.0022464822977781296,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,c1fa73a21ffa567db2ed20ef8fc27dc9c91ed92a5849828e7ecf74bc6fbd5247,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600,0.07160292921074043,1229,250,0.5777054515866559,0.46216436126932464,622,0.0,0.0,88,0.0
N_raw_s47_f25_lr0.01,N,raw,47,25,0.01,1.1350432634353638,0.072265625,0.3247779905796051,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,c83ae98ae45354e729cebf0b3ee192e9f270a167ec7ae4cdd69b625c1e21552b,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500,0.13100081366965013,1229,250,0.5752644426362896,0.5345809601301872,622,0.14790996784565916,0.2572347266881029,88,0.8181818181818182
N_raw_s47_f100_lr0.001,N,raw,47,100,0.001,1.3235206604003906,0.01171875,0.16856515407562256,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,643f5bca40c27988ac9de4e207e8f70dd4fa37fe8ffe5e156498e988cb536c0e,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800,0.11798209926769732,1229,250,0.5671277461350691,0.5345809601301872,622,0.09807073954983923,0.2395498392282958,88,0.7386363636363636
N_sixdist_s11_f0_lr0.001,N,sixdist,11,0,0.001,1.1833871603012085,0.0,0.0022677332162857056,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,a8cd0022c59f8e7fd22a8ec8f284827216f0b50ff2eb659fc2f6778656c23915,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600,0.26851098454027666,1229,250,0.7615947925142392,0.5052888527257934,647,0.23802163833075735,0.1205564142194745,100,0.53
