name,start,size,arch,seed,frac,method,opt_key,opt_kind,lr,momentum,steps,dev_bce,dev_clean_bce,train_error,final_loss,init_state_sha256,init_sha256_o01,final_state_sha256,clean_state_sha256,clean_checkpoint_sha256,clean_candidate,checkpoint_sha256,batch_order_sha256,flips_used,preserves_used,replay_points,forwards_per_step,total_forward_passes,total_backward_passes,train_sha256,flip_sha256,preserve_sha256,dev_sha256,eval_sha256,wall_seconds,J,atomic_pass,AB_pass,family,selected_by_dev_bce,matched_noflip__J,matched_noflip__A,matched_noflip__B,matched_noflip__AB,matched_noflip__atomic_pass,matched_noflip__n_quartets,matched_noflip__n_parents,matched_noflip__ref_atomic_correct_n,matched_noflip__atomic_regressed_n,matched_noflip__atomic_regression,matched_noflip__atomic_regression_CI_parent_bootstrap,matched_noflip__ref_joint_correct_n,matched_noflip__joint_lost_n,matched_noflip__joint_lost,matched_noflip__joint_gained_n,matched_noflip__joint_gained,matched_noflip__transition_8x8,selected_lr,clean_start__J,clean_start__A,clean_start__B,clean_start__AB,clean_start__atomic_pass,clean_start__n_quartets,clean_start__n_parents,clean_start__ref_atomic_correct_n,clean_start__atomic_regressed_n,clean_start__atomic_regression,clean_start__atomic_regression_CI_parent_bootstrap,clean_start__ref_joint_correct_n,clean_start__joint_lost_n,clean_start__joint_lost,clean_start__joint_gained_n,clean_start__joint_gained,clean_start__transition_8x8
scratch_4N_raw_s11_f0_plain_adam_lr0.0005_steps600,scratch,4N,raw,11,0,plain,adam_lr0.0005_steps600,adam,0.0005,,600,1.8761107921600342,,0.0,0.011487885378301144,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,0f880f96e17acee69ee9da86af0146dfa4c7dd7ab7be714ac032c7ff02ddb958,,,,fda089fac82ed24171cb890843dfec22e748fc4aaaf6eeb72e6b9884b098448e,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,1228800,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.2219319641590118,0.15134255492270138,0.6810414971521562,0.4434499593165175,robust,0,0.15134255492270138,0.7697314890154597,0.7396257119609438,0.4434499593165175,0.6810414971521562,1229,250,1855,0,0.0,"[0.0, 0.0]",186,0,0.0,0,0.0,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 211, 0, 0, 0, 0, 0, 0], [0, 0, 18, 0, 0, 0, 0, 0], [0, 0, 0, 54, 0, 0, 0, 0], [0, 0, 0, 0, 15, 0, 0, 0], [0, 0, 0, 0, 0, 94, 0, 0], [0, 0, 0, 0, 0, 0, 651, 0], [0, 0, 0, 0, 0, 0, 0, 186]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f0_plain_sgd_m09_lr0.003,scratch,4N,raw,11,0,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.6926847100257874,,0.349609375,0.6817424297332764,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,b96fd48d8d09b41f7ec08409583e78f3e89b32a891cacd1c558338026d502256,,,,1b4b6410b5725f2c6a3d85e09a49683012781797a9acf2145bd08bdd539ed793,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,614400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.4791565537452698,0.03173311635475997,0.5703824247355573,0.4434499593165175,robust,0,0.03173311635475997,0.6004882017900732,0.5939788445890968,0.4434499593165175,0.5703824247355573,1229,250,1468,0,0.0,"[0.0, 0.0]",39,0,0.0,0,0.0,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 462, 0, 0, 0, 0, 0, 0], [0, 0, 17, 0, 0, 0, 0, 0], [0, 0, 0, 12, 0, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 32, 0, 0], [0, 0, 0, 0, 0, 0, 662, 0], [0, 0, 0, 0, 0, 0, 0, 39]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f0_plain_sgd_m09_lr0.01,scratch,4N,raw,11,0,plain,sgd_m09_lr0.01,sgd,0.01,0.9,300,0.6827765107154846,,0.1630859375,0.4147147536277771,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,1f4466264ca4dd249afa6b82b25a3ddaf6d455ba147de2582f8dad41870efc41,,,,b67cb3488c8ca6d9b68e46757d395dc30eec7e2018b60826fb6afe0efa363edf,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,614400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.4598110765218735,0.059397884458909686,0.6411716842961758,0.402766476810415,robust,1,0.059397884458909686,0.708706265256306,0.6842961757526445,0.402766476810415,0.6411716842961758,1229,250,1712,0,0.0,"[0.0, 0.0]",73,0,0.0,0,0.0,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 305, 0, 0, 0, 0, 0, 0], [0, 0, 10, 0, 0, 0, 0, 0], [0, 0, 0, 43, 0, 0, 0, 0], [0, 0, 0, 0, 9, 0, 0, 0], [0, 0, 0, 0, 0, 74, 0, 0], [0, 0, 0, 0, 0, 0, 715, 0], [0, 0, 0, 0, 0, 0, 0, 73]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f100_plain_adam_lr0.0005_steps600,scratch,4N,raw,11,100,plain,adam_lr0.0005_steps600,adam,0.0005,,600,0.4429279565811157,,0.02734375,0.2268507033586502,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,8abe35eba19f12f8b405aa7e08ef04d33722394cc96181f779be575aaf277da2,,,,630d40c3668c6dfa551103cd9391b8f1828cb014b5c2cb22f7bb5acf7f9df56b,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,5062800,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,3.43716961145401,0.3270951993490643,0.6509357200976403,0.6680227827502034,robust,1,0.3270951993490643,0.7876322213181448,0.7217249796582588,0.6680227827502034,0.6509357200976403,1229,250,1855,365,0.1967654986522911,"[0.14678626308180504, 0.2477755416934053]",186,110,0.5913978494623656,326,0.31255992329817833,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 45, 1, 21, 3, 40, 36, 65], [0, 2, 2, 5, 0, 0, 5, 4], [0, 9, 0, 11, 0, 4, 8, 22], [0, 0, 0, 0, 3, 6, 4, 2], [0, 16, 0, 0, 0, 29, 26, 23], [0, 74, 0, 32, 1, 64, 270, 210], [0, 28, 0, 15, 0, 18, 49, 76]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f100_plain_sgd_m09_lr0.003,scratch,4N,raw,11,100,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.598267674446106,,0.5,1.3096024990081787,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,7bb9dc75d89da5027b9f28593a1961dc76c50c1a953a9fd5c85bd886f55ae5ff,,,,b4ea9065bf2213b93f444bbda0786352fc244a34f8ab8f0cd496071d8b62af8d,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,2531400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.5926457345485687,0.0,0.22945484133441824,0.7705451586655818,robust,0,0.0,0.22945484133441824,0.22945484133441824,0.7705451586655818,0.22945484133441824,1229,250,1468,1190,0.8106267029972752,"[0.7292354949402841, 0.8853093753559]",39,39,1.0,0,0.0,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 330, 0, 0, 0, 0, 132, 0], [0, 16, 0, 0, 0, 0, 1, 0], [0, 9, 0, 0, 0, 0, 3, 0], [0, 2, 0, 0, 0, 0, 3, 0], [0, 17, 0, 0, 0, 0, 15, 0], [0, 543, 0, 0, 0, 0, 119, 0], [0, 30, 0, 0, 0, 0, 9, 0]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f100_plain_sgd_m09_lr0.01,scratch,4N,raw,11,100,plain,sgd_m09_lr0.01,sgd,0.01,0.9,300,0.542012631893158,,0.26318359375,1.0795307159423828,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,d369c873ac0eaaf05ef0a32467f2ec57a8a641bf677bced90f3d829ea0c9863d,,,,53d07c0ec0fbd48fdbb2d16a644dfc56388654c707ef4fe8ea590855f7728e74,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,2531400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.8132605999708176,0.07811228641171684,0.4369406021155411,0.6192026037428804,robust,0,0.07811228641171684,0.5028478437754271,0.4890154597233523,0.6192026037428804,0.4369406021155411,1229,250,1712,697,0.4071261682242991,"[0.32901888214934377, 0.48542391647900124]",73,69,0.9452054794520548,92,0.07958477508650519,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 219, 2, 10, 2, 7, 51, 14], [0, 3, 0, 2, 0, 0, 5, 0], [0, 28, 0, 2, 0, 0, 13, 0], [0, 4, 0, 0, 0, 1, 4, 0], [0, 40, 0, 0, 0, 3, 31, 0], [4, 208, 11, 35, 8, 55, 316, 78], [0, 41, 0, 2, 0, 5, 21, 4]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f25_plain_adam_lr0.0005_steps600,scratch,4N,raw,11,25,plain,adam_lr0.0005_steps600,adam,0.0005,,600,0.5278497338294983,,0.03271484375,0.18971401453018188,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,53f238999f0885726da0f872ae591e0c4ca9f7c4409db8a6bec7b1fd2e12c629,,,,caf4bd2f15e3dbb6c2adb41dd578682beae941e6992ce54530c2f8d893d0362b,1b9ee37f9c8057fa8c0afc721ea672150328c879d4f1306535b67f742e9d3109,1597,0,0,3645,2187000,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.8472821041941643,0.24979658258746948,0.6663954434499593,0.5752644426362896,robust,1,0.24979658258746948,0.7819365337672904,0.7274206672091131,0.5752644426362896,0.6663954434499593,1229,250,1855,351,0.18921832884097034,"[0.14269889698687366, 0.2405340915953699]",186,117,0.6290322580645161,238,0.22818791946308725,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 60, 0, 13, 0, 31, 50, 57], [0, 4, 0, 3, 0, 0, 7, 4], [0, 15, 2, 11, 0, 2, 11, 13], [0, 1, 0, 0, 1, 5, 5, 3], [0, 18, 0, 5, 1, 27, 20, 23], [0, 62, 2, 27, 3, 52, 367, 138], [0, 33, 1, 11, 0, 20, 52, 69]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f25_plain_sgd_m09_lr0.003,scratch,4N,raw,11,25,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.5967852473258972,,0.5,1.30613112449646,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,4ccd7def1e8154d8ab033972a9ff4a05c63ae097f3d396d29b095ba244f58194,,,,25fdeb4a3b3c363c543a58d77092a087c93048aef4bb5ab77ca33e21f288a7c8,1b9ee37f9c8057fa8c0afc721ea672150328c879d4f1306535b67f742e9d3109,1597,0,0,3645,1093500,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.7907077893614769,0.0,0.22945484133441824,0.7705451586655818,robust,0,0.0,0.22945484133441824,0.22945484133441824,0.7705451586655818,0.22945484133441824,1229,250,1468,1190,0.8106267029972752,"[0.7292354949402841, 0.8853093753559]",39,39,1.0,0,0.0,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 330, 0, 0, 0, 0, 132, 0], [0, 16, 0, 0, 0, 0, 1, 0], [0, 9, 0, 0, 0, 0, 3, 0], [0, 2, 0, 0, 0, 0, 3, 0], [0, 17, 0, 0, 0, 0, 15, 0], [0, 543, 0, 0, 0, 0, 119, 0], [0, 30, 0, 0, 0, 0, 9, 0]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s11_f25_plain_sgd_m09_lr0.01,scratch,4N,raw,11,25,plain,sgd_m09_lr0.01,sgd,0.01,0.9,300,0.5322845578193665,,0.27001953125,1.065926194190979,0677ebebb7839a2c06385640a9b5f6896758a3d6a038bebdb00999792be5906c,45f0970d66d12ea2a87bb314274f37c64363479805baad44c291ee6abef9b799,70398abc8b618be7f8f11940c72e2b3ce9c53b1305e60e72b9adfb0acfe8f368,,,,947470e8682bb89a5c3d4c0b48bbc03ee9c781934c03c5a3652f86e4cd81741f,1b9ee37f9c8057fa8c0afc721ea672150328c879d4f1306535b67f742e9d3109,1597,0,0,3645,1093500,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.7815348356962204,0.07485760781122865,0.44426362896663957,0.6094385679414158,robust,0,0.07485760781122865,0.5052888527257934,0.5061025223759154,0.6094385679414158,0.44426362896663957,1229,250,1712,697,0.4071261682242991,"[0.332628057503751, 0.483938944753126]",73,71,0.9726027397260274,90,0.07785467128027682,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 210, 2, 9, 0, 7, 58, 19], [0, 1, 1, 3, 0, 0, 5, 0], [0, 21, 1, 6, 0, 0, 14, 1], [0, 4, 0, 0, 0, 1, 4, 0], [0, 38, 0, 0, 0, 4, 31, 1], [1, 215, 13, 39, 8, 49, 321, 69], [0, 42, 0, 2, 0, 6, 21, 2]]",,,,,,,,,,,,,,,,,,
scratch_4N_raw_s23_f0_plain_adam_lr0.0005_steps600,scratch,4N,raw,23,0,plain,adam_lr0.0005_steps600,adam,0.0005,,600,1.5908055305480957,,0.0,0.012116201221942902,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,1d9eef3ca5f0e07f20c6c48b7d05970e3a4fbb6a0882e8842998c92035c901fa,,,,ed4239c58355d13ede8092e71c05de25133d90b492ad9578019c8e8f3a06ac9a,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,1228800,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.1545408144593239,0.13588283157038242,0.676159479251424,0.45077298616761596,robust,0,0.13588283157038242,0.7428803905614321,0.7371847030105777,0.45077298616761596,0.676159479251424,1229,250,1819,0,0.0,"[0.0, 0.0]",167,0,0.0,0,0.0,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 240, 0, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0, 0], [0, 0, 0, 68, 0, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 0, 79, 0, 0], [0, 0, 0, 0, 0, 0, 664, 0], [0, 0, 0, 0, 0, 0, 0, 167]]",,,,,,,,,,,,,,,,,,
