pair,encoder,seed,model,target_dev_coverage,tau,dev_coverage_selected,scene_set,scene,scene_oracle_feasible,acted,success,selected_row,selected_candidate,score_used,action_cost,net_benefit
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,0,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,3,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,7,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,13,True,True,True,8204,21,16.237803,0.226274,0.773726
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,14,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,16,True,True,True,11488,22,13.163639,0.226274,0.773726
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,30,True,True,False,2945,5,13.262961,0.070711,-0.070711
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,35,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,38,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,49,True,True,False,11194,22,14.801476,0.226274,-0.226274
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,55,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,60,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,62,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,74,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,79,True,True,False,10309,19,15.228064,0.226274,-0.226274
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,81,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,82,True,True,False,11808,48,18.224583,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,84,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,87,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,90,True,True,False,1816,3,15.908096,0.070711,-0.070711
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,94,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,97,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,98,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,102,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,105,True,False,False,-1,-1,,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,106,True,True,False,11612,48,13.696495,0.0,0.0
raw_s11,raw,11,clean,0.25,13.163639,0.2558,dev43,109,True,False,False,-1,-1,,0.0,0.0
