encoder_seed,head,parent,n_quartets,S,J_star,J,J_head_dev
raw_clean_s11,logistic_static,1,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,10,1,1.0,0.0,0.0,1.0
raw_clean_s11,logistic_static,13,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,15,5,0.6,0.0,0.0,0.0
raw_clean_s11,logistic_static,16,4,0.25,0.0,0.0,0.0
raw_clean_s11,logistic_static,35,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,37,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,39,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,49,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,53,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,55,2,1.0,0.5,0.0,0.0
raw_clean_s11,logistic_static,66,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,81,3,1.0,0.0,1.0,0.0
raw_clean_s11,logistic_static,82,4,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,84,8,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,87,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,90,10,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,96,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,98,2,0.5,0.0,0.0,0.0
raw_clean_s11,logistic_static,99,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,100,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,102,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,105,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,106,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,107,6,0.16666666666666666,0.0,0.0,0.0
raw_clean_s11,logistic_static,109,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,115,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,117,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,125,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,126,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,134,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,135,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,136,4,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,140,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,145,1,1.0,1.0,0.0,0.0
raw_clean_s11,logistic_static,147,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,149,1,1.0,0.0,0.0,1.0
raw_clean_s11,logistic_static,161,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,171,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,173,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,174,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,183,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,190,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,191,4,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,192,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,197,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,208,2,1.0,0.0,0.5,0.0
raw_clean_s11,logistic_static,229,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,230,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,233,7,0.2857142857142857,0.0,0.0,0.0
raw_clean_s11,logistic_static,236,1,1.0,0.0,0.0,1.0
raw_clean_s11,logistic_static,237,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,244,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,245,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,246,6,0.8333333333333334,0.0,0.0,0.5
raw_clean_s11,logistic_static,271,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,272,5,0.4,0.0,0.0,0.0
raw_clean_s11,logistic_static,275,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,276,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,285,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,286,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,288,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,289,2,0.5,0.0,0.0,0.0
raw_clean_s11,logistic_static,292,1,1.0,1.0,1.0,0.0
raw_clean_s11,logistic_static,295,1,1.0,1.0,1.0,0.0
raw_clean_s11,logistic_static,302,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,304,3,0.6666666666666666,0.0,0.0,0.0
raw_clean_s11,logistic_static,311,4,0.75,0.0,0.0,0.0
raw_clean_s11,logistic_static,315,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,325,2,0.5,0.0,0.0,0.0
raw_clean_s11,logistic_static,326,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,330,2,0.5,0.5,0.0,0.0
raw_clean_s11,logistic_static,331,6,0.8333333333333334,0.0,0.0,0.0
raw_clean_s11,logistic_static,335,3,1.0,0.0,0.0,0.6666666666666666
raw_clean_s11,logistic_static,336,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,340,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,342,1,1.0,0.0,1.0,0.0
raw_clean_s11,logistic_static,343,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,354,6,0.8333333333333334,0.0,0.0,0.0
raw_clean_s11,logistic_static,357,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,362,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,363,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,370,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,372,3,0.3333333333333333,0.0,0.0,0.0
raw_clean_s11,logistic_static,376,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,380,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,399,3,1.0,1.0,0.6666666666666666,0.0
raw_clean_s11,logistic_static,400,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0
raw_clean_s11,logistic_static,418,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,419,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,422,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,427,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,433,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,437,1,0.0,0.0,0.0,0.0
