111_regression_n,J_diff_all,J_diff_all_parent_boot95,J_diff_common_retained,J_diff_common_retained_boot95,baseline,baseline110_n,baseline111_n,candidate,flip_err_diff_common_retained,flip_err_diff_common_retained_boot95,flip_err_diff_common_retained_startok,flip_err_diff_common_retained_startok_boot95,full_repair_n,keep_err_diff_common_retained,keep_err_diff_common_retained_boot95,keep_err_diff_common_retained_startok,keep_err_diff_common_retained_startok_boot95,migration_n,n_common_retained_parents,n_common_retained_quartets,seed
8,-0.018867924528301886,"[-0.07236842105263158, 0.030864197530864196]",0.0,"[-0.058823529411764705, 0.05555555555555555]",ordered,12,114,matched,0.0,"[-0.061232339089481946, 0.0625]",0.0,"[-0.058823529411764705, 0.0682014106583071]",3,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0,23,48,803
7,0.031446540880503145,"[-0.033715508675380264, 0.1032258064516129]",0.0,"[-0.05263157894736842, 0.06]",ordered,10,102,matched,0.07407407407407407,"[0.0, 0.16666666666666666]",0.07407407407407407,"[0.0, 0.16673728813559283]",1,-0.037037037037037035,"[-0.09093228200371058, 0.0]",-0.037037037037037035,"[-0.08823529411764706, 0.0]",0,24,54,805
9,-0.025157232704402517,"[-0.09259565857247976, 0.03205645161290319]",0.0,"[0.0, 0.0]",ordered,12,116,matched,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",3,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0,11,25,806
6,0.05660377358490566,"[-0.011836080586080586, 0.1394017379679144]",0.09836065573770492,"[0.0, 0.2222222222222222]",pretrained_flip,16,102,matched,-0.04918032786885246,"[-0.12, 0.018518518518518517]",-0.04918032786885246,"[-0.12280701754385964, 0.02084441489361696]",6,-0.02459016393442623,"[-0.07894736842105263, 0.0]",-0.02459016393442623,"[-0.0810995085995086, 0.0]",0,28,61,803
7,-0.025157232704402517,"[-0.07335185185185185, 0.01744699042407658]",0.0,"[-0.043478260869565216, 0.05172413793103448]",pretrained_flip,12,111,matched,0.03278688524590164,"[-0.041681338028169014, 0.1166911764705881]",0.03278688524590164,"[-0.03227128503437335, 0.11631326949384387]",2,-0.01639344262295082,"[-0.0625, 0.016666666666666666]",-0.01639344262295082,"[-0.06062152133580705, 0.01695645821157214]",0,30,61,805
8,-0.006289308176100629,"[-0.06832723559942143, 0.04938441188441187]",-0.03125,"[-0.12130681818181818, 0.0]",pretrained_flip,12,113,matched,0.03125,"[0.0, 0.125]",0.03125,"[0.0, 0.12]",2,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",2,14,32,806
8,0.1320754716981132,"[0.03749417701863354, 0.23335443037974674]",0.06779661016949153,"[-0.05555555555555555, 0.2065311094452773]",shuffled_matched,29,90,matched,-0.1016949152542373,"[-0.23171173559561684, 0.0]",-0.1016949152542373,"[-0.23728813559322035, 0.0]",18,0.01694915254237288,"[0.0, 0.04387426900584787]",0.01694915254237288,"[0.0, 0.0423728813559322]",1,29,59,803
6,-0.031446540880503145,"[-0.07831620600047248, 0.006494567523979283]",0.0,"[0.0, 0.0]",shuffled_matched,12,112,matched,0.03571428571428571,"[0.0, 0.12003030303030286]",0.03571428571428571,"[0.0, 0.12003030303030286]",0,-0.026785714285714284,"[-0.07463619402985074, 0.0]",-0.026785714285714284,"[-0.07145737327188939, 0.0]",0,25,56,805
8,-0.03773584905660377,"[-0.09581043392666722, 0.01111423220973781]",-0.03333333333333333,"[-0.13333333333333333, 0.0]",shuffled_matched,12,118,matched,0.03333333333333333,"[0.0, 0.13337837837837813]",0.03333333333333333,"[0.0, 0.13333333333333333]",1,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",1,14,30,806
4,0.07547169811320754,"[0.017849310776942354, 0.14935939808694296]",0.075,"[0.0, 0.24330970314576836]",pretrained_flip,16,102,ordered,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",7,-0.0375,"[-0.12004054054054053, 0.0]",-0.0375,"[-0.121642305570877, 0.0]",0,20,40,803
