arm,n_parents,pearson_r_quartet_start_vs_single_clean_mean,seed,sign_agreement
pretrained_flip,74,0.9977376679096696,803,1.0
pretrained_flip,74,0.9988616509213216,805,1.0
pretrained_flip,74,0.9918285080471531,806,1.0
ordered,74,0.9997368985375871,803,1.0
ordered,74,0.9994569681706569,805,1.0
ordered,74,0.9993693232654074,806,1.0
matched,74,0.9998555703633204,803,1.0
matched,74,0.999490648397287,805,1.0
matched,74,0.9996953734768276,806,1.0
shuffled_matched,74,0.9986301328935924,803,1.0
shuffled_matched,74,0.9995936198439984,805,0.9864864864864865
shuffled_matched,74,0.9990330659591319,806,1.0
