bank,init,regimen,seed,scope,parent,n_quartets,J3_count,J3_denominator,J3,J3_source_field,J4,atomic_correct_n,atomic_denominator,atomic_accuracy,atomic_source_field,AB_correct_n,AB_denominator,AB_accuracy,AB_source_field,full_repair,migration,baseline111_regression,paper_CCM,source_file
canonical224_159,pretrained,static,803,parent,3,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,21,3,1,3,0.3333333333333333,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,3,0.3333333333333333,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,32,4,4,4,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,37,4,2,4,0.5,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,4,0.5,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,45,3,0,3,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,3,0.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,63,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,64,4,0,4,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,4,0.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,72,4,3,4,0.75,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,3,4,0.75,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,86,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,92,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,94,2,0,2,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,0,2,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,105,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,107,3,2,3,0.6666666666666666,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,2,3,0.6666666666666666,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,114,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,128,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,140,4,0,4,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,4,0.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,146,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,165,2,0,2,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,0,2,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,181,3,3,3,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,183,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,0,1,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,185,2,1,2,0.5,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,1,2,0.5,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,203,2,1,2,0.5,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,1,2,0.5,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,209,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,211,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,215,3,1,3,0.3333333333333333,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,1,3,0.3333333333333333,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,216,4,0,4,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,0,4,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,228,4,3,4,0.75,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,3,4,0.75,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,239,3,0,3,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,3,0.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,245,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,252,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,272,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
canonical224_159,pretrained,static,803,parent,290,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/predictions.npz
