bank,init,regimen,seed,scope,n_quartets,n_parents,J3_count,J3_denominator,J3,J3_source_field,J4,atomic_correct_n,atomic_denominator,atomic_accuracy,atomic_source_field,AB_correct_n,AB_denominator,AB_accuracy,AB_source_field,full_repair,migration,baseline111_regression,paper_CCM,backend,dtype,source_file
canonical224_159,pretrained,static,803,pooled_quartets,159,74,82,159,0.5157232704402516,J,missing,125,159,0.7861635220125787,atomic_joint,116,159,0.7295597484276729,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s803/result.json
canonical224_159,pretrained,static,805,pooled_quartets,159,74,96,159,0.6037735849056604,J,missing,130,159,0.8176100628930818,atomic_joint,123,159,0.7735849056603774,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s805/result.json
canonical224_159,pretrained,static,806,pooled_quartets,159,74,79,159,0.4968553459119497,J,missing,123,159,0.7735849056603774,atomic_joint,112,159,0.7044025157232704,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_static_s806/result.json
canonical224_159,pretrained,static,seed_mean,unweighted_mean_of_3_seed_rates,159,74,missing,"3 seed rates, each over 159; not a 477 pool",0.5387840670859538,classification.J_mean,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/independent_summary.json
canonical224_159,pretrained,flip,803,pooled_quartets,159,74,102,159,0.6415094339622641,J,missing,118,159,0.7421383647798742,atomic_joint,142,159,0.8930817610062893,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s803/result.json
canonical224_159,pretrained,flip,805,pooled_quartets,159,74,111,159,0.6981132075471698,J,missing,123,159,0.7735849056603774,atomic_joint,144,159,0.9056603773584906,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/result.json
canonical224_159,pretrained,flip,806,pooled_quartets,159,74,113,159,0.710691823899371,J,missing,125,159,0.7861635220125787,atomic_joint,145,159,0.9119496855345912,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s806/result.json
canonical224_159,pretrained,flip,seed_mean,unweighted_mean_of_3_seed_rates,159,74,missing,"3 seed rates, each over 159; not a 477 pool",0.6834381551362684,classification.J_mean,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/independent_summary.json
canonical224_159,random,static,803,pooled_quartets,159,74,68,159,0.4276729559748428,J,missing,119,159,0.7484276729559748,atomic_joint,106,159,0.6666666666666666,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/random_static_s803/result.json
canonical224_159,random,static,805,pooled_quartets,159,74,77,159,0.48427672955974843,J,missing,111,159,0.6981132075471698,atomic_joint,121,159,0.7610062893081762,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/random_static_s805/result.json
canonical224_159,random,static,806,pooled_quartets,159,74,77,159,0.48427672955974843,J,missing,111,159,0.6981132075471698,atomic_joint,121,159,0.7610062893081762,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/random_static_s806/result.json
canonical224_159,random,static,seed_mean,unweighted_mean_of_3_seed_rates,159,74,missing,"3 seed rates, each over 159; not a 477 pool",0.4654088050314466,classification.J_mean,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/independent_summary.json
canonical224_159,random,flip,803,pooled_quartets,159,74,112,159,0.7044025157232704,J,missing,125,159,0.7861635220125787,atomic_joint,146,159,0.9182389937106918,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/random_flip_s803/result.json
canonical224_159,random,flip,805,pooled_quartets,159,74,104,159,0.6540880503144654,J,missing,119,159,0.7484276729559748,atomic_joint,144,159,0.9056603773584906,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/random_flip_s805/result.json
canonical224_159,random,flip,806,pooled_quartets,159,74,103,159,0.6477987421383647,J,missing,118,159,0.7421383647798742,atomic_joint,142,159,0.8930817610062893,AB,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/random_flip_s806/result.json
canonical224_159,random,flip,seed_mean,unweighted_mean_of_3_seed_rates,159,74,missing,"3 seed rates, each over 159; not a 477 pool",0.6687631027253668,classification.J_mean,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,cuda,FP32,artifacts/e1a933_review/vision_gpu_interpretation/independent_summary.json
