parent,fam,norm,y0,y1,m0,m1,verdict,reason
533,single,0.03,1,1,0.1231,0.1046,keep,
533,single,0.03,1,1,0.1231,0.1013,keep,
533,single,0.03,1,1,0.1231,0.1108,keep,
533,single,0.03,1,1,0.1231,0.1275,keep,
533,single,0.03,1,1,0.1231,0.1417,keep,
533,single,0.03,1,1,0.1231,0.1397,keep,
533,single,0.03,1,1,0.1231,0.1256,keep,
533,single,0.03,1,1,0.1231,0.1133,keep,
533,single,0.06,1,1,0.1231,0.086,keep,
533,single,0.06,1,1,0.1231,0.0794,keep,
533,single,0.06,1,1,0.1231,0.0984,keep,
533,single,0.06,1,1,0.1231,0.1319,keep,
533,single,0.06,1,1,0.1231,0.1603,keep,
533,single,0.06,1,1,0.1231,0.1506,keep,
533,single,0.06,1,1,0.1231,0.1224,keep,
533,single,0.06,1,1,0.1231,0.0979,keep,
533,single,0.1,1,1,0.1231,0.0612,keep,
533,single,0.1,1,1,0.1231,0.0502,keep,
533,single,0.1,1,1,0.1231,0.0819,keep,
533,single,0.1,1,1,0.1231,0.1377,keep,
533,single,0.1,1,1,0.1231,0.185,keep,
533,single,0.1,1,1,0.1231,0.1651,keep,
533,single,0.1,1,1,0.1231,0.1181,keep,
533,single,0.1,1,1,0.1231,0.0773,keep,
533,single,0.16,1,,,,invalid,ambiguous/margin/ValueError
533,single,0.16,1,,,,invalid,ambiguous/margin/ValueError
533,single,0.16,1,1,0.1231,0.0571,keep,
533,single,0.16,1,1,0.1231,0.1465,keep,
533,single,0.16,1,1,0.1231,0.2221,keep,
533,single,0.16,1,1,0.1231,0.1869,keep,
533,single,0.16,1,1,0.1231,0.1117,keep,
533,single,0.16,1,1,0.1231,0.0465,keep,
533,single,0.03,1,1,0.1231,0.1228,keep,
533,single,0.03,1,1,0.1231,0.1186,keep,
533,single,0.03,1,1,0.1231,0.117,keep,
533,single,0.03,1,1,0.1231,0.119,keep,
533,single,0.03,1,1,0.1231,0.1234,keep,
533,single,0.03,1,1,0.1231,0.1277,keep,
533,single,0.03,1,1,0.1231,0.1288,keep,
533,single,0.03,1,1,0.1231,0.1273,keep,
533,single,0.06,1,1,0.1231,0.1225,keep,
533,single,0.06,1,1,0.1231,0.114,keep,
533,single,0.06,1,1,0.1231,0.1108,keep,
533,single,0.06,1,1,0.1231,0.1148,keep,
533,single,0.06,1,1,0.1231,0.1237,keep,
533,single,0.06,1,1,0.1231,0.1288,keep,
533,single,0.06,1,1,0.1231,0.1288,keep,
533,single,0.06,1,1,0.1231,0.1288,keep,
533,single,0.1,1,1,0.1231,0.1221,keep,
533,single,0.1,1,1,0.1231,0.1079,keep,
533,single,0.1,1,1,0.1231,0.1026,keep,
533,single,0.1,1,1,0.1231,0.1093,keep,
533,single,0.1,1,1,0.1231,0.1241,keep,
533,single,0.1,1,1,0.1231,0.1288,keep,
533,single,0.1,1,1,0.1231,0.1288,keep,
533,single,0.1,1,1,0.1231,0.1288,keep,
533,single,0.16,1,1,0.1231,0.1215,keep,
533,single,0.16,1,1,0.1231,0.0987,keep,
533,single,0.16,1,1,0.1231,0.0902,keep,
533,single,0.16,1,1,0.1231,0.101,keep,
533,single,0.16,1,1,0.1231,0.1247,keep,
533,single,0.16,1,1,0.1231,0.1288,keep,
533,single,0.16,1,1,0.1231,0.1288,keep,
533,single,0.16,1,1,0.1231,0.1288,keep,
533,single,0.03,1,1,0.1231,0.1231,keep,
533,single,0.03,1,1,0.1231,0.1231,keep,
