seed,parent,t_star,min_margin_win,margin_slope,cost,max_slope,max_curv,trans_width,slope_asym,min_abs_logit,speed_conc,max_angle,hyper_dist,z_length,miss,abserr
11,454,0.832354,0.002618,-0.167563,0.843567,160.113037,717.035156,0.0,16.971281,51.388737,0.074014,0.094046,14.563423,23.373969,1,nan
11,454,0.832354,0.002618,-0.167564,0.843567,208.744873,478.005371,0.0,14.237315,9.858408,0.133577,0.031091,4.714224,34.159649,1,nan
11,365,0.801039,0.001694,-0.108422,0.710804,218.006836,776.507812,0.0,42.118457,32.899014,0.128797,0.032047,11.205342,45.704124,1,nan
11,365,0.801039,0.001694,-0.108423,0.710804,252.796143,1572.099609,0.0,98.702803,11.255226,0.121533,0.038937,4.803356,50.925005,1,nan
11,491,0.420919,0.000166,0.010612,0.244218,33.372803,89.351562,0.0,1.445881,62.768536,0.19581,0.009535,17.668981,8.713166,1,nan
11,491,0.420919,0.000166,0.010612,0.244218,37.897217,12.570312,0.0,0.212729,60.14777,0.187271,0.00488,17.02964,9.817201,1,nan
11,249,0.819529,0.002938,-0.188003,0.783624,150.939575,1056.638672,0.030769,50.148018,0.324422,0.109878,0.126503,1.508102,26.094873,0,0.090298
11,249,0.819529,0.002938,-0.188004,0.783624,152.064819,793.044922,0.015385,73.012595,6.54561,0.062255,1.804564,2.649092,26.947646,0,0.160179
11,330,0.365549,0.001414,-0.090481,0.222903,12.67765,0.008972,0.184615,0.058353,0.003505,0.248594,1.1e-05,0.220492,2.367431,0,0.071621
11,330,0.365549,0.001414,-0.090484,0.222903,17.834869,75.936066,0.123077,2.120836,0.025531,0.242511,0.024072,0.232386,3.300575,0,0.067173
11,424,0.842981,0.00054,0.034592,0.900663,147.758789,227.60791,0.046154,1.688597,4.530637,0.057284,0.112461,1.701607,16.915295,0,0.298416
11,424,0.842981,0.00054,0.034591,0.900663,140.580811,187.280273,0.030769,8.161854,4.102538,0.05784,0.105205,1.652303,16.858546,0,0.237522
11,141,0.853354,0.003193,0.204335,0.964368,209.487305,1184.0672,0.015385,57.081811,0.065124,0.086687,0.065892,0.736214,35.163828,0,0.040024
11,141,0.853354,0.003193,0.204334,0.964368,186.095459,1603.347656,0.015385,34.067226,0.217572,0.165687,0.042285,0.058337,36.338536,0,0.008038
11,347,0.652529,0.000188,0.012018,0.407001,117.062988,645.017578,0.030769,12.452079,14.281992,0.198167,0.017377,6.058119,25.560715,1,nan
11,347,0.652529,0.000188,0.012018,0.407001,141.423096,239.322266,0.030769,11.070616,9.25922,0.159232,0.009198,4.314208,26.673346,0,0.248741
11,460,0.873178,0.002253,0.144207,1.115105,291.65625,2197.217041,0.015385,37.285065,0.019153,0.050386,0.110686,0.835678,40.998049,0,0.091755
11,460,0.873178,0.002253,0.144206,1.115105,275.989014,810.996094,0.015385,16.367004,15.891047,0.001756,7.2e-05,4.292722,43.611109,0,0.24905
11,133,0.831984,0.00118,-0.075519,0.841714,219.074219,1319.229736,0.015385,114.06744,0.135188,0.080592,2.878477,0.976176,42.723713,0,0.049583
11,133,0.831984,0.00118,-0.075521,0.841714,242.738037,1043.507812,0.0,4.579167,11.979904,0.121601,0.032815,5.452831,38.620743,1,nan
11,192,0.276129,0.000495,0.03168,0.195368,10.091583,0.002563,0.2,9e-06,0.747506,0.246539,6e-06,0.4541,2.270341,0,0.172943
11,192,0.276129,0.000495,0.03168,0.195368,9.427887,0.007385,0.215385,2.9e-05,0.964361,0.236781,7e-06,0.495561,2.207764,0,0.20116
11,125,0.511168,0.001145,0.073311,0.289305,18.512115,187.649902,0.123077,6.685665,4.707924,0.258404,0.034693,1.678602,3.010713,0,0.375439
11,125,0.511168,0.001145,0.07331,0.289305,19.816582,334.601562,0.138462,10.904532,3.738429,0.274348,2.242638,1.410457,2.760408,0,0.347961
11,159,0.821524,0.001284,0.082195,0.79239,191.157227,340.982422,0.0,7.75769,19.563442,0.163737,0.020494,7.765521,41.752109,1,nan
11,159,0.821524,0.001284,0.082195,0.79239,197.567383,450.837891,0.0,17.01236,20.388571,0.151388,0.020479,7.666326,41.006784,1,nan
11,167,0.515837,6.3e-05,-0.004053,0.292095,52.702576,178.810913,0.076923,9.01345,0.024196,0.173382,0.029631,0.246257,8.982155,0,0.032001
11,167,0.515837,6.3e-05,-0.004049,0.292095,46.080811,70.951172,0.076923,2.643522,1.180817,0.186217,0.014978,1.083155,8.517759,0,0.135361
11,95,0.710596,0.003082,-0.197253,0.488662,97.772644,75.3125,0.030769,4.3432,5.285043,0.093307,0.036524,1.907133,13.695162,0,0.278088
11,95,0.710596,0.003082,-0.197253,0.488662,105.836792,222.110352,0.046154,9.462346,5.625829,0.081835,0.081803,2.013353,13.710074,0,0.278065
11,273,0.721552,8.3e-05,-0.005324,0.507893,65.797363,271.371094,0.0,12.761945,49.834026,0.217146,0.016086,14.835942,13.654295,1,nan
11,273,0.721552,8.3e-05,-0.005325,0.507893,55.824219,49.085938,0.0,0.685737,61.355991,0.200147,0.012599,17.3241,9.625136,1,nan
11,240,0.265764,1.7e-05,-0.001114,0.19261,27.339722,32.886719,0.0,0.204841,20.077894,0.234609,0.010941,5.97605,5.193292,1,nan
11,240,0.265764,1.7e-05,-0.001113,0.19261,26.940918,137.679688,0.0,2.053531,20.372805,0.256549,0.011886,6.106174,5.040929,1,nan
11,388,0.849726,0.005436,-0.347902,0.941091,156.879883,294.942139,0.061538,3.616642,0.109393,0.083493,0.058064,0.029331,23.784373,0,0.009148
11,388,0.849726,0.005436,-0.347906,0.941091,147.432617,588.635254,0.046154,15.090603,0.662531,0.09883,0.078691,1.492293,25.31126,0,0.113598
11,468,0.863398,0.005062,-0.323966,1.035269,172.746338,3751.402344,0.0,122.824455,5.362925,0.151819,0.216606,2.279458,30.649527,1,nan
11,468,0.863398,0.005062,-0.323966,1.035269,156.632324,2341.593384,0.015385,4.104925,0.762556,0.204887,0.080827,2.162817,34.30417,0,0.047745
11,275,0.285688,0.000707,-0.04523,0.197983,26.536194,239.28125,0.0,6.979388,37.100731,0.184577,0.015063,10.513839,6.170677,1,nan
11,275,0.285688,0.000707,-0.045229,0.197983,34.867432,3.238281,0.0,0.100716,33.28019,0.19182,0.000565,9.647488,8.375164,1,nan
11,282,0.873869,0.000322,0.020603,1.12123,275.194824,711.107422,0.030769,24.264958,0.021249,0.091257,0.023787,1.716169,50.217648,0,0.078941
11,282,0.873869,0.000322,0.020604,1.12123,218.780762,1093.988281,0.0,40.042809,10.053885,0.147733,0.024875,5.788104,47.319489,1,nan
11,464,0.823561,0.003134,0.200557,0.801536,115.471436,562.539307,0.046154,9.868695,2.752413,0.041335,0.124328,1.009563,16.078731,0,0.16404
11,464,0.823561,0.003134,0.200558,0.801536,152.01416,475.841797,0.030769,14.744195,7.294092,0.080646,0.162909,2.697329,18.093148,0,0.253548
11,103,0.82258,0.002252,0.144104,0.797096,157.157715,687.218079,0.076923,18.107537,0.855645,0.102869,0.108449,1.374236,27.599124,0,0.134247
11,103,0.82258,0.002252,0.144104,0.797096,140.418945,527.725708,0.015385,5.308317,2.573899,0.142943,0.037103,2.393997,28.315446,0,0.129967
11,315,0.634188,0.002632,0.168468,0.386595,27.752533,0.00972,0.215385,1.3e-05,0.055527,0.110303,1.1e-05,0.051176,4.359984,0,0.028473
11,315,0.634188,0.002632,0.168462,0.386595,30.121811,0.006348,0.338462,4e-06,0.352321,0.092635,1e-05,0.230319,3.896135,0,0.138889
11,158,0.909536,0.002715,-0.173732,1.563288,430.786621,3833.939453,0.015385,150.515746,0.498577,0.120155,0.077129,3.487065,97.083446,0,0.064369
11,158,0.909536,0.002715,-0.173732,1.563288,548.561035,3013.464905,0.030769,61.209976,0.287085,0.016013,1.184905,1.120292,98.201617,0,0.099548
11,403,0.817427,0.003749,-0.239932,0.774595,90.833008,402.378906,0.0,0.816051,37.953899,0.050343,0.460989,10.515377,12.576385,1,nan
11,403,0.817427,0.003749,-0.239934,0.774595,126.602539,352.864746,0.0,26.188552,6.071125,0.116295,0.105987,2.579179,21.39756,1,nan
11,134,0.505102,0.000903,-0.057792,0.285758,22.154877,36.398926,0.123077,0.617759,2.881773,0.221621,0.005358,1.03294,2.545509,0,0.36076
11,134,0.505102,0.000903,-0.057792,0.285758,16.397446,0.005859,0.507692,9e-06,0.117347,0.160513,4.3e-05,0.122429,1.273909,0,0.131283
11,195,0.837648,0.000356,0.022782,1.742156,437.194336,3890.495361,0.030769,198.341012,0.481494,0.115414,0.126224,1.728635,87.818529,0,0.045673
11,195,0.837648,0.000356,0.022781,1.742156,446.601074,4180.022949,0.015385,233.024023,0.317171,0.170086,0.091457,2.507464,89.456208,0,0.038544
11,327,0.800657,0.002639,-0.168907,0.709443,96.237915,237.464844,0.015385,8.438159,9.099434,0.151339,0.025505,3.842724,20.070506,1,nan
11,327,0.800657,0.002639,-0.168907,0.709443,96.258545,206.422363,0.061538,6.049499,3.221178,0.180612,0.020547,2.545854,20.634743,0,0.160927
11,178,0.892431,0.000112,-0.007138,1.314708,194.830566,773.025635,0.015385,25.70491,0.718675,0.187609,0.025199,3.784012,44.204318,0,0.097771
11,178,0.892431,0.000112,-0.007138,1.314708,246.342041,1184.460938,0.0,72.803117,13.363163,0.245757,0.036269,7.551884,40.775569,1,nan
11,73,0.419104,0.000344,0.022032,0.243453,23.063171,270.417969,0.092308,10.474577,0.175227,0.258021,0.117391,0.587525,3.756534,0,0.099129
11,73,0.419104,0.000344,0.022032,0.243453,24.981873,224.595947,0.092308,9.775043,0.200434,0.278247,0.089456,0.605647,3.697746,0,0.100109
11,309,0.362253,0.000459,-0.029399,0.221752,15.557755,105.968262,0.0,1.840961,6.007531,0.247945,0.00365,1.772799,1.465207,1,nan
11,309,0.362253,0.000459,-0.0294,0.221752,19.099503,9.300293,0.0,0.792284,5.874436,0.260985,0.003548,1.724517,1.299683,1,nan
11,336,0.503538,0.00078,-0.04995,0.284859,19.090332,105.067871,0.2,4.036459,0.033392,0.213191,0.081899,0.317417,3.526699,0,0.093384
11,336,0.503538,0.00078,-0.049949,0.284859,18.55925,108.837219,0.153846,4.143375,0.089442,0.201921,0.078242,0.187036,4.040193,0,0.051857
11,204,0.791689,0.00229,0.146543,0.678895,142.876587,527.862305,0.015385,38.827745,1.383324,0.093031,0.050487,1.740933,27.254414,0,0.10722
11,204,0.791689,0.00229,0.146544,0.678895,141.786194,670.419922,0.030769,33.238839,0.241692,0.099937,0.051338,0.879632,26.617106,0,0.060856
11,439,0.835085,0.000816,-0.052236,0.857546,216.833984,723.612061,0.030769,74.061066,0.265571,0.155442,0.026523,2.875651,46.558132,0,0.090214
