pair,alpha,loss,n,miss,mean_terr
r04b11-r04b23-naive,0.0,0.007076,200,0.385,0.1565
r04b11-r04b23-naive,0.125,0.170634,200,0.315,0.2009
r04b11-r04b23-naive,0.25,0.343694,200,0.335,0.2657
r04b11-r04b23-naive,0.375,0.419377,200,0.4,0.3228
r04b11-r04b23-naive,0.5,0.471869,200,0.51,0.3317
r04b11-r04b23-naive,0.625,0.432269,200,0.4,0.3072
r04b11-r04b23-naive,0.75,0.353925,200,0.325,0.2524
r04b11-r04b23-naive,0.875,0.243878,200,0.305,0.2019
r04b11-r04b23-naive,1.0,0.300236,200,0.39,0.1551
r04b11-r04b23-aligned,0.0,0.007076,200,0.385,0.1565
r04b11-r04b23-aligned,0.125,0.100603,200,0.325,0.1791
r04b11-r04b23-aligned,0.25,0.194004,200,0.29,0.2015
r04b11-r04b23-aligned,0.375,0.237285,200,0.3,0.1996
r04b11-r04b23-aligned,0.5,0.278078,200,0.27,0.2085
r04b11-r04b23-aligned,0.625,0.302823,200,0.3,0.1939
r04b11-r04b23-aligned,0.75,0.294414,200,0.355,0.186
r04b11-r04b23-aligned,0.875,0.260035,200,0.345,0.1636
r04b11-r04b23-aligned,1.0,0.300236,200,0.39,0.1551
r04b11-s2001-naive,0.0,0.007076,200,0.385,0.1565
r04b11-s2001-naive,0.125,0.239924,200,0.35,0.1893
r04b11-s2001-naive,0.25,0.575468,200,0.41,0.2324
r04b11-s2001-naive,0.375,0.859454,200,0.5,0.3187
r04b11-s2001-naive,0.5,1.036431,200,0.53,0.2985
r04b11-s2001-naive,0.625,1.0465,200,0.52,0.3007
r04b11-s2001-naive,0.75,0.881422,200,0.425,0.265
r04b11-s2001-naive,0.875,0.484184,200,0.315,0.2038
r04b11-s2001-naive,1.0,0.00079,200,0.415,0.1548
r04b11-s2001-aligned,0.0,0.007076,200,0.385,0.1565
r04b11-s2001-aligned,0.125,0.098666,200,0.42,0.1606
r04b11-s2001-aligned,0.25,0.335887,200,0.425,0.1724
r04b11-s2001-aligned,0.375,0.61506,200,0.505,0.14
r04b11-s2001-aligned,0.5,0.814911,200,0.535,0.1367
r04b11-s2001-aligned,0.625,0.734723,200,0.51,0.1593
r04b11-s2001-aligned,0.75,0.486384,200,0.43,0.1757
r04b11-s2001-aligned,0.875,0.217042,200,0.39,0.1694
r04b11-s2001-aligned,1.0,0.00079,200,0.415,0.1548
r04b23-s2005-naive,0.0,0.300236,200,0.39,0.1551
r04b23-s2005-naive,0.125,0.229423,200,0.29,0.2564
r04b23-s2005-naive,0.25,0.369783,200,0.405,0.3154
r04b23-s2005-naive,0.375,0.564015,200,0.58,0.4207
r04b23-s2005-naive,0.5,0.813734,200,0.65,0.4133
r04b23-s2005-naive,0.625,0.922686,200,0.535,0.3897
r04b23-s2005-naive,0.75,0.885506,200,0.38,0.2943
