seed,parent,t_star,t_theta,miss,abserr,angle_cos,width_k1,width_k2,woa
11,454,0.832353,nan,1,nan,nan,nan,nan,nan
11,454,0.832353,nan,1,nan,nan,nan,nan,nan
11,365,0.80104,nan,1,nan,nan,nan,nan,nan
11,365,0.80104,nan,1,nan,nan,nan,nan,nan
11,491,0.42092,nan,1,nan,nan,nan,nan,nan
11,491,0.42092,nan,1,nan,nan,nan,nan,nan
11,249,0.81953,0.729232,0,0.090298,0.598093,0.039062,0.070312,0.065311
11,249,0.81953,0.65935,0,0.160179,0.697683,0.023438,0.039062,0.033594
11,330,0.365548,0.437169,0,0.071621,0.344242,0.195312,0.375,0.567368
11,330,0.365548,0.298375,0,0.067173,0.528761,0.140625,0.265625,0.265952
11,424,0.84298,0.544566,0,0.298414,0.588868,0.054688,0.101562,0.09287
11,424,0.84298,0.60546,0,0.23752,0.617403,0.046875,0.101562,0.075923
11,141,0.853353,0.813329,0,0.040024,0.658481,0.03125,0.0625,0.047458
11,141,0.853353,0.86139,0,0.008038,0.679008,0.023438,0.046875,0.034518
11,347,0.652528,nan,1,nan,nan,nan,nan,nan
11,347,0.652528,0.901269,0,0.248741,0.726005,0.046875,0.09375,0.064566
11,460,0.873178,0.781423,0,0.091755,0.537977,0.03125,0.078125,0.058088
11,460,0.873178,0.624129,0,0.249048,0.69115,0.015625,0.03125,0.022607
11,133,0.831985,0.782401,0,0.049583,0.545412,0.023438,0.046875,0.042973
11,133,0.831985,nan,1,nan,nan,nan,nan,nan
11,192,0.276128,0.449073,0,0.172945,0.398031,0.210938,0.414062,0.529954
11,192,0.276128,0.47729,0,0.201162,0.39802,0.21875,0.445312,0.549595
11,125,0.511168,0.13573,0,0.375439,0.672237,0.132812,0.25,0.197567
11,125,0.511168,0.163205,0,0.347963,0.533626,0.148438,0.289062,0.278169
11,159,0.821525,nan,1,nan,nan,nan,nan,nan
11,159,0.821525,nan,1,nan,nan,nan,nan,nan
11,167,0.515838,0.547837,0,0.032,0.547054,0.085938,0.15625,0.157092
11,167,0.515838,0.651196,0,0.135359,0.505539,0.085938,0.15625,0.169993
11,95,0.710595,0.432508,0,0.278088,0.610018,0.039062,0.09375,0.064034
11,95,0.710595,0.43253,0,0.278065,0.599957,0.054688,0.109375,0.091153
11,273,0.721553,nan,1,nan,nan,nan,nan,nan
11,273,0.721553,nan,1,nan,nan,nan,nan,nan
11,240,0.265765,nan,1,nan,nan,nan,nan,nan
11,240,0.265765,nan,1,nan,nan,nan,nan,nan
11,388,0.849727,0.840579,0,0.009148,0.430237,0.070312,0.117188,0.163426
11,388,0.849727,0.736127,0,0.1136,0.525969,0.046875,0.09375,0.089121
11,468,0.863397,nan,1,nan,nan,nan,nan,nan
11,468,0.863397,0.911143,0,0.047747,0.675286,0.023438,0.039062,0.034708
11,275,0.285687,nan,1,nan,nan,nan,nan,nan
11,275,0.285687,nan,1,nan,nan,nan,nan,nan
11,282,0.87387,0.952809,0,0.078939,0.520436,0.039062,0.070312,0.075056
11,282,0.87387,nan,1,nan,nan,nan,nan,nan
11,464,0.823562,0.65952,0,0.164042,0.34032,0.054688,0.101562,0.160696
11,464,0.823562,0.570014,0,0.253548,0.447069,0.03125,0.070312,0.0699
11,103,0.822579,0.956826,0,0.134247,0.237062,0.085938,nan,0.362513
11,103,0.822579,0.952548,0,0.129969,0.535254,0.03125,0.0625,0.058383
11,315,0.634187,0.662662,0,0.028475,0.375594,0.234375,0.460938,0.624012
11,315,0.634187,0.773076,0,0.138889,0.293229,0.351562,nan,1.198933
11,158,0.909535,0.973907,0,0.064371,0.432372,0.023438,0.046875,0.054208
11,158,0.909535,0.809987,0,0.099548,0.693403,0.039062,0.070312,0.056334
11,403,0.817426,nan,1,nan,nan,nan,nan,nan
11,403,0.817426,nan,1,nan,nan,nan,nan,nan
11,134,0.505101,0.144341,0,0.36076,0.47464,0.140625,0.289062,0.296277
11,134,0.505101,0.37382,0,0.131281,0.12725,0.523438,nan,4.113462
11,195,0.837647,0.883323,0,0.045675,0.376997,0.039062,0.0625,0.103614
11,195,0.837647,0.876193,0,0.038546,0.528492,0.015625,0.023438,0.029565
11,327,0.800658,nan,1,nan,nan,nan,nan,nan
11,327,0.800658,0.961583,0,0.160925,0.618533,0.0625,nan,0.101046
11,178,0.892432,0.990203,0,0.097771,0.574338,0.023438,nan,0.040809
11,178,0.892432,nan,1,nan,nan,nan,nan,nan
11,73,0.419103,0.319976,0,0.099127,0.577467,0.09375,0.1875,0.162347
11,73,0.419103,0.318995,0,0.100107,0.570603,0.09375,0.1875,0.1643
11,309,0.362252,nan,1,nan,nan,nan,nan,nan
11,309,0.362252,nan,1,nan,nan,nan,nan,nan
11,336,0.503539,0.596923,0,0.093384,0.445741,0.203125,0.390625,0.455702
11,336,0.503539,0.555396,0,0.051857,0.564349,0.164062,0.296875,0.29071
11,204,0.791688,0.68447,0,0.107218,0.684987,0.03125,0.0625,0.045621
11,204,0.791688,0.730832,0,0.060856,0.623357,0.039062,0.078125,0.062664
11,439,0.835086,0.9253,0,0.090214,0.523546,0.039062,0.054688,0.07461
11,439,0.835086,nan,1,nan,nan,nan,nan,nan
11,422,0.367248,0.670369,0,0.303122,0.54792,0.09375,0.203125,0.171102
11,422,0.367248,0.572253,0,0.205006,0.674205,0.101562,0.195312,0.15064
11,44,0.574958,nan,1,nan,nan,nan,nan,nan
11,44,0.574958,nan,1,nan,nan,nan,nan,nan
11,441,0.884437,0.69732,0,0.187117,0.607221,0.03125,0.054688,0.051464
11,441,0.884437,0.649734,0,0.234703,0.630974,0.039062,0.070312,0.061907
11,57,0.790574,0.387759,0,0.402815,0.655403,0.054688,0.101562,0.083442
11,57,0.790574,0.385644,0,0.40493,0.644358,0.054688,0.101562,0.084872
11,379,0.770995,0.948071,0,0.177076,0.196196,nan,nan,nan
11,379,0.770995,0.451522,0,0.319473,0.789751,0.078125,0.132812,0.098924
11,40,0.759728,nan,1,nan,nan,nan,nan,nan
11,40,0.759728,nan,1,nan,nan,nan,nan,nan
11,72,0.857516,nan,1,nan,nan,nan,nan,nan
11,72,0.857516,0.951369,0,0.093853,0.462715,0.023438,0.039062,0.050653
11,281,0.891871,0.946851,0,0.054979,0.550773,0.039062,0.054688,0.070922
11,281,0.891871,0.789245,0,0.102627,0.66698,0.015625,0.03125,0.023426
11,284,0.829259,0.750556,0,0.078703,0.506453,0.046875,0.085938,0.092555
11,284,0.829259,0.702849,0,0.12641,0.496165,0.085938,0.164062,0.173204
11,459,0.820413,0.608806,0,0.211607,0.637021,0.03125,0.054688,0.049056
11,459,0.820413,0.814664,0,0.005749,0.532459,0.039062,0.070312,0.073362
