seed,parent,t_star,miss,abserr,kink_count,kink_dist,n_kinks_path,theta_on_kink
11,454,0.832353,1,nan,4,0.015304,19,nan
11,454,0.832353,1,nan,4,0.031571,23,nan
11,365,0.80104,1,nan,4,0.015883,18,nan
11,365,0.80104,1,nan,8,0.000258,28,nan
11,491,0.42092,1,nan,1,0.088889,4,nan
11,491,0.42092,1,nan,1,0.096702,8,nan
11,249,0.81953,0,0.090298,8,0.003123,31,0
11,249,0.81953,0,0.160179,7,0.020314,28,1
11,330,0.365548,0,0.071621,0,nan,6,0
11,330,0.365548,0,0.067173,2,0.025704,8,1
11,424,0.84298,0,0.298414,6,0.010949,24,0
11,424,0.84298,0,0.23752,7,0.003137,22,1
11,141,0.853353,0,0.040024,8,0.002116,27,0
11,141,0.853353,0,0.008038,9,0.002116,28,0
11,347,0.652528,1,nan,6,0.007628,20,nan
11,347,0.652528,0,0.248741,4,0.031066,23,0
11,460,0.873178,0,0.091755,4,0.036979,24,0
11,460,0.873178,0,0.249048,1,0.009896,20,1
11,133,0.831985,0,0.049583,9,0.007766,27,1
11,133,0.831985,1,nan,8,0.007859,27,nan
11,192,0.276128,0,0.172945,0,nan,4,0
11,192,0.276128,0,0.201162,0,nan,3,0
11,125,0.511168,0,0.375439,2,0.016175,9,0
11,125,0.511168,0,0.347963,4,0.016175,9,0
11,159,0.821525,1,nan,6,0.002694,23,nan
11,159,0.821525,1,nan,5,0.005118,19,nan
11,167,0.515838,0,0.032,3,0.019744,13,0
11,167,0.515838,0,0.135359,2,0.050569,13,0
11,95,0.710595,0,0.278088,3,0.058936,13,0
11,95,0.710595,0,0.278065,2,0.004249,15,0
11,273,0.721553,1,nan,3,0.008916,8,nan
11,273,0.721553,1,nan,1,0.092647,4,nan
11,240,0.265765,1,nan,1,0.074359,9,nan
11,240,0.265765,1,nan,2,0.011859,8,nan
11,388,0.849727,0,0.009148,3,0.009883,18,1
11,388,0.849727,0,0.1136,4,0.009883,19,0
11,468,0.863397,1,nan,5,0.000115,17,nan
11,468,0.863397,0,0.047747,5,0.01574,20,0
11,275,0.285687,1,nan,1,0.038531,8,nan
11,275,0.285687,1,nan,1,0.030719,7,nan
11,282,0.87387,0,0.078939,3,0.036286,28,0
11,282,0.87387,1,nan,8,0.002776,26,nan
11,464,0.823562,0,0.164042,5,0.00847,23,0
11,464,0.823562,0,0.253548,4,0.014968,23,0
11,103,0.822579,0,0.134247,5,0.001639,20,0
11,103,0.822579,0,0.129969,6,0.001639,20,0
11,315,0.634187,0,0.028475,0,nan,5,0
11,315,0.634187,0,0.138889,0,nan,6,0
11,158,0.909535,0,0.064371,11,0.000621,31,0
11,158,0.909535,0,0.099548,5,0.007192,30,1
11,403,0.817426,1,nan,2,0.024457,17,nan
11,403,0.817426,1,nan,5,0.030231,16,nan
11,134,0.505101,0,0.36076,1,0.07693,9,0
11,134,0.505101,0,0.131281,0,nan,9,0
11,195,0.837647,0,0.045675,10,0.010009,33,0
11,195,0.837647,0,0.038546,11,0.017821,33,1
11,327,0.800658,1,nan,1,0.062377,14,nan
11,327,0.800658,0,0.160925,1,0.054564,18,0
11,178,0.892432,0,0.097771,6,0.005713,27,1
