parent,t_star,terr_s2001,terr_s2002,terr_s2003,terr_s2004,terr_s2005,terr_s2006,terr_s2007,terr_s2008,terr_ens
454,0.832359,,,0.00885,,,,,,
454,0.832359,,,,,,,,,
365,0.801033,,,,,,,,,
365,0.801033,,0.091263,0.012711,,,,,,
491,0.420921,,,,,,,,,
491,0.420921,,,,,,,,,
249,0.819527,0.126541,,0.041199,0.132904,0.043976,0.083252,0.109283,0.131134,0.085846
249,0.819527,0.114441,0.029709,,0.1073,0.091141,0.081406,0.06395,,0.054657
330,0.365547,,,0.100021,,,,,,
330,0.365547,,0.094208,0.189575,,,,,,0.110291
424,0.842979,0.157806,0.239395,0.045074,0.098358,0.055283,0.281845,0.124237,0.258545,0.120621
424,0.842979,0.257019,0.15184,0.222687,0.12587,0.117111,0.201431,0.186874,0.404312,0.203979
141,0.853355,0.087814,,,,,,,,
141,0.853355,0.016754,0.045273,0.29483,0.061188,0.042618,0.049026,0.144257,0.134644,0.072754
347,0.652534,0.235764,,,0.285385,0.037781,0.226852,,0.152725,0.315475
347,0.652534,0.103729,,0.21991,0.129776,0.155121,0.002914,0.182938,0.226852,0.168396
460,0.873177,0.116592,0.279221,0.334183,0.492767,,0.332382,0.2659,0.245682,0.268127
460,0.873177,0.314316,0.310501,0.185364,0.39209,0.206161,0.109848,0.2117,0.27562,0.238815
133,0.831978,0.05455,0.06366,,0.071396,,0.014069,,,
133,0.831978,,,,,,,,,
192,0.276131,,,,,,,,,0.44162
192,0.276131,,,,,,,,,0.549194
125,0.511162,,,,,,,,,
125,0.511162,,,,,,,,,
159,0.821526,,,,,,0.163803,,,
159,0.821526,,,0.169846,,0.011551,,,,
167,0.515831,0.343246,0.155334,0.066238,0.280899,0.067368,0.179184,0.300674,,0.070358
167,0.515831,,0.069382,0.220352,0.272018,0.167328,0.003998,0.336578,,0.021469
95,0.710594,0.104858,0.119263,0.249252,0.14859,0.068039,0.053467,0.047897,0.087769,0.019562
95,0.710594,0.069153,0.275726,0.134201,0.264389,0.073395,0.052734,0.208191,0.07756,0.047836
273,0.72155,,,,,,,,,
273,0.72155,,,,,,,,,
240,0.26577,,0.29895,,,,0.630692,,,
240,0.26577,,0.212021,,,,,,,
388,0.849724,0.010986,0.002258,0.014923,0.011887,0.012772,0.016434,0.052185,0.004623,0.006729
388,0.849724,0.0513,0.003815,,0.060379,0.037689,0.261307,0.039276,0.053299,0.011993
468,0.863396,0.285385,0.17247,0.311569,0.064346,0.052002,,0.070862,,0.002838
468,0.863396,0.177704,0.085495,0.125793,0.027649,0.064056,0.035477,0.099136,0.070053,0.079865
275,0.285683,0.457855,,,,,0.385712,,,
275,0.285683,0.408493,0.705322,,,0.700958,0.355682,,,
282,0.873863,,0.113602,,,,,,,
282,0.873863,,,,,,,,0.043137,
464,0.823555,0.014984,,,0.276245,0.342712,0.206024,0.463516,0.222107,0.147003
464,0.823555,0.12883,0.245102,,0.309372,0.276779,0.036087,0.336624,0.071579,0.170349
103,0.822578,0.147141,0.037201,0.093185,0.083969,0.074997,0.12825,0.007385,0.034653,0.053238
103,0.822578,0.034592,0.017929,0.056152,,0.050323,0.124069,,0.107544,0.097534
315,0.634193,0.078674,0.030533,0.416733,0.563889,0.195953,,0.345322,0.277039,0.144409
315,0.634193,0.039276,0.194199,0.327484,0.558609,0.241562,0.112076,0.338943,,0.154282
158,0.909538,0.018936,0.183594,0.071457,0.026215,,0.029099,,,0.005325
158,0.909538,0.069229,0.147629,0.191147,0.001266,0.058792,0.165115,0.034592,0.070099,0.102753
403,0.817421,,,,,,,,,
403,0.817421,,,,,,,,,
134,0.505104,,,,0.166489,0.384567,0.001389,0.503845,,0.08197
134,0.505104,,,,0.275085,,0.038254,0.503571,,0.059219
195,0.837654,0.101501,0.101959,0.043655,0.0867,0.045914,0.126602,0.018005,,0.076523
195,0.837654,0.132477,0.161713,0.099945,0.094574,0.077362,0.159561,,0.075851,0.118607
327,0.800652,0.028412,,0.044586,0.021774,0.142944,0.007568,0.072159,0.030182,0.003433
327,0.800652,0.048416,,,0.006073,,0.10643,,0.09671,
178,0.892433,0.068268,,,0.077332,0.105972,,0.056305,,
178,0.892433,,,,,,,,,
73,0.419106,0.025146,0.019989,0.295502,0.021042,0.072128,0.329239,,0.267838,0.140274
73,0.419106,0.084198,0.129593,,0.021896,0.220337,,,,0.213608
309,0.362251,,0.290634,0.132004,0.283218,,0.138519,,,0.29982
309,0.362251,,0.284821,0.052673,0.305588,,0.071091,,0.018753,0.311386
336,0.503532,0.367523,0.043762,0.229843,0.418655,,0.449692,,0.099564,0.351929
336,0.503532,0.183365,0.050415,0.183228,0.151199,0.473358,0.457062,,0.153961,0.229874
204,0.791695,0.128616,0.130081,0.058212,0.099686,0.250549,0.087982,0.10495,0.075989,0.013489
204,0.791695,0.090652,0.055603,0.064774,0.010895,0.075851,0.020828,,0.01622,0.044525
439,0.835091,,0.132202,,0.097382,0.005936,0.086853,,0.156921,0.125458
439,0.835091,,,,,,,,,
422,0.367241,0.137466,,0.458038,,0.426773,0.038025,0.185455,0.458145,0.299591
422,0.367241,0.092041,,0.118942,0.532562,0.212799,0.069473,0.269272,0.300003,0.22345
44,0.574959,,,,,,,,0.251465,
44,0.574959,,,0.34642,,,,,0.02153,
441,0.884438,0.173477,0.295135,0.174606,0.261185,0.137451,0.357468,0.121872,0.293716,0.237488
441,0.884438,0.256287,0.334412,0.216431,0.354691,0.232025,0.427277,0.288422,0.228317,0.309433
57,0.790581,0.372086,0.204712,0.440659,0.04509,0.178711,0.454468,0.303101,0.177383,0.269501
57,0.790581,0.336502,0.194305,0.362747,0.159988,0.186127,0.414658,0.31546,0.231628,0.26683
379,0.770988,,0.020294,0.284241,0.451202,,0.640472,0.667725,0.540634,0.230286
379,0.770988,0.322723,0.182068,0.353027,0.486206,0.223557,0.664276,0.670959,0.598236,0.40535
40,0.759727,,,,,,,0.070145,,
40,0.759727,,,,,,,0.033508,,
72,0.857521,0.032318,0.01561,0.015442,,0.026932,0.085434,0.031937,0.111984,0.046097
72,0.857521,0.04718,0.129532,,,,,,0.05098,
281,0.891869,0.231415,0.110077,0.17009,0.166748,0.203644,0.018997,0.286514,0.139633,0.154694
281,0.891869,0.075256,0.083237,0.134064,0.159698,0.252625,0.037109,0.162674,0.186707,0.125259
284,0.829262,0.049301,0.335266,0.094208,0.011169,0.065979,0.279633,0.191788,0.20137,0.113419
284,0.829262,0.186493,0.380035,0.0112,0.232681,0.33606,0.479843,0.266861,0.195419,0.263458
459,0.820412,0.199356,0.016052,0.248856,0.163055,0.178055,0.085739,0.317535,0.100967,0.154114
459,0.820412,0.118881,0.076202,0.213547,0.105087,0.057053,0.025467,0.183929,0.020905,0.095627
262,0.667625,0.131531,,,,,,,,
262,0.667625,0.224106,,,,,,,0.280426,
418,0.571327,0.081955,0.146545,0.54158,0.31543,0.104797,0.043762,0.265503,,0.238754
418,0.571327,0.381989,,0.522232,0.043808,0.011292,,,,0.020294
383,0.79493,0.090668,0.137115,0.146942,0.128952,,0.161133,0.311935,0.205643,0.127945
383,0.79493,0.030334,0.210556,0.054947,0.132675,0.136658,0.107025,0.13945,0.118896,0.125336
24,0.291893,,,,0.261963,,,,,
24,0.291893,,0.064636,,0.257629,,,,,
26,0.773216,0.528076,0.41748,,0.714874,0.451981,0.760391,0.633499,0.525482,0.641861
26,0.773216,0.471924,0.392136,,0.675156,0.4095,0.757553,0.641586,0.484085,0.612778
22,0.760017,0.070206,0.206436,0.293686,0.169052,0.026474,0.122253,0.09436,0.138229,0.044113
22,0.760017,0.055511,0.012222,,,0.009857,0.14592,0.056091,0.229904,0.027359
435,0.738136,,,,,0.2332,,,,
435,0.738136,0.079559,,,,,,,,
186,0.845467,0.040298,0.138718,0.133133,0.003876,0.021286,0.006317,0.100998,,0.068069
186,0.845467,0.032516,,,,0.071579,0.053894,,,
323,0.788872,0.086182,0.24881,0.01326,0.253113,0.081451,0.149689,0.139481,0.182556,0.149521
323,0.788872,0.154388,0.208923,0.191895,0.367462,0.120071,0.12764,0.277878,0.265823,0.206863
92,0.847527,0.310852,0.206665,0.160217,0.243362,0.27359,0.43866,0.246124,0.346863,0.272537
92,0.847527,0.263748,0.006958,0.08493,,0.264938,0.36319,0.152283,0.22113,0.172256
15,0.503227,0.110504,0.177444,0.159103,0.086105,0.274734,0.492172,,0.144867,0.179367
15,0.503227,0.103043,0.070023,0.269226,0.094391,0.267853,0.489944,,0.100403,0.141708
70,0.774666,,,,0.019882,0.188278,0.136124,0.043594,0.119217,
70,0.774666,0.141708,0.145157,,,,0.198547,0.219177,0.054718,0.216324
359,0.676903,,,,,,,,,
359,0.676903,,,,,,,,,
366,0.713844,0.112015,0.103592,0.228195,0.038712,0.061386,0.06662,0.039047,0.044769,0.020615
366,0.713844,0.181931,0.057404,0.138428,0.052841,0.213181,0.061478,0.059021,0.119385,0.007217
77,0.824348,0.316666,0.035461,,0.229294,0.132187,0.081955,0.422745,0.132172,0.114059
77,0.824348,0.107254,0.012894,0.000717,0.002899,0.164703,0.057144,0.29158,0.007446,0.080521
107,0.393394,,0.103455,,0.308929,,0.269531,,,0.057083
107,0.393394,,0.22937,,,,0.288773,,,0.067764
440,0.811348,0.061813,0.171448,0.14502,0.066452,0.077454,0.092209,0.119736,0.124084,0.05159
440,0.811348,0.01181,0.113052,0.094055,0.034119,0.05777,0.07196,0.129776,0.069595,0.060074
502,0.510475,0.10434,,,,0.031891,,,,
502,0.510475,0.264511,,,,0.197113,,,,
411,0.756111,,,,,,,,,
411,0.756111,,,,,,,,,
456,0.849556,0.101685,0.0298,0.090942,0.004822,0.113693,0.056824,0.03476,0.033951,0.043213
456,0.849556,0.181702,0.265625,0.122421,0.015472,0.277939,0.174835,0.034912,,0.158524
150,0.866982,,,,,,0.111633,,,
150,0.866982,0.034622,0.210159,0.147583,0.074509,,,0.003876,0.223541,0.067139
96,0.532433,0.322891,,,,0.331711,0.09079,0.199814,,0.010971
96,0.532433,0.209091,,,0.445984,0.32077,0.18364,,,0.023911
39,0.475548,,0.23201,0.045929,,,,,,
39,0.475548,,0.132355,,,,,,,
209,0.793556,,0.005753,0.132828,0.073013,0.023804,0.065948,,0.144653,0.124634
209,0.793556,0.171112,0.040482,0.039612,,0.1604,0.044571,0.198105,0.018463,0.022888
264,0.423698,,0.010178,,0.091736,0.31424,,0.077545,,0.352814
264,0.423698,,0.010498,,0.029282,0.287704,,0.00943,,0.354004
415,0.884987,,0.059814,,,,,,,
415,0.884987,0.087784,,0.094727,,,,0.078003,0.101288,
10,0.411522,0.150238,0.344757,,0.197037,,0.244904,0.133865,0.272171,0.24733
10,0.411522,0.226959,0.486694,,0.284622,,0.384521,0.089676,0.257309,0.371002
222,0.860069,,0.082138,,,,,,,
222,0.860069,,,,,,,0.124802,,
283,0.35302,,,,,,,,,
283,0.35302,,,,,,,,,
37,0.540245,,,0.087357,0.312332,0.154068,,,0.129471,0.344528
37,0.540245,,,0.077103,0.182022,,,,0.109558,
241,0.487923,,,,,0.212585,,,,
241,0.487923,,,,,0.14061,,,,
413,0.702965,0.227463,0.08371,0.169952,0.089325,0.006699,0.090591,0.065292,0.081284,0.029739
413,0.702965,,0.01973,,0.050797,0.20491,0.239227,,,0.162796
451,0.900475,0.123047,0.000702,0.088959,0.030151,0.037308,0.135712,0.105347,0.107071,0.072113
