seed,arm,qid,parent,logit_A,logit_B,logit_AB,correct_A,correct_B,correct_AB,J
11,raw_clean,0,173,18.244537,24.282488,18.653481,1,1,0,0
11,raw_clean,1,433,-17.827484,-14.639125,-17.042181,0,0,1,0
11,raw_clean,2,433,-17.827484,-15.249416,-16.832432,0,0,1,0
11,raw_clean,3,433,-14.639125,-15.249416,-13.422968,0,0,1,0
11,raw_clean,4,105,32.469528,34.385933,36.579037,1,1,0,0
11,raw_clean,5,161,14.770097,10.804385,20.041433,0,0,1,0
11,raw_clean,6,336,16.761944,6.077943,11.786037,0,0,1,0
11,raw_clean,7,136,10.294519,0.332345,2.223717,1,1,0,0
11,raw_clean,8,136,10.294519,11.031458,12.537981,1,1,0,0
11,raw_clean,9,136,10.294519,12.965506,14.381317,1,1,0,0
11,raw_clean,10,136,0.332345,11.031458,2.628821,1,1,0,0
11,raw_clean,11,246,-4.339745,-0.430883,-6.163133,0,0,1,0
11,raw_clean,12,246,-4.339745,-7.122758,-12.058004,0,0,1,0
11,raw_clean,13,246,-4.339745,-1.842381,-4.351735,0,0,1,0
11,raw_clean,14,246,-0.430883,-7.122758,-8.626892,0,0,1,0
11,raw_clean,15,246,-0.430883,-1.842381,-1.665355,0,0,1,0
11,raw_clean,16,246,-7.122758,-1.842381,-8.637882,0,0,1,0
11,raw_clean,17,331,-6.675545,-10.023076,-10.44789,0,0,1,0
11,raw_clean,18,331,-6.675545,-6.252864,-6.840619,0,0,1,0
11,raw_clean,19,331,-6.675545,-9.215539,-9.148844,0,0,1,0
11,raw_clean,20,331,-10.023076,-6.252864,-10.251622,0,0,1,0
11,raw_clean,21,331,-10.023076,-9.215539,-13.758055,0,0,1,0
11,raw_clean,22,331,-6.252864,-9.215539,-9.26358,0,0,1,0
11,raw_clean,23,81,0.838851,0.775233,-3.846127,1,1,1,1
11,raw_clean,24,81,0.838851,1.659994,-3.892118,1,1,1,1
11,raw_clean,25,81,0.775233,1.659994,-4.210751,1,1,1,1
11,raw_clean,26,357,6.047102,-2.141229,-2.722651,1,0,1,0
11,raw_clean,27,106,-12.040105,-15.618013,-14.768435,0,0,1,0
11,raw_clean,28,485,1.758879,1.856714,-1.005581,1,1,1,1
11,raw_clean,29,485,1.856714,2.80691,0.010256,1,1,0,0
11,raw_clean,30,418,14.723932,8.230515,16.972109,0,0,1,0
11,raw_clean,31,418,14.723932,8.883556,17.507843,0,0,1,0
11,raw_clean,32,109,14.257383,15.081028,13.785545,1,1,0,0
11,raw_clean,33,13,-10.060676,-7.302939,-13.116367,0,0,1,0
11,raw_clean,34,326,3.546937,9.802211,4.035294,1,1,0,0
11,raw_clean,35,285,12.018137,17.103914,16.59584,0,0,1,0
11,raw_clean,36,285,12.018137,13.461098,13.264609,0,0,1,0
11,raw_clean,37,285,12.018137,13.491569,13.248983,0,0,1,0
11,raw_clean,38,342,3.162506,0.237878,-3.995499,1,1,1,1
11,raw_clean,39,230,36.710697,31.017899,30.618742,1,1,0,0
11,raw_clean,40,174,11.110178,23.808048,16.546501,1,1,0,0
11,raw_clean,41,149,-1.335845,-5.900198,-11.353168,0,0,1,0
11,raw_clean,42,362,2.664933,3.754434,4.64353,0,0,1,0
11,raw_clean,43,362,2.664933,2.983871,4.39049,0,0,1,0
11,raw_clean,44,362,3.754434,2.983871,4.80193,0,0,1,0
11,raw_clean,45,399,7.449612,6.312044,1.462972,1,1,0,0
11,raw_clean,46,399,7.449612,4.281398,-1.191394,1,1,1,1
11,raw_clean,47,399,6.312044,4.281398,-1.648109,1,1,1,1
11,raw_clean,48,39,24.432222,20.830896,21.119602,0,0,1,0
11,raw_clean,49,84,21.448027,27.185656,25.464626,1,1,0,0
11,raw_clean,50,84,21.448027,23.39872,21.931299,1,1,0,0
