architecture,graph_id,role_group,epsilon,n_matches,n_model_seeds,full_mean_raw_scg,full_mean_normalized_scg,direction,match_positive_fraction,match_negative_fraction,match_sd_normalized_scg,match_min_normalized_scg,match_max_normalized_scg,lomo_same_sign_fraction,lomo_min_raw_scg,lomo_max_raw_scg,seed_mean_normalized_scg,seed_range_normalized_scg,seed_positive_fraction,frequency_residual_mean,topology_residual_mean
DeepSets-AE,delaunay,defender,0.25,10,3,-1.20923649667e-06,-4.83694598667e-06,negative,0.4,0.6,8.83754431771e-06,-1.92222294507e-05,5.38636202836e-06,1,-1.49321727486e-06,-8.09645289335e-07,-4.83694598667e-06,6.50923522399e-06,0,0.345427902686,2.21105502395
DeepSets-AE,delaunay,defender,0.5,10,3,-4.59087419867e-06,-9.18174839734e-06,negative,0.4,0.6,1.76872308814e-05,-3.16049686815e-05,1.36396924003e-05,1,-5.85873202076e-06,-3.34513973844e-06,-9.18174839734e-06,1.72761874372e-05,0,0.351729866779,2.24183580152
DeepSets-AE,delaunay,forward,0.25,10,3,5.13718468445e-07,2.05487387378e-06,positive,0.5,0.5,1.39789569736e-05,-1.81572110045e-05,2.95596079783e-05,0.9,-2.50301923348e-07,1.07516527062e-06,2.05487387378e-06,9.09517778527e-07,1,0.360368703569,0.690189462601
DeepSets-AE,delaunay,forward,0.5,10,3,1.27245160997e-06,2.54490321994e-06,positive,0.5,0.5,2.35370382802e-05,-3.52944646563e-05,4.6236874306e-05,0.9,-1.15488011704e-06,3.3746387142e-06,2.54490321994e-06,3.18332915259e-06,1,0.371616079477,0.679809945356
DeepSets-AE,delaunay,midfielder,0.25,10,3,4.22501972726e-06,1.69000789091e-05,positive,1,0,8.35608075582e-06,3.81946563721e-06,3.35295995076e-05,1,3.76308859953e-06,4.58837009593e-06,1.69000789091e-05,1.06695249632e-05,1,0.398868289609,1.27773887221
DeepSets-AE,delaunay,midfielder,0.5,10,3,1.56616722242e-05,3.13233444485e-05,positive,1,0,1.5071086442e-05,6.09518730477e-06,6.57637914022e-05,1,1.37483140602e-05,1.706323651e-05,3.13233444485e-05,2.43176621026e-05,1,0.405960554748,1.32183679885
DeepSets-AE,knn4,defender,0.25,10,3,-2.07189003132e-06,-8.28756012526e-06,negative,0.3,0.7,1.35571007689e-05,-3.06137146488e-05,8.45043508856e-06,1,-2.53683434281e-06,-1.45171907233e-06,-8.28756012526e-06,1.24599315597e-05,0,0.417959898171,2.05136746112
DeepSets-AE,knn4,defender,0.5,10,3,-9.78978302446e-06,-1.95795660489e-05,negative,0.3,0.7,2.59008836675e-05,-6.74742640871e-05,1.17182731628e-05,1,-1.15285518696e-05,-7.12896646678e-06,-1.95795660489e-05,2.59754814891e-05,0,0.430835884278,1.9377009334
DeepSets-AE,knn4,forward,0.25,10,3,5.97909883551e-07,2.39163953421e-06,positive,0.6,0.4,1.32649621296e-05,-1.38005165205e-05,2.54975424873e-05,0.9,-4.39207540332e-08,1.04769199618e-06,2.39163953421e-06,4.03935640081e-06,0.666666666667,0.456586284112,0.729270442815
DeepSets-AE,knn4,forward,0.5,10,3,3.39631981541e-06,6.79263963083e-06,positive,0.6,0.4,2.65712565833e-05,-1.98047470163e-05,6.06893419145e-05,1,4.0205857743e-07,4.87395240692e-06,6.79263963083e-06,6.77575869571e-06,1,0.461483061238,0.729870734078
DeepSets-AE,knn4,midfielder,0.25,10,3,3.43817388928e-06,1.37526955571e-05,positive,0.9,0.1,9.20269651979e-06,-3.75323825412e-06,3.00248463949e-05,1,2.98616969934e-06,3.92444982848e-06,1.37526955571e-05,8.2640450996e-06,1,0.465635765557,1.43413858943
DeepSets-AE,knn4,midfielder,0.5,10,3,1.44593549217e-05,2.89187098433e-05,positive,1,0,1.38331874549e-05,4.97668680519e-06,5.23421126352e-05,1,1.31580547665e-05,1.57894673127e-05,2.89187098433e-05,2.02864390072e-05,1,0.467983445197,1.48347493826
GAT-small-AE,delaunay,defender,0.25,10,3,-4.58945553233e-06,-1.83578221293e-05,negative,0.3,0.7,2.87555516615e-05,-6.56359725528e-05,2.17559832882e-05,1,-5.70372790504e-06,-3.27617357612e-06,-1.83578221293e-05,3.007699504e-05,0,0.345427902686,2.21105502395
GAT-small-AE,delaunay,defender,0.5,10,3,-1.76899358135e-05,-3.53798716271e-05,negative,0.3,0.7,6.26666250946e-05,-0.000159265139164,4.31745206539e-05,1,-2.2054068718e-05,-1.08074209504e-05,-3.53798716271e-05,6.31206244766e-05,0.333333333333,0.351729866779,2.24183580152
GAT-small-AE,delaunay,forward,0.25,10,3,-7.43188213084e-06,-2.97275285234e-05,negative,0.2,0.8,2.98885226154e-05,-9.5666623583e-05,5.56733873155e-06,1,-8.41229511014e-06,-5.6002406014e-06,-2.97275285234e-05,5.042941023e-05,0,0.360368703569,0.690189462601
GAT-small-AE,delaunay,forward,0.5,10,3,-3.2021924872e-05,-6.4043849744e-05,negative,0.2,0.8,6.34927607564e-05,-0.000206520160039,8.63371880401e-06,1,-3.60595675691e-05,-2.41065743e-05,-6.4043849744e-05,0.00010812702439,0,0.371616079477,0.679809945356
GAT-small-AE,delaunay,midfielder,0.25,10,3,2.28582886127e-05,9.14331544508e-05,positive,1,0,3.40906228011e-05,4.93482307152e-05,0.000149665408664,1,2.12407259956e-05,2.4027314272e-05,9.14331544508e-05,1.67089220998e-05,1,0.398868289609,1.27773887221
GAT-small-AE,delaunay,midfielder,0.5,10,3,9.17784188567e-05,0.000183556837713,positive,1,0,6.85801525866e-05,9.40484385337e-05,0.000296029598201,1,8.55299321629e-05,9.67511077e-05,0.000183556837713,3.69652378277e-05,1,0.405960554748,1.32183679885
