factor,background_key,level_a,level_b,value_a_normalized_scg,value_b_normalized_scg,contrast_normalized_scg,abs_contrast_normalized_scg
architecture,graph_id=delaunay|role_group=defender|epsilon=0.25,DeepSets-AE,GAT-small-AE,-4.83694598667e-06,-1.83578221293e-05,-1.35208761426e-05,1.35208761426e-05
architecture,graph_id=delaunay|role_group=defender|epsilon=0.25,DeepSets-AE,Phase-GAT,-4.83694598667e-06,-6.55643592294e-05,-6.07274132428e-05,6.07274132428e-05
architecture,graph_id=delaunay|role_group=defender|epsilon=0.25,GAT-small-AE,Phase-GAT,-1.83578221293e-05,-6.55643592294e-05,-4.72065371001e-05,4.72065371001e-05
architecture,graph_id=delaunay|role_group=defender|epsilon=0.5,DeepSets-AE,GAT-small-AE,-9.18174839734e-06,-3.53798716271e-05,-2.61981232297e-05,2.61981232297e-05
architecture,graph_id=delaunay|role_group=defender|epsilon=0.5,DeepSets-AE,Phase-GAT,-9.18174839734e-06,-9.64760611917e-05,-8.72943127943e-05,8.72943127943e-05
architecture,graph_id=delaunay|role_group=defender|epsilon=0.5,GAT-small-AE,Phase-GAT,-3.53798716271e-05,-9.64760611917e-05,-6.10961895646e-05,6.10961895646e-05
architecture,graph_id=delaunay|role_group=forward|epsilon=0.25,DeepSets-AE,GAT-small-AE,2.05487387378e-06,-2.97275285234e-05,-3.17824023971e-05,3.17824023971e-05
architecture,graph_id=delaunay|role_group=forward|epsilon=0.25,DeepSets-AE,Phase-GAT,2.05487387378e-06,7.1243931449e-05,6.91890575752e-05,6.91890575752e-05
architecture,graph_id=delaunay|role_group=forward|epsilon=0.25,GAT-small-AE,Phase-GAT,-2.97275285234e-05,7.1243931449e-05,0.000100971459972,0.000100971459972
architecture,graph_id=delaunay|role_group=forward|epsilon=0.5,DeepSets-AE,GAT-small-AE,2.54490321994e-06,-6.4043849744e-05,-6.65887529639e-05,6.65887529639e-05
architecture,graph_id=delaunay|role_group=forward|epsilon=0.5,DeepSets-AE,Phase-GAT,2.54490321994e-06,0.000119757073371,0.000117212170151,0.000117212170151
architecture,graph_id=delaunay|role_group=forward|epsilon=0.5,GAT-small-AE,Phase-GAT,-6.4043849744e-05,0.000119757073371,0.000183800923115,0.000183800923115
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.25,DeepSets-AE,GAT-small-AE,1.69000789091e-05,9.14331544508e-05,7.45330755417e-05,7.45330755417e-05
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.25,DeepSets-AE,Phase-GAT,1.69000789091e-05,5.2817534398e-05,3.5917455489e-05,3.5917455489e-05
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.25,GAT-small-AE,Phase-GAT,9.14331544508e-05,5.2817534398e-05,-3.86156200527e-05,3.86156200527e-05
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.5,DeepSets-AE,GAT-small-AE,3.13233444485e-05,0.000183556837713,0.000152233493265,0.000152233493265
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.5,DeepSets-AE,Phase-GAT,3.13233444485e-05,9.80124328627e-05,6.66890884142e-05,6.66890884142e-05
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.5,GAT-small-AE,Phase-GAT,0.000183556837713,9.80124328627e-05,-8.55444048506e-05,8.55444048506e-05
architecture,graph_id=knn4|role_group=defender|epsilon=0.25,DeepSets-AE,GAT-small-AE,-8.28756012526e-06,-2.3253647618e-05,-1.49660874927e-05,1.49660874927e-05
architecture,graph_id=knn4|role_group=defender|epsilon=0.25,DeepSets-AE,Phase-GAT,-8.28756012526e-06,-3.43609869977e-05,-2.60734268724e-05,2.60734268724e-05
architecture,graph_id=knn4|role_group=defender|epsilon=0.25,GAT-small-AE,Phase-GAT,-2.3253647618e-05,-3.43609869977e-05,-1.11073393797e-05,1.11073393797e-05
architecture,graph_id=knn4|role_group=defender|epsilon=0.5,DeepSets-AE,GAT-small-AE,-1.95795660489e-05,-5.24631807867e-05,-3.28836147378e-05,3.28836147378e-05
architecture,graph_id=knn4|role_group=defender|epsilon=0.5,DeepSets-AE,Phase-GAT,-1.95795660489e-05,-4.49996500062e-05,-2.54200839573e-05,2.54200839573e-05
architecture,graph_id=knn4|role_group=defender|epsilon=0.5,GAT-small-AE,Phase-GAT,-5.24631807867e-05,-4.49996500062e-05,7.46353078046e-06,7.46353078046e-06
architecture,graph_id=knn4|role_group=forward|epsilon=0.25,DeepSets-AE,GAT-small-AE,2.39163953421e-06,-3.24479710486e-05,-3.48396105828e-05,3.48396105828e-05
architecture,graph_id=knn4|role_group=forward|epsilon=0.25,DeepSets-AE,Phase-GAT,2.39163953421e-06,0.000107840241281,0.000105448601747,0.000105448601747
architecture,graph_id=knn4|role_group=forward|epsilon=0.25,GAT-small-AE,Phase-GAT,-3.24479710486e-05,0.000107840241281,0.00014028821233,0.00014028821233
architecture,graph_id=knn4|role_group=forward|epsilon=0.5,DeepSets-AE,GAT-small-AE,6.79263963083e-06,-5.46968329209e-05,-6.14894725517e-05,6.14894725517e-05
architecture,graph_id=knn4|role_group=forward|epsilon=0.5,DeepSets-AE,Phase-GAT,6.79263963083e-06,0.000207742794375,0.000200950154744,0.000200950154744
architecture,graph_id=knn4|role_group=forward|epsilon=0.5,GAT-small-AE,Phase-GAT,-5.46968329209e-05,0.000207742794375,0.000262439627295,0.000262439627295
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.25,DeepSets-AE,GAT-small-AE,1.37526955571e-05,6.1808026708e-05,4.80553311509e-05,4.80553311509e-05
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.25,DeepSets-AE,Phase-GAT,1.37526955571e-05,2.0398257731e-05,6.64556217385e-06,6.64556217385e-06
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.25,GAT-small-AE,Phase-GAT,6.1808026708e-05,2.0398257731e-05,-4.14097689771e-05,4.14097689771e-05
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.5,DeepSets-AE,GAT-small-AE,2.89187098433e-05,0.000127041830262,9.8123120419e-05,9.8123120419e-05
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.5,DeepSets-AE,Phase-GAT,2.89187098433e-05,3.10915158591e-05,2.17280601575e-06,2.17280601575e-06
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.5,GAT-small-AE,Phase-GAT,0.000127041830262,3.10915158591e-05,-9.59503144032e-05,9.59503144032e-05
epsilon,architecture=DeepSets-AE|graph_id=delaunay|role_group=defender,0.25,0.5,-4.83694598667e-06,-9.18174839734e-06,-4.34480241067e-06,4.34480241067e-06
epsilon,architecture=DeepSets-AE|graph_id=delaunay|role_group=forward,0.25,0.5,2.05487387378e-06,2.54490321994e-06,4.90029346155e-07,4.90029346155e-07
epsilon,architecture=DeepSets-AE|graph_id=delaunay|role_group=midfielder,0.25,0.5,1.69000789091e-05,3.13233444485e-05,1.44232655394e-05,1.44232655394e-05
epsilon,architecture=DeepSets-AE|graph_id=knn4|role_group=defender,0.25,0.5,-8.28756012526e-06,-1.95795660489e-05,-1.12920059236e-05,1.12920059236e-05
epsilon,architecture=DeepSets-AE|graph_id=knn4|role_group=forward,0.25,0.5,2.39163953421e-06,6.79263963083e-06,4.40100009662e-06,4.40100009662e-06
epsilon,architecture=DeepSets-AE|graph_id=knn4|role_group=midfielder,0.25,0.5,1.37526955571e-05,2.89187098433e-05,1.51660142862e-05,1.51660142862e-05
epsilon,architecture=GAT-small-AE|graph_id=delaunay|role_group=defender,0.25,0.5,-1.83578221293e-05,-3.53798716271e-05,-1.70220494977e-05,1.70220494977e-05
epsilon,architecture=GAT-small-AE|graph_id=delaunay|role_group=forward,0.25,0.5,-2.97275285234e-05,-6.4043849744e-05,-3.43163212207e-05,3.43163212207e-05
epsilon,architecture=GAT-small-AE|graph_id=delaunay|role_group=midfielder,0.25,0.5,9.14331544508e-05,0.000183556837713,9.21236832625e-05,9.21236832625e-05
epsilon,architecture=GAT-small-AE|graph_id=knn4|role_group=defender,0.25,0.5,-2.3253647618e-05,-5.24631807867e-05,-2.92095331687e-05,2.92095331687e-05
epsilon,architecture=GAT-small-AE|graph_id=knn4|role_group=forward,0.25,0.5,-3.24479710486e-05,-5.46968329209e-05,-2.22488618723e-05,2.22488618723e-05
epsilon,architecture=GAT-small-AE|graph_id=knn4|role_group=midfielder,0.25,0.5,6.1808026708e-05,0.000127041830262,6.52338035543e-05,6.52338035543e-05
epsilon,architecture=Phase-GAT|graph_id=delaunay|role_group=defender,0.25,0.5,-6.55643592294e-05,-9.64760611917e-05,-3.09117019623e-05,3.09117019623e-05
epsilon,architecture=Phase-GAT|graph_id=delaunay|role_group=forward,0.25,0.5,7.1243931449e-05,0.000119757073371,4.85131419223e-05,4.85131419223e-05
epsilon,architecture=Phase-GAT|graph_id=delaunay|role_group=midfielder,0.25,0.5,5.2817534398e-05,9.80124328627e-05,4.51948984647e-05,4.51948984647e-05
epsilon,architecture=Phase-GAT|graph_id=knn4|role_group=defender,0.25,0.5,-3.43609869977e-05,-4.49996500062e-05,-1.06386630086e-05,1.06386630086e-05
epsilon,architecture=Phase-GAT|graph_id=knn4|role_group=forward,0.25,0.5,0.000107840241281,0.000207742794375,9.99025530931e-05,9.99025530931e-05
epsilon,architecture=Phase-GAT|graph_id=knn4|role_group=midfielder,0.25,0.5,2.0398257731e-05,3.10915158591e-05,1.06932581281e-05,1.06932581281e-05
graph_id,architecture=DeepSets-AE|role_group=defender|epsilon=0.25,delaunay,knn4,-4.83694598667e-06,-8.28756012526e-06,-3.45061413859e-06,3.45061413859e-06
graph_id,architecture=DeepSets-AE|role_group=defender|epsilon=0.5,delaunay,knn4,-9.18174839734e-06,-1.95795660489e-05,-1.03978176516e-05,1.03978176516e-05
graph_id,architecture=DeepSets-AE|role_group=forward|epsilon=0.25,delaunay,knn4,2.05487387378e-06,2.39163953421e-06,3.36765660425e-07,3.36765660425e-07
graph_id,architecture=DeepSets-AE|role_group=forward|epsilon=0.5,delaunay,knn4,2.54490321994e-06,6.79263963083e-06,4.24773641089e-06,4.24773641089e-06
graph_id,architecture=DeepSets-AE|role_group=midfielder|epsilon=0.25,delaunay,knn4,1.69000789091e-05,1.37526955571e-05,-3.14738335194e-06,3.14738335194e-06
graph_id,architecture=DeepSets-AE|role_group=midfielder|epsilon=0.5,delaunay,knn4,3.13233444485e-05,2.89187098433e-05,-2.40463460519e-06,2.40463460519e-06
graph_id,architecture=GAT-small-AE|role_group=defender|epsilon=0.25,delaunay,knn4,-1.83578221293e-05,-2.3253647618e-05,-4.89582548869e-06,4.89582548869e-06
graph_id,architecture=GAT-small-AE|role_group=defender|epsilon=0.5,delaunay,knn4,-3.53798716271e-05,-5.24631807867e-05,-1.70833091597e-05,1.70833091597e-05
graph_id,architecture=GAT-small-AE|role_group=forward|epsilon=0.25,delaunay,knn4,-2.97275285234e-05,-3.24479710486e-05,-2.72044252527e-06,2.72044252527e-06
graph_id,architecture=GAT-small-AE|role_group=forward|epsilon=0.5,delaunay,knn4,-6.4043849744e-05,-5.46968329209e-05,9.3470168231e-06,9.3470168231e-06
graph_id,architecture=GAT-small-AE|role_group=midfielder|epsilon=0.25,delaunay,knn4,9.14331544508e-05,6.1808026708e-05,-2.96251277427e-05,2.96251277427e-05
graph_id,architecture=GAT-small-AE|role_group=midfielder|epsilon=0.5,delaunay,knn4,0.000183556837713,0.000127041830262,-5.6515007451e-05,5.6515007451e-05
graph_id,architecture=Phase-GAT|role_group=defender|epsilon=0.25,delaunay,knn4,-6.55643592294e-05,-3.43609869977e-05,3.12033722317e-05,3.12033722317e-05
graph_id,architecture=Phase-GAT|role_group=defender|epsilon=0.5,delaunay,knn4,-9.64760611917e-05,-4.49996500062e-05,5.14764111854e-05,5.14764111854e-05
graph_id,architecture=Phase-GAT|role_group=forward|epsilon=0.25,delaunay,knn4,7.1243931449e-05,0.000107840241281,3.65963098325e-05,3.65963098325e-05
graph_id,architecture=Phase-GAT|role_group=forward|epsilon=0.5,delaunay,knn4,0.000119757073371,0.000207742794375,8.79857210033e-05,8.79857210033e-05
graph_id,architecture=Phase-GAT|role_group=midfielder|epsilon=0.25,delaunay,knn4,5.2817534398e-05,2.0398257731e-05,-3.24192766671e-05,3.24192766671e-05
graph_id,architecture=Phase-GAT|role_group=midfielder|epsilon=0.5,delaunay,knn4,9.80124328627e-05,3.10915158591e-05,-6.69209170037e-05,6.69209170037e-05
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.25,defender,forward,-4.83694598667e-06,2.05487387378e-06,6.89181986045e-06,6.89181986045e-06
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.25,defender,midfielder,-4.83694598667e-06,1.69000789091e-05,2.17370248957e-05,2.17370248957e-05
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.25,midfielder,forward,1.69000789091e-05,2.05487387378e-06,-1.48452050353e-05,1.48452050353e-05
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.5,defender,forward,-9.18174839734e-06,2.54490321994e-06,1.17266516173e-05,1.17266516173e-05
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.5,defender,midfielder,-9.18174839734e-06,3.13233444485e-05,4.05050928458e-05,4.05050928458e-05
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.5,midfielder,forward,3.13233444485e-05,2.54490321994e-06,-2.87784412286e-05,2.87784412286e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.25,defender,forward,-8.28756012526e-06,2.39163953421e-06,1.06791996595e-05,1.06791996595e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.25,defender,midfielder,-8.28756012526e-06,1.37526955571e-05,2.20402556824e-05,2.20402556824e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.25,midfielder,forward,1.37526955571e-05,2.39163953421e-06,-1.13610560229e-05,1.13610560229e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.5,defender,forward,-1.95795660489e-05,6.79263963083e-06,2.63722056797e-05,2.63722056797e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.5,defender,midfielder,-1.95795660489e-05,2.89187098433e-05,4.84982758922e-05,4.84982758922e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.5,midfielder,forward,2.89187098433e-05,6.79263963083e-06,-2.21260702125e-05,2.21260702125e-05
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.25,defender,forward,-1.83578221293e-05,-2.97275285234e-05,-1.1369706394e-05,1.1369706394e-05
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.25,defender,midfielder,-1.83578221293e-05,9.14331544508e-05,0.00010979097658,0.00010979097658
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.25,midfielder,forward,9.14331544508e-05,-2.97275285234e-05,-0.000121160682974,0.000121160682974
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.5,defender,forward,-3.53798716271e-05,-6.4043849744e-05,-2.8663978117e-05,2.8663978117e-05
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.5,defender,midfielder,-3.53798716271e-05,0.000183556837713,0.00021893670934,0.00021893670934
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.5,midfielder,forward,0.000183556837713,-6.4043849744e-05,-0.000247600687457,0.000247600687457
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.25,defender,forward,-2.3253647618e-05,-3.24479710486e-05,-9.19432343062e-06,9.19432343062e-06
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.25,defender,midfielder,-2.3253647618e-05,6.1808026708e-05,8.50616743261e-05,8.50616743261e-05
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.25,midfielder,forward,6.1808026708e-05,-3.24479710486e-05,-9.42559977567e-05,9.42559977567e-05
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.5,defender,forward,-5.24631807867e-05,-5.46968329209e-05,-2.2336521342e-06,2.2336521342e-06
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.5,defender,midfielder,-5.24631807867e-05,0.000127041830262,0.000179505011049,0.000179505011049
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.5,midfielder,forward,0.000127041830262,-5.46968329209e-05,-0.000181738663183,0.000181738663183
role_group,architecture=Phase-GAT|graph_id=delaunay|epsilon=0.25,defender,forward,-6.55643592294e-05,7.1243931449e-05,0.000136808290678,0.000136808290678
role_group,architecture=Phase-GAT|graph_id=delaunay|epsilon=0.25,defender,midfielder,-6.55643592294e-05,5.2817534398e-05,0.000118381893627,0.000118381893627
role_group,architecture=Phase-GAT|graph_id=delaunay|epsilon=0.25,midfielder,forward,5.2817534398e-05,7.1243931449e-05,1.84263970509e-05,1.84263970509e-05
role_group,architecture=Phase-GAT|graph_id=delaunay|epsilon=0.5,defender,forward,-9.64760611917e-05,0.000119757073371,0.000216233134563,0.000216233134563
