factor,background_key,n_levels,levels,range_normalized_scg,min_level,max_level,min_value_normalized_scg,max_value_normalized_scg
architecture,graph_id=delaunay|role_group=defender|epsilon=0.25,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",6.07274132428e-05,Phase-GAT,DeepSets-AE,-6.55643592294e-05,-4.83694598667e-06
architecture,graph_id=delaunay|role_group=defender|epsilon=0.5,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",8.72943127943e-05,Phase-GAT,DeepSets-AE,-9.64760611917e-05,-9.18174839734e-06
architecture,graph_id=delaunay|role_group=forward|epsilon=0.25,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",0.000100971459972,GAT-small-AE,Phase-GAT,-2.97275285234e-05,7.1243931449e-05
architecture,graph_id=delaunay|role_group=forward|epsilon=0.5,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",0.000183800923115,GAT-small-AE,Phase-GAT,-6.4043849744e-05,0.000119757073371
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.25,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",7.45330755417e-05,DeepSets-AE,GAT-small-AE,1.69000789091e-05,9.14331544508e-05
architecture,graph_id=delaunay|role_group=midfielder|epsilon=0.5,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",0.000152233493265,DeepSets-AE,GAT-small-AE,3.13233444485e-05,0.000183556837713
architecture,graph_id=knn4|role_group=defender|epsilon=0.25,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",2.60734268724e-05,Phase-GAT,DeepSets-AE,-3.43609869977e-05,-8.28756012526e-06
architecture,graph_id=knn4|role_group=defender|epsilon=0.5,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",3.28836147378e-05,GAT-small-AE,DeepSets-AE,-5.24631807867e-05,-1.95795660489e-05
architecture,graph_id=knn4|role_group=forward|epsilon=0.25,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",0.00014028821233,GAT-small-AE,Phase-GAT,-3.24479710486e-05,0.000107840241281
architecture,graph_id=knn4|role_group=forward|epsilon=0.5,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",0.000262439627295,GAT-small-AE,Phase-GAT,-5.46968329209e-05,0.000207742794375
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.25,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",4.80553311509e-05,DeepSets-AE,GAT-small-AE,1.37526955571e-05,6.1808026708e-05
architecture,graph_id=knn4|role_group=midfielder|epsilon=0.5,3,"DeepSets-AE,GAT-small-AE,Phase-GAT",9.8123120419e-05,DeepSets-AE,GAT-small-AE,2.89187098433e-05,0.000127041830262
epsilon,architecture=DeepSets-AE|graph_id=delaunay|role_group=defender,2,"0.25,0.5",4.34480241067e-06,0.5,0.25,-9.18174839734e-06,-4.83694598667e-06
epsilon,architecture=DeepSets-AE|graph_id=delaunay|role_group=forward,2,"0.25,0.5",4.90029346155e-07,0.25,0.5,2.05487387378e-06,2.54490321994e-06
epsilon,architecture=DeepSets-AE|graph_id=delaunay|role_group=midfielder,2,"0.25,0.5",1.44232655394e-05,0.25,0.5,1.69000789091e-05,3.13233444485e-05
epsilon,architecture=DeepSets-AE|graph_id=knn4|role_group=defender,2,"0.25,0.5",1.12920059236e-05,0.5,0.25,-1.95795660489e-05,-8.28756012526e-06
epsilon,architecture=DeepSets-AE|graph_id=knn4|role_group=forward,2,"0.25,0.5",4.40100009662e-06,0.25,0.5,2.39163953421e-06,6.79263963083e-06
epsilon,architecture=DeepSets-AE|graph_id=knn4|role_group=midfielder,2,"0.25,0.5",1.51660142862e-05,0.25,0.5,1.37526955571e-05,2.89187098433e-05
epsilon,architecture=GAT-small-AE|graph_id=delaunay|role_group=defender,2,"0.25,0.5",1.70220494977e-05,0.5,0.25,-3.53798716271e-05,-1.83578221293e-05
epsilon,architecture=GAT-small-AE|graph_id=delaunay|role_group=forward,2,"0.25,0.5",3.43163212207e-05,0.5,0.25,-6.4043849744e-05,-2.97275285234e-05
epsilon,architecture=GAT-small-AE|graph_id=delaunay|role_group=midfielder,2,"0.25,0.5",9.21236832625e-05,0.25,0.5,9.14331544508e-05,0.000183556837713
epsilon,architecture=GAT-small-AE|graph_id=knn4|role_group=defender,2,"0.25,0.5",2.92095331687e-05,0.5,0.25,-5.24631807867e-05,-2.3253647618e-05
epsilon,architecture=GAT-small-AE|graph_id=knn4|role_group=forward,2,"0.25,0.5",2.22488618723e-05,0.5,0.25,-5.46968329209e-05,-3.24479710486e-05
epsilon,architecture=GAT-small-AE|graph_id=knn4|role_group=midfielder,2,"0.25,0.5",6.52338035543e-05,0.25,0.5,6.1808026708e-05,0.000127041830262
epsilon,architecture=Phase-GAT|graph_id=delaunay|role_group=defender,2,"0.25,0.5",3.09117019623e-05,0.5,0.25,-9.64760611917e-05,-6.55643592294e-05
epsilon,architecture=Phase-GAT|graph_id=delaunay|role_group=forward,2,"0.25,0.5",4.85131419223e-05,0.25,0.5,7.1243931449e-05,0.000119757073371
epsilon,architecture=Phase-GAT|graph_id=delaunay|role_group=midfielder,2,"0.25,0.5",4.51948984647e-05,0.25,0.5,5.2817534398e-05,9.80124328627e-05
epsilon,architecture=Phase-GAT|graph_id=knn4|role_group=defender,2,"0.25,0.5",1.06386630086e-05,0.5,0.25,-4.49996500062e-05,-3.43609869977e-05
epsilon,architecture=Phase-GAT|graph_id=knn4|role_group=forward,2,"0.25,0.5",9.99025530931e-05,0.25,0.5,0.000107840241281,0.000207742794375
epsilon,architecture=Phase-GAT|graph_id=knn4|role_group=midfielder,2,"0.25,0.5",1.06932581281e-05,0.25,0.5,2.0398257731e-05,3.10915158591e-05
graph_id,architecture=DeepSets-AE|role_group=defender|epsilon=0.25,2,"delaunay,knn4",3.45061413859e-06,knn4,delaunay,-8.28756012526e-06,-4.83694598667e-06
graph_id,architecture=DeepSets-AE|role_group=defender|epsilon=0.5,2,"delaunay,knn4",1.03978176516e-05,knn4,delaunay,-1.95795660489e-05,-9.18174839734e-06
graph_id,architecture=DeepSets-AE|role_group=forward|epsilon=0.25,2,"delaunay,knn4",3.36765660425e-07,delaunay,knn4,2.05487387378e-06,2.39163953421e-06
graph_id,architecture=DeepSets-AE|role_group=forward|epsilon=0.5,2,"delaunay,knn4",4.24773641089e-06,delaunay,knn4,2.54490321994e-06,6.79263963083e-06
graph_id,architecture=DeepSets-AE|role_group=midfielder|epsilon=0.25,2,"delaunay,knn4",3.14738335194e-06,knn4,delaunay,1.37526955571e-05,1.69000789091e-05
graph_id,architecture=DeepSets-AE|role_group=midfielder|epsilon=0.5,2,"delaunay,knn4",2.40463460519e-06,knn4,delaunay,2.89187098433e-05,3.13233444485e-05
graph_id,architecture=GAT-small-AE|role_group=defender|epsilon=0.25,2,"delaunay,knn4",4.89582548869e-06,knn4,delaunay,-2.3253647618e-05,-1.83578221293e-05
graph_id,architecture=GAT-small-AE|role_group=defender|epsilon=0.5,2,"delaunay,knn4",1.70833091597e-05,knn4,delaunay,-5.24631807867e-05,-3.53798716271e-05
graph_id,architecture=GAT-small-AE|role_group=forward|epsilon=0.25,2,"delaunay,knn4",2.72044252527e-06,knn4,delaunay,-3.24479710486e-05,-2.97275285234e-05
graph_id,architecture=GAT-small-AE|role_group=forward|epsilon=0.5,2,"delaunay,knn4",9.3470168231e-06,delaunay,knn4,-6.4043849744e-05,-5.46968329209e-05
graph_id,architecture=GAT-small-AE|role_group=midfielder|epsilon=0.25,2,"delaunay,knn4",2.96251277427e-05,knn4,delaunay,6.1808026708e-05,9.14331544508e-05
graph_id,architecture=GAT-small-AE|role_group=midfielder|epsilon=0.5,2,"delaunay,knn4",5.6515007451e-05,knn4,delaunay,0.000127041830262,0.000183556837713
graph_id,architecture=Phase-GAT|role_group=defender|epsilon=0.25,2,"delaunay,knn4",3.12033722317e-05,delaunay,knn4,-6.55643592294e-05,-3.43609869977e-05
graph_id,architecture=Phase-GAT|role_group=defender|epsilon=0.5,2,"delaunay,knn4",5.14764111854e-05,delaunay,knn4,-9.64760611917e-05,-4.49996500062e-05
graph_id,architecture=Phase-GAT|role_group=forward|epsilon=0.25,2,"delaunay,knn4",3.65963098325e-05,delaunay,knn4,7.1243931449e-05,0.000107840241281
graph_id,architecture=Phase-GAT|role_group=forward|epsilon=0.5,2,"delaunay,knn4",8.79857210033e-05,delaunay,knn4,0.000119757073371,0.000207742794375
graph_id,architecture=Phase-GAT|role_group=midfielder|epsilon=0.25,2,"delaunay,knn4",3.24192766671e-05,knn4,delaunay,2.0398257731e-05,5.2817534398e-05
graph_id,architecture=Phase-GAT|role_group=midfielder|epsilon=0.5,2,"delaunay,knn4",6.69209170037e-05,knn4,delaunay,3.10915158591e-05,9.80124328627e-05
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.25,3,"defender,midfielder,forward",2.17370248957e-05,defender,midfielder,-4.83694598667e-06,1.69000789091e-05
role_group,architecture=DeepSets-AE|graph_id=delaunay|epsilon=0.5,3,"defender,midfielder,forward",4.05050928458e-05,defender,midfielder,-9.18174839734e-06,3.13233444485e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.25,3,"defender,midfielder,forward",2.20402556824e-05,defender,midfielder,-8.28756012526e-06,1.37526955571e-05
role_group,architecture=DeepSets-AE|graph_id=knn4|epsilon=0.5,3,"defender,midfielder,forward",4.84982758922e-05,defender,midfielder,-1.95795660489e-05,2.89187098433e-05
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.25,3,"defender,midfielder,forward",0.000121160682974,forward,midfielder,-2.97275285234e-05,9.14331544508e-05
role_group,architecture=GAT-small-AE|graph_id=delaunay|epsilon=0.5,3,"defender,midfielder,forward",0.000247600687457,forward,midfielder,-6.4043849744e-05,0.000183556837713
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.25,3,"defender,midfielder,forward",9.42559977567e-05,forward,midfielder,-3.24479710486e-05,6.1808026708e-05
role_group,architecture=GAT-small-AE|graph_id=knn4|epsilon=0.5,3,"defender,midfielder,forward",0.000181738663183,forward,midfielder,-5.46968329209e-05,0.000127041830262
role_group,architecture=Phase-GAT|graph_id=delaunay|epsilon=0.25,3,"defender,midfielder,forward",0.000136808290678,defender,forward,-6.55643592294e-05,7.1243931449e-05
