model_id,split,n_rows,mode_rank_response_correlation
deepsets_ae_seed11,heldout,7300,0.4305199804906827
deepsets_ae_seed11,dev,7250,0.42121530217851616
deepsets_ae_seed11,train,32835,0.405181021317373
deepsets_ae_seed23,heldout,7300,0.47504867410598
deepsets_ae_seed23,dev,7250,0.44442114545607436
deepsets_ae_seed23,train,32835,0.44471181735370846
deepsets_ae_seed47,heldout,7300,0.47823058224888354
deepsets_ae_seed47,dev,7250,0.49339547292012104
deepsets_ae_seed47,train,32835,0.4751688299880326
gat_ae_seed11,heldout,7300,0.08544788730169929
gat_ae_seed11,dev,7250,0.0609190000145188
gat_ae_seed11,train,32835,0.05902387997936511
gat_ae_seed23,heldout,7300,0.029974055679763245
gat_ae_seed23,dev,7250,0.00954824216378705
gat_ae_seed23,train,32835,0.017807819222399893
gat_ae_seed47,heldout,7300,-0.030875070834906624
gat_ae_seed47,dev,7250,-0.0570454034812668
gat_ae_seed47,train,32835,-0.06428668958177795
