model,readout,probe,train_n,base_acc,A_acc,B_acc,AB_acc,atomic_mean,min_atom,both_frac,both_n,gate_B1
dinov3s,R0,lr-fixed-Am03,2000,0.8882,0.7868,0.7487,0.6092,0.7678,0.7487,0.6224,473,FAIL
dinov3s,R1,lr-fixed-Am03,2000,0.8842,0.7553,0.7395,0.6,0.7474,0.7395,0.5987,455,FAIL
dinov3s,R2,lr-fixed-Am03,2000,0.8908,0.7461,0.7026,0.6697,0.7243,0.7026,0.5671,431,FAIL
dinov3s,R3,lr-fixed-Am03,2000,0.8776,0.7382,0.6855,0.675,0.7118,0.6855,0.5408,411,FAIL
dinov3s,R4,lr-fixed-Am03,2000,0.8724,0.7171,0.6855,0.6566,0.7013,0.6855,0.5263,400,FAIL
dinov3s,R5,lr-fixed-Am03,2000,0.8974,0.7934,0.7895,0.6605,0.7914,0.7895,0.6566,499,FAIL
dinov3b,R0,lr-fixed-Am03,2000,0.9092,0.7461,0.7355,0.6974,0.7408,0.7355,0.6013,457,FAIL
dinov3b,R1,lr-fixed-Am03,2000,0.9026,0.7171,0.7079,0.6487,0.7125,0.7079,0.5829,443,FAIL
dinov3b,R2,lr-fixed-Am03,2000,0.9211,0.7066,0.6868,0.6579,0.6967,0.6868,0.5632,428,FAIL
dinov3b,R3,lr-fixed-Am03,2000,0.8842,0.6763,0.6882,0.6803,0.6822,0.6763,0.5329,405,FAIL
dinov3b,R4,lr-fixed-Am03,2000,0.8776,0.6461,0.6513,0.6895,0.6487,0.6461,0.5105,388,FAIL
dinov3b,R5,lr-fixed-Am03,2000,0.9553,0.7724,0.7763,0.6605,0.7743,0.7724,0.6566,499,FAIL
dinov3l,R0,lr-fixed-Am03,2000,0.925,0.7013,0.6895,0.7105,0.6954,0.6895,0.5447,414,FAIL
dinov3l,R1,lr-fixed-Am03,2000,0.925,0.7079,0.6921,0.6921,0.7,0.6921,0.575,437,FAIL
dinov3l,R2,lr-fixed-Am03,2000,0.8934,0.6605,0.6487,0.6908,0.6546,0.6487,0.5158,392,FAIL
dinov3l,R3,lr-fixed-Am03,2000,0.9145,0.6474,0.6316,0.7118,0.6395,0.6316,0.4908,373,FAIL
dinov3l,R4,lr-fixed-Am03,2000,0.8921,0.6421,0.625,0.6868,0.6336,0.625,0.5079,386,FAIL
dinov3l,R5,lr-fixed-Am03,2000,0.9197,0.7513,0.7329,0.6974,0.7421,0.7329,0.5947,452,FAIL
