seed,arm,n_E,n_parent,base,A,B,AB,atomic_joint,J3,J4,CCM_miss_given_atomic,baseline_n110,baseline_n111,R_endpoint,R_full,M_migration,regression111,parent_bootstrap,parameters,inference_macs,train_state_forwards,source
11,raw_clean,237,106,self,0.5485232067510548,0.5443037974683544,0.5189873417721519,0.5189873417721519,0.05485232067510549,missing,0.8943089430894309,missing,missing,missing,missing,missing,missing,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
11,raw_flipmine,237,106,raw_clean same seed,0.4641350210970464,0.4936708860759494,0.6455696202531646,0.4092827004219409,0.06751054852320675,missing,0.8350515463917526,110,13,0.42727272727272725,0.06363636363636363,0.36363636363636365,0.6923076923076923,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
11,relfeat,237,106,raw_clean same seed,0.7172995780590717,0.7468354430379747,0.45147679324894513,0.6751054852320675,0.1308016877637131,missing,0.8062499999999999,110,13,0.39090909090909093,0.13636363636363635,0.2545454545454545,1.0,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
11,relflip,237,106,raw_clean same seed,0.6708860759493671,0.7215189873417721,0.7637130801687764,0.5949367088607594,0.38396624472573837,missing,0.35460992907801414,110,13,0.7454545454545455,0.37272727272727274,0.37272727272727274,0.38461538461538464,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
23,raw_clean,237,106,self,0.6075949367088608,0.6075949367088608,0.4767932489451477,0.5569620253164557,0.05063291139240506,missing,0.9090909090909091,missing,missing,missing,missing,missing,missing,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
23,raw_flipmine,237,106,raw_clean same seed,0.5063291139240507,0.5274261603375527,0.5738396624472574,0.45569620253164556,0.05907172995780591,missing,0.8703703703703703,120,12,0.425,0.025,0.4,0.9166666666666666,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
23,relfeat,237,106,raw_clean same seed,0.7510548523206751,0.7679324894514767,0.46835443037974683,0.6962025316455697,0.16877637130801687,missing,0.7575757575757576,120,12,0.4,0.23333333333333334,0.16666666666666666,1.0,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
23,relflip,237,106,raw_clean same seed,0.7215189873417721,0.729957805907173,0.7468354430379747,0.6708860759493671,0.4219409282700422,missing,0.37106918238993714,120,12,0.7583333333333333,0.44166666666666665,0.31666666666666665,0.3333333333333333,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
47,raw_clean,237,106,self,0.5611814345991561,0.569620253164557,0.5189873417721519,0.5189873417721519,0.05485232067510549,missing,0.8943089430894309,missing,missing,missing,missing,missing,missing,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
47,raw_flipmine,237,106,raw_clean same seed,0.4177215189873418,0.4092827004219409,0.679324894514768,0.3670886075949367,0.0759493670886076,missing,0.7931034482758621,110,13,0.4818181818181818,0.1,0.38181818181818183,0.8461538461538461,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
47,relfeat,237,106,raw_clean same seed,0.7468354430379747,0.7679324894514767,0.4936708860759494,0.7088607594936709,0.2109704641350211,missing,0.7023809523809523,110,13,0.35454545454545455,0.15454545454545454,0.2,0.38461538461538464,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
47,relflip,237,106,raw_clean same seed,0.6919831223628692,0.6708860759493671,0.7890295358649789,0.6033755274261603,0.39662447257383965,missing,0.3426573426573426,110,13,0.7818181818181819,0.36363636363636365,0.41818181818181815,0.38461538461538464,U1 summary; see source,missing,missing,missing,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
